# 'Tdn_K_123.5G_1000 Oe'	'Rdn_Ohm_123.5G_1000 Oe'
4.94675	0.41203
4.89223	0.412033
4.83886	0.412041
4.7859	0.412054
4.73283	0.412046
4.67898	0.412052
4.6244	0.412068
4.57161	0.412055
4.51899	0.412058
4.46554	0.41206
4.41275	0.41206
4.3574	0.412058
4.30337	0.412057
4.25191	0.41206
4.20022	0.412054
4.14753	0.41207
4.09373	0.412078
4.03953	0.412089
3.98769	0.41207
3.93648	0.41207
3.88371	0.412063
3.82987	0.412069
3.77916	0.41207
3.72761	0.41207
3.67503	0.412076
3.62365	0.412059
3.57304	0.412089
3.52129	0.41206
3.46978	0.412068
3.41972	0.412068
3.36884	0.412064
3.3167	0.41208
3.26807	0.41208
3.21747	0.412069
3.16684	0.41209
3.1171	0.41207
3.06776	0.41207
3.01725	0.41208
2.96788	0.412084
2.91921	0.412087
2.86937	0.41208
2.81926	0.41208
2.77128	0.412078
2.72241	0.41207
2.67184	0.412066
2.62388	0.412069
2.57496	0.412089
2.52534	0.412082
2.47685	0.41208
2.42842	0.412076
2.37904	0.41209
2.3315	0.412087
2.28328	0.41207
2.2336	0.41207
2.186	0.41206
2.13758	0.41208
2.08824	0.41207
2.04109	0.41206
1.99207	0.412088
1.94346	0.412078
1.89582	0.41207
1.84383	0.412068
1.79577	0.412087
1.7474	0.412068
1.69949	0.412067
1.65423	0.41206
1.61188	0.412068
1.57821	0.412033
1.55042	0.412045
1.53029	0.41206
1.51702	0.41205
