# 'Tdn_K_116.7G'	'Rdn_Ohm_116.7G'	'Rdn/R5k_Ohm_116.7G'
295.641	0.460255	1.12535
295.519	0.460173	1.12507
295.402	0.460139	1.12507
295.281	0.460047	1.12071
295.165	0.459996	1.11993
295.041	0.459934	1.12011
294.926	0.459877	1.11971
294.808	0.459818	1.11951
294.697	0.459758	1.11942
294.58	0.45969	1.1192
294.462	0.459636	1.11907
294.351	0.459578	1.11893
294.233	0.459503	1.11879
294.122	0.459438	1.11864
294.008	0.459398	1.1185
293.897	0.459324	1.11833
293.786	0.459283	1.1182
293.676	0.459193	1.11806
293.565	0.45914	1.11788
293.455	0.459077	1.11772
293.341	0.458997	1.11762
293.231	0.458934	1.11744
293.123	0.458887	1.11734
293.012	0.458836	1.11712
292.901	0.458766	1.11699
292.787	0.458711	1.11684
292.681	0.458659	1.11665
292.572	0.458593	1.11649
292.459	0.458522	1.11638
292.351	0.458458	1.11625
292.238	0.458395	1.11608
292.13	0.458333	1.11595
292.022	0.458287	1.11582
291.909	0.458209	1.11566
291.803	0.458157	1.11549
291.694	0.45808	1.11533
291.584	0.458024	1.11518
291.472	0.457962	1.11503
291.363	0.457894	1.11492
291.257	0.457841	1.11473
291.147	0.457768	1.1146
291.038	0.457713	1.11441
290.928	0.45764	1.11428
290.82	0.457581	1.11413
290.71	0.457511	1.11396
290.597	0.457444	1.11383
290.487	0.457369	1.11366
290.377	0.457309	1.11352
290.266	0.457245	1.11334
290.152	0.457175	1.1132
290.044	0.457113	1.11303
289.928	0.457055	1.11287
289.82	0.456972	1.11268
289.714	0.456906	1.11254
289.603	0.456844	1.11238
289.495	0.456778	1.11221
289.384	0.456723	1.11206
289.274	0.456637	1.11192
289.164	0.456589	1.11172
289.053	0.456511	1.11156
288.94	0.45645	1.11141
288.834	0.456377	1.11125
288.723	0.456319	1.11111
288.615	0.456237	1.1109
288.503	0.456181	1.11079
288.389	0.456112	1.1106
288.281	0.456037	1.11045
288.166	0.455959	1.11027
288.058	0.455913	1.11013
287.949	0.455844	1.10993
287.838	0.455763	1.10979
287.728	0.455705	1.10963
287.613	0.45563	1.10944
287.502	0.455568	1.10925
287.394	0.455508	1.10914
287.284	0.455436	1.10897
287.175	0.455371	1.10878
287.065	0.455306	1.10864
286.951	0.455225	1.10845
286.845	0.455175	1.1083
286.733	0.455103	1.10816
286.623	0.455029	1.10798
286.515	0.454967	1.10782
286.399	0.454906	1.10767
286.295	0.454839	1.10747
286.183	0.454772	1.10735
286.072	0.454702	1.10717
285.963	0.454631	1.10699
285.852	0.454565	1.10684
285.742	0.454523	1.10669
285.635	0.454441	1.10653
285.527	0.454394	1.10637
285.414	0.454331	1.1062
285.304	0.454256	1.10602
285.193	0.454192	1.10586
285.081	0.454143	1.10576
284.972	0.454089	1.10556
284.858	0.454009	1.10545
284.746	0.453955	1.10529
284.635	0.453877	1.10511
284.529	0.453808	1.10496
284.416	0.453751	1.10484
284.308	0.453677	1.1047
284.201	0.453629	1.10451
284.089	0.453575	1.10438
283.976	0.453494	1.10419
283.865	0.453442	1.10402
283.754	0.453376	1.10388
283.646	0.453319	1.1037
283.535	0.453252	1.10359
283.425	0.453193	1.10345
283.316	0.45312	1.10326
283.204	0.453065	1.10313
283.095	0.453012	1.10297
282.988	0.452944	1.10283
282.882	0.4529	1.10267
282.769	0.452831	1.10253
282.657	0.45277	1.10235
282.546	0.452703	1.10221
282.435	0.452642	1.10208
282.327	0.452572	1.10192
282.216	0.452524	1.10181
282.103	0.452471	1.10164
281.996	0.452384	1.1015
281.886	0.452317	1.10133
281.781	0.452271	1.10118
281.668	0.452207	1.10101
281.56	0.452151	1.1009
281.452	0.452087	1.10077
281.338	0.452028	1.10056
281.226	0.45196	1.10039
281.117	0.451898	1.10028
281.001	0.451853	1.10013
280.896	0.4518	1.09999
280.784	0.451723	1.09984
280.678	0.451675	1.09969
280.565	0.451636	1.09953
280.46	0.451564	1.09937
280.351	0.451497	1.09926
280.239	0.451446	1.09914
280.127	0.451402	1.09895
280.019	0.451325	1.09883
279.909	0.451266	1.09874
279.8	0.451201	1.09856
279.692	0.451161	1.0984
279.579	0.451091	1.09827
279.477	0.451047	1.09817
279.365	0.450992	1.09798
279.251	0.450927	1.09784
279.141	0.450865	1.09768
279.034	0.450819	1.09758
278.926	0.450768	1.09741
278.813	0.4507	1.0973
278.702	0.450647	1.09717
278.596	0.450581	1.09701
278.483	0.450527	1.09686
278.378	0.45046	1.09675
278.261	0.450423	1.09663
278.154	0.450364	1.09646
278.039	0.45029	1.09633
277.928	0.45025	1.09617
277.818	0.45019	1.09604
277.707	0.450128	1.09588
277.595	0.450079	1.09579
277.484	0.450024	1.09564
277.374	0.449959	1.09546
277.266	0.44992	1.09537
277.152	0.449848	1.09522
277.046	0.449804	1.09507
276.931	0.449749	1.09495
276.826	0.449695	1.09481
276.716	0.449638	1.09466
276.608	0.449575	1.09456
276.497	0.449537	1.09439
276.383	0.449474	1.09428
276.275	0.449421	1.09415
276.163	0.449354	1.09401
276.058	0.449305	1.09388
275.949	0.449261	1.09372
275.843	0.44921	1.09363
275.734	0.449138	1.09348
275.623	0.449086	1.09335
275.514	0.449034	1.09319
275.404	0.448971	1.09307
275.294	0.448933	1.09296
275.18	0.448862	1.09284
275.073	0.448835	1.09266
274.963	0.448765	1.09253
274.853	0.448727	1.09241
274.744	0.448671	1.09225
274.635	0.448613	1.09216
274.522	0.448559	1.09199
274.418	0.448492	1.09192
274.308	0.448465	1.09175
274.199	0.448406	1.09166
274.091	0.448345	1.09152
273.98	0.448296	1.09138
273.871	0.448245	1.09125
273.759	0.448191	1.09109
273.649	0.448141	1.09102
273.539	0.448082	1.09088
273.426	0.448052	1.09073
273.317	0.447974	1.09061
273.2	0.447938	1.09049
273.088	0.447883	1.09036
272.981	0.447829	1.09024
272.873	0.447771	1.09009
272.763	0.447722	1.09002
272.652	0.44768	1.08983
272.545	0.447628	1.08974
272.433	0.447588	1.08961
272.325	0.447532	1.08948
272.214	0.447475	1.08933
272.107	0.447434	1.08922
271.999	0.447394	1.08911
271.889	0.447323	1.08899
271.777	0.447277	1.08889
271.668	0.447223	1.08875
271.562	0.447185	1.08862
271.45	0.447122	1.08852
271.339	0.447089	1.08842
271.226	0.447037	1.08825
271.118	0.446958	1.08813
271.004	0.446921	1.088
270.895	0.446876	1.08791
270.783	0.44683	1.08776
270.673	0.446779	1.08768
270.56	0.446721	1.08755
270.45	0.446668	1.08736
270.341	0.446618	1.08727
270.229	0.446561	1.08716
270.12	0.446521	1.08705
270.012	0.446473	1.08692
269.906	0.446446	1.08678
269.797	0.446359	1.08665
269.688	0.44634	1.08653
269.581	0.446286	1.08639
269.472	0.446217	1.08629
269.365	0.446188	1.08618
269.253	0.446124	1.08611
269.151	0.4461	1.0859
269.038	0.446037	1.08585
268.93	0.446003	1.08572
268.82	0.445954	1.08555
268.707	0.445905	1.08548
268.599	0.445834	1.08533
268.491	0.445797	1.08527
268.383	0.445768	1.08512
268.27	0.445709	1.08503
268.161	0.445676	1.08491
268.05	0.445613	1.0848
267.942	0.445566	1.08462
267.836	0.445525	1.08453
267.723	0.445479	1.08446
267.614	0.445441	1.08432
267.507	0.44539	1.08424
267.395	0.445337	1.08409
267.286	0.445306	1.08397
267.178	0.445252	1.08387
267.067	0.445202	1.08376
266.959	0.445165	1.08367
266.851	0.445123	1.08354
266.738	0.445066	1.08341
266.631	0.445012	1.08334
266.521	0.444981	1.08321
266.413	0.444928	1.08309
266.301	0.444896	1.083
266.19	0.444844	1.08289
266.077	0.444802	1.08275
265.966	0.444747	1.08262
265.86	0.444702	1.08255
265.748	0.444664	1.08242
265.64	0.444609	1.08234
265.529	0.444565	1.08221
265.421	0.44452	1.08211
265.312	0.444476	1.08198
265.202	0.444424	1.08187
265.097	0.444372	1.08178
264.983	0.444335	1.08164
264.875	0.444285	1.08153
264.762	0.444248	1.08143
264.654	0.444206	1.08132
264.546	0.444156	1.08119
264.437	0.444113	1.08107
264.325	0.444067	1.08097
264.213	0.444023	1.08085
264.103	0.443971	1.08076
263.993	0.44394	1.08066
263.882	0.443887	1.08054
263.774	0.44385	1.08044
263.661	0.443802	1.08032
263.559	0.443759	1.08022
263.45	0.443726	1.08009
263.337	0.443687	1.08001
263.226	0.443633	1.07988
263.116	0.443583	1.0798
263.005	0.443543	1.07968
262.895	0.443505	1.07957
262.784	0.443462	1.07949
262.673	0.443425	1.0794
262.564	0.443357	1.07927
262.452	0.443352	1.07915
262.342	0.443297	1.07905
262.231	0.443256	1.07896
262.119	0.443206	1.07885
262.012	0.443166	1.07876
261.903	0.443117	1.0786
261.798	0.443067	1.07858
261.686	0.443022	1.07845
261.578	0.442998	1.07835
261.467	0.442958	1.07823
261.356	0.442914	1.07813
261.247	0.442865	1.07801
261.135	0.442826	1.07789
261.026	0.442772	1.07778
260.917	0.442749	1.07772
260.811	0.442698	1.07763
260.702	0.442665	1.07752
260.591	0.442619	1.0774
260.483	0.44258	1.0773
260.375	0.442546	1.07717
260.265	0.442482	1.07712
260.156	0.442447	1.07699
260.048	0.442412	1.07691
259.94	0.442365	1.0768
259.832	0.442334	1.07671
259.718	0.442295	1.07662
259.611	0.442252	1.07647
259.5	0.442184	1.07638
259.394	0.442167	1.0763
259.283	0.442131	1.07618
259.176	0.442093	1.07611
259.06	0.442064	1.07601
258.955	0.442013	1.07591
258.847	0.441963	1.07574
258.74	0.441932	1.0757
258.63	0.441886	1.07561
258.521	0.441837	1.07552
258.411	0.441816	1.07545
258.304	0.441762	1.07533
258.195	0.441734	1.0752
258.084	0.441693	1.07513
257.975	0.441659	1.07502
257.866	0.441609	1.0749
257.759	0.441565	1.07485
257.648	0.441535	1.07472
257.538	0.441503	1.07465
257.43	0.441463	1.07455
257.322	0.441415	1.07447
257.211	0.441394	1.07434
257.099	0.441363	1.07424
256.99	0.441309	1.07416
256.887	0.441266	1.07409
256.776	0.441232	1.07399
256.667	0.441201	1.07387
256.558	0.441158	1.07382
256.45	0.441122	1.07375
256.34	0.441096	1.07361
256.228	0.441042	1.07351
256.118	0.441008	1.07343
256.013	0.440978	1.07335
255.898	0.440931	1.07325
255.791	0.440896	1.07316
255.68	0.440857	1.0731
255.573	0.440833	1.07296
255.464	0.440774	1.07288
255.353	0.440752	1.07281
255.244	0.440713	1.07269
255.137	0.440665	1.07261
255.024	0.440641	1.07251
254.916	0.440606	1.07246
254.807	0.440574	1.07231
254.701	0.440537	1.07226
254.594	0.440496	1.07216
254.488	0.440453	1.07205
254.381	0.440431	1.07199
254.27	0.440392	1.0719
254.165	0.440356	1.07183
254.059	0.44032	1.07174
253.95	0.440285	1.07164
253.84	0.44025	1.07153
253.732	0.440201	1.07148
253.623	0.440173	1.07138
253.514	0.44015	1.0713
253.406	0.44011	1.07121
253.298	0.440073	1.07112
253.186	0.440038	1.07104
253.078	0.440009	1.07092
252.968	0.439974	1.07085
252.861	0.439931	1.07079
252.746	0.439904	1.0707
252.638	0.43985	1.07061
252.529	0.439825	1.07052
252.423	0.43979	1.07045
252.313	0.439755	1.07037
252.206	0.439734	1.07026
252.097	0.439696	1.07019
251.983	0.439644	1.07006
251.875	0.439623	1.07
251.766	0.439597	1.06992
251.657	0.439558	1.06983
251.55	0.439519	1.06978
251.44	0.439491	1.06969
251.329	0.439467	1.06956
251.218	0.439431	1.06951
251.107	0.439401	1.06945
251	0.439368	1.06935
250.892	0.439325	1.06926
250.78	0.439299	1.06919
250.675	0.439262	1.06913
250.566	0.439226	1.06904
250.458	0.439204	1.06897
250.345	0.439172	1.06889
250.235	0.439125	1.06879
250.127	0.439088	1.06872
250.017	0.439068	1.06863
249.91	0.439033	1.06855
249.8	0.439007	1.06849
249.692	0.438977	1.06841
249.583	0.438948	1.0683
249.478	0.438913	1.06821
249.368	0.438883	1.06816
249.262	0.438852	1.06808
249.154	0.438814	1.06801
249.046	0.438784	1.06794
248.935	0.438745	1.06787
248.828	0.43871	1.06779
248.719	0.438685	1.06771
248.613	0.43866	1.06764
248.504	0.438619	1.06754
248.393	0.438574	1.06747
248.286	0.438555	1.06738
248.178	0.438526	1.06729
248.065	0.438497	1.06723
247.956	0.43847	1.06717
247.848	0.43844	1.06707
247.741	0.438417	1.06696
247.63	0.438385	1.06691
247.522	0.438344	1.06684
247.417	0.438319	1.06677
247.304	0.438286	1.06671
247.189	0.438261	1.06663
247.081	0.43822	1.06658
246.971	0.438193	1.0665
246.863	0.438169	1.0664
246.756	0.438123	1.06634
246.646	0.4381	1.06626
246.536	0.438073	1.0662
246.43	0.438034	1.0661
246.321	0.438004	1.06603
246.214	0.437996	1.06597
246.105	0.437965	1.06586
245.993	0.437921	1.06581
245.883	0.437901	1.06574
245.774	0.437878	1.06565
245.666	0.437827	1.06557
245.558	0.437817	1.06555
245.45	0.437774	1.06548
245.338	0.437744	1.06537
245.232	0.437724	1.06532
245.12	0.437702	1.06527
245.012	0.437667	1.06514
244.901	0.437633	1.06512
244.798	0.437619	1.06501
244.688	0.437584	1.06494
244.58	0.437546	1.06489
244.468	0.437523	1.06484
244.358	0.437486	1.06475
244.248	0.437472	1.06467
244.137	0.43745	1.06464
244.029	0.437416	1.06455
243.913	0.437374	1.06446
243.813	0.437368	1.0644
243.705	0.437328	1.06431
243.597	0.437302	1.06428
243.488	0.43726	1.06423
243.38	0.437244	1.06414
243.27	0.437207	1.06404
243.162	0.437185	1.06403
243.055	0.437157	1.06393
242.946	0.437132	1.06387
242.838	0.4371	1.06376
242.726	0.437074	1.06372
242.617	0.437051	1.06364
242.508	0.437005	1.06358
242.399	0.437004	1.06351
242.288	0.436949	1.06345
242.182	0.436935	1.06337
242.072	0.436903	1.06331
