# Tdn_K_93G	Rdn_Ohm_93G	'Rdn/R5k_Ohm_93G'
269.197	0.527925	1.2796
269.091	0.527859	1.27944
268.981	0.527749	1.27917
268.876	0.527811	1.27933
268.766	0.527608	1.27883
268.657	0.527151	1.27772
268.553	0.527161	1.27775
268.447	0.527078	1.27755
268.341	0.526792	1.27686
268.233	0.526807	1.27689
268.13	0.526688	1.2766
268.025	0.52622 	1.27547
267.918	0.526464	1.27606
267.807	0.526402	1.27591
267.699	0.525877	1.27464
267.592	0.525887	1.27466
267.486	0.525404	1.27349
267.377	0.525425	1.27354
267.269	0.525238	1.27309
267.163	0.525253	1.27312
267.053	0.525055	1.27264
266.945	0.524874	1.27221
266.841	0.524671	1.27171
266.731	0.524682	1.27174
266.623	0.524432	1.27113
266.517	0.524193	1.27055
266.408	0.524213	1.2706
266.303	0.523735	1.26945
266.192	0.523825	1.26966
266.087	0.523808	1.26962
265.985	0.523725	1.26942
265.878	0.523252	1.26827
265.772	0.523205	1.26816
265.665	0.523153	1.26804
265.56	0.522908	1.26744
265.452	0.522669	1.26686
265.346	0.5228  	1.26718
265.241	0.522446	1.26632
265.136	0.52216 	1.26563
265.03	0.522223	1.26578
264.925	0.522051	1.26536
264.818	0.52165 	1.26439
264.712	0.521609	1.26429
264.611	0.521422	1.26384
264.5	0.521344	1.26365
264.399	0.521505	1.26404
264.293	0.521151	1.26318
264.185	0.520995	1.2628
264.075	0.520814	1.26236
263.971	0.520839	1.26243
263.86	0.520601	1.26185
263.757	0.520356	1.26126
263.651	0.520533	1.26168
263.541	0.519991	1.26037
263.435	0.519826	1.25997
263.332	0.519675	1.2596
263.228	0.519816	1.25995
263.121	0.519514	1.25921
263.014	0.519472	1.25911
262.905	0.519348	1.25881
262.801	0.518989	1.25794
262.693	0.518875	1.25766
262.588	0.518869	1.25765
262.481	0.518724	1.2573
262.378	0.518354	1.2564
262.272	0.518568	1.25692
262.163	0.518215	1.25607
262.061	0.518058	1.25569
261.952	0.51796 	1.25545
261.849	0.517902	1.25531
261.74	0.517518	1.25438
261.632	0.517502	1.25434
261.524	0.517242	1.25371
261.42	0.516946	1.25299
261.314	0.516997	1.25311
261.205	0.517196	1.2536
261.101	0.516634	1.25223
260.998	0.516572	1.25208
260.894	0.516405	1.25168
260.785	0.516458	1.25181
260.683	0.516489	1.25188
260.575	0.516097	1.25093
260.466	0.515969	1.25062
260.36	0.515614	1.24976
260.257	0.515787	1.25018
260.149	0.515703	1.24998
260.039	0.51536 	1.24915
259.933	0.515501	1.24949
259.82	0.515033	1.24835
259.715	0.515204	1.24877
259.603	0.515007	1.24829
259.497	0.514825	1.24785
259.389	0.514382	1.24678
259.281	0.514606	1.24732
259.173	0.51418 	1.24629
259.068	0.514034	1.24593
258.959	0.5142  	1.24634
258.853	0.514035	1.24593
258.745	0.513566	1.2448
258.64	0.513655	1.24501
258.533	0.513639	1.24498
258.432	0.513265	1.24407
258.32	0.513421	1.24445
258.215	0.512765	1.24286
258.108	0.512938	1.24328
258.002	0.513047	1.24354
257.888	0.512896	1.24317
257.786	0.512412	1.242
257.675	0.512475	1.24215
257.57	0.512085	1.24121
257.467	0.512106	1.24126
257.358	0.512216	1.24152
257.252	0.511924	1.24082
257.14	0.511799	1.24052
257.034	0.511503	1.2398
256.929	0.511524	1.23985
256.823	0.51155 	1.23991
256.718	0.511451	1.23967
256.609	0.511294	1.23929
256.5	0.511123	1.23887
256.396	0.510988	1.23855
256.291	0.510791	1.23807
256.184	0.510676	1.23779
256.075	0.510302	1.23689
255.97	0.510521	1.23742
255.864	0.510479	1.23731
255.757	0.510266	1.2368
255.651	0.510266	1.2368
255.542	0.51    	1.23615
255.438	0.509865	1.23583
255.333	0.509667	1.23535
255.225	0.50948	        1.23489
255.119	0.509242	1.23432
255.012	0.509205	1.23423
254.906	0.509043	1.23383
254.799	0.508857	1.23338
254.691	0.508913	1.23352
254.584	0.508825	1.23331
254.478	0.508634	1.23284
254.371	0.508643	1.23286
254.268	0.508435	1.23236
254.158	0.508238	1.23188
254.054	0.507952	1.23119
253.946	0.508196	1.23178
253.839	0.508061	1.23146
253.729	0.507848	1.23094
253.623	0.507812	1.23085
253.514	0.5074  	1.22985
253.409	0.507567	1.23026
253.3	0.507364	1.22977
253.192	0.507047	1.229
253.084	0.50712  	1.22917
252.978	0.506756	1.22829
252.874	0.506865	1.22855
252.767	0.506673	1.22809
252.66	0.506486	1.22764
252.555	0.506574	1.22785
252.451	0.506195	1.22693
252.344	0.506325	1.22725
252.239	0.506044	1.22657
252.134	0.505966	1.22638
252.029	0.50593  	1.22629
251.924	0.505815	1.22601
251.815	0.505608	1.22551
251.711	0.505759	1.22587
251.606	0.505524	1.2253
251.499	0.505488	1.22522
251.393	0.505223	1.22457
251.283	0.505077	1.22422
251.177	0.505062	1.22418
251.071	0.504854	1.22368
250.963	0.50465 	1.22319
250.855	0.504698	1.2233
250.75	0.504522	1.22288
250.642	0.50407 	1.22178
250.535	0.504454	1.22271
250.427	0.504043	1.22172
250.317	0.504183	1.22206
250.208	0.503949	1.22149
250.104	0.503886	1.22134
249.997	0.503637	1.22073
249.892	0.503721	1.22093
249.785	0.503751	1.22101
249.679	0.503585	1.2206
249.571	0.503388	1.22013
249.466	0.503252	1.2198
249.357	0.503054	1.21932
249.253	0.502931	1.21902
249.145	0.503086	1.2194
249.038	0.502925	1.21901
248.934	0.502696	1.21845
248.825	0.502229	1.21732
248.718	0.502431	1.21781
248.612	0.50229 	1.21747
248.508	0.502265	1.2174
248.403	0.502312	1.21752
248.298	0.502125	1.21707
248.189	0.50187 	1.21645
248.083	0.501829	1.21635
247.978	0.501646	1.2159
247.871	0.501734	1.21612
247.764	0.501703	1.21604
247.659	0.501595	1.21578
247.55	0.501334	1.21515
247.446	0.501039	1.21443
247.337	0.501085	1.21455
247.231	0.501048	1.21446
247.123	0.500862	1.21401
247.018	0.500675	1.21355
246.911	0.500763	1.21376
246.804	0.500404	1.21289
246.694	0.500237	1.21249
246.588	0.500482	1.21308
246.481	0.500456	1.21302
246.371	0.499837	1.21152
246.267	0.500201	1.2124
246.161	0.499951	1.2118
246.053	0.499916	1.21171
245.946	0.49966 	1.21109
245.839	0.499542	1.2108
245.734	0.499291	1.2102
245.629	0.49952 	1.21075
245.52	0.499078	1.20968
245.414	0.499114	1.20977
245.309	0.499136	1.20982
245.203	0.498984	1.20945
245.094	0.49914 	1.20983
244.99	0.498704	1.20877
244.881	0.498735	1.20885
244.775	0.498517	1.20832
244.668	0.498423	1.20809
244.559	0.498553	1.20841
244.452	0.498387	1.20801
244.345	0.49834 	1.20789
244.239	0.498086	1.20728
244.131	0.498132	1.20739
244.021	0.49794 	1.20692
243.916	0.497774	1.20652
243.81	0.49781 	1.20661
243.704	0.497576	1.20604
243.599	0.49743 	1.20569
243.494	0.497071	1.20482
243.383	0.497451	1.20574
243.276	0.497254	1.20526
243.172	0.497124	1.20494
243.067	0.496719	1.20396
242.96	0.496797	1.20415
242.853	0.49677 	1.20409
242.75	0.496822	1.20421
242.643	0.496553	1.20356
242.536	0.496386	1.20316
242.433	0.496532	1.20351
242.322	0.49651 	1.20346
242.218	0.496495	1.20342
242.111	0.496078	1.20241
242.003	0.496146	1.20257
241.9	0.49623 	1.20278
241.793	0.49582 	1.20178
241.689	0.495907	1.20199
241.578	0.49585 	1.20186
241.474	0.495502	1.20101
241.367	0.495527	1.20107
241.26	0.495143	1.20014
241.155	0.495481	1.20096
241.049	0.495101	1.20004
240.944	0.495148	1.20016
240.84	0.49505 	1.19992
240.733	0.495196	1.20027
240.627	0.495049	1.19991
240.523	0.494514	1.19862
240.417	0.494747	1.19918
240.31	0.494497	1.19858
240.206	0.494462	1.19849
240.099	0.494222	1.19791
239.991	0.494207	1.19787
239.885	0.494508	1.1986
239.779	0.494129	1.19769
239.677	0.494332	1.19818
239.572	0.493775	1.19683
239.465	0.494072	1.19755
239.359	0.493828	1.19696
239.252	0.493786	1.19685
239.144	0.493594	1.19639
239.038	0.493432	1.196
238.935	0.493505	1.19617
238.828	0.493521	1.19621
238.722	0.493438	1.19601
238.614	0.492824	1.19452
238.508	0.492975	1.19489
238.403	0.493178	1.19538
238.298	0.493042	1.19505
238.194	0.49308 	1.19514
238.086	0.492768	1.19439
237.978	0.49271 	1.19425
237.873	0.492476	1.19368
237.767	0.492664	1.19413
237.661	0.492533	1.19382
237.552	0.492201	1.19301
237.447	0.492372	1.19343
237.342	0.492305	1.19326
237.234	0.491832	1.19212
237.129	0.491889	1.19226
237.018	0.492045	1.19263
236.915	0.491806	1.19205
236.809	0.491988	1.1925
236.703	0.491769	1.19197
236.597	0.491702	1.1918
236.492	0.491348	1.19095
236.387	0.491204	1.1906
236.28	0.491457	1.19121
236.173	0.49115 	1.19047
236.066	0.491162	1.19049
235.963	0.491098	1.19034
235.857	0.490802	1.18962
235.751	0.491032	1.19018
235.644	0.490833	1.1897
235.538	0.491114	1.19038
235.431	0.490891	1.18984
235.326	0.490891	1.18984
235.22	0.490438	1.18874
235.116	0.49061 	1.18916
235.007	0.490137	1.18801
234.902	0.490372	1.18858
234.794	0.490226	1.18822
234.69	0.490028	1.18774
234.584	0.489903	1.18744
234.477	0.489777	1.18714
234.373	0.489742	1.18705
234.267	0.48981 	1.18722
234.161	0.48954 	1.18656
234.054	0.489585	1.18667
233.947	0.489549	1.18658
233.843	0.489451	1.18635
233.738	0.48931 	1.186
233.632	0.48917         1.18567
233.524	0.489253	1.18587
233.424	0.488988	1.18522
233.318	0.489217	1.18578
233.215	0.4889   	1.18501
233.108	0.488827	1.18483
232.998	0.488686	1.18449
232.889	0.488598	1.18428
232.787	0.488557	1.18418
232.684	0.488635	1.18437
232.577	0.4884  	1.1838
232.471	0.488406	1.18381
232.367	0.488052	1.18295
232.263	0.488171	1.18324
232.156	0.488198	1.18331
232.05	0.48787 	1.18252
231.946	0.487907	1.1826
231.845	0.488005	1.18284
231.739	0.487782	1.1823
231.635	0.487767	1.18226
231.526	0.487876	1.18253
231.423	0.487299	1.18113
231.316	0.487563	1.18177
231.209	0.487398	1.18137
231.102	0.487558	1.18176
230.998	0.487491	1.1816
230.895	0.487246	1.181
230.788	0.487221	1.18094
230.682	0.487034	1.18049
230.577	0.486961	1.18031
230.469	0.486866	1.18008
230.363	0.486705	1.17969
230.256	0.486556	1.17933
230.151	0.486779	1.17987
230.049	0.48652	        1.17924
229.942	0.486481	1.17915
229.834	0.486259	1.17861
229.728	0.486582	1.17939
229.624	0.486311	1.17874
229.517	0.48627 	1.17864
229.41	0.486057	1.17812
229.303	0.486306	1.17872
229.198	0.4859  	1.17774
229.089	0.485848	1.17761
228.982	0.485931	1.17782
228.876	0.486072	1.17816
228.766	0.486139	1.17832
228.661	0.485719	1.1773
228.556	0.485328	1.17635
228.452	0.485448	1.17664
228.344	0.485328	1.17635
228.237	0.48552  	1.17682
228.131	0.485042	1.17566
228.024	0.485021	1.17561
227.919	0.485064	1.17571
227.813	0.484995	1.17555
227.706	0.485038	1.17565
227.597	0.48459  	1.17456
227.492	0.48486 	1.17522
227.384	0.48486 	1.17522
227.278	0.484762	1.17498
227.174	0.484616	1.17463
227.07	0.484471	1.17427
226.964	0.484435	1.17419
226.857	0.484534	1.17443
226.751	0.484466	1.17426
226.643	0.484351	1.17398
226.539	0.484195	1.17361
226.434	0.484517	1.17439
226.328	0.484299	1.17386
226.224	0.483841	1.17275
226.119	0.483919	1.17294
226.013	0.483654	1.17229
225.909	0.483908	1.17291
225.804	0.483768	1.17257
225.696	0.483598	1.17216
225.593	0.483311	1.17146
225.487	0.483628	1.17223
225.381	0.483555	1.17206
225.274	0.483529	1.17199
225.169	0.48302 	1.17076
225.064	0.483426	1.17174
224.959	0.483145	1.17106
224.853	0.483088	1.17092
224.747	0.483005	1.17072
