# 'Tdn_K_68.4G'	'Rdn_Ohm_68.4G'
292.662	6.7285
292.551	6.70437
292.44	6.68442
292.332	6.6598
292.22	6.64178
292.111	6.6225
292	6.59335
291.887	6.57566
291.847	6.57315
291.805	6.56116
291.764	6.55362
291.723	6.54533
291.683	6.53712
291.64	6.52775
291.601	6.51927
291.56	6.5134
291.518	6.50847
291.477	6.50236
291.433	6.49206
291.39	6.48301
291.347	6.48007
291.305	6.46826
291.264	6.46491
291.22	6.45318
291.178	6.45083
291.135	6.44001
291.091	6.43291
290.979	6.41254
290.87	6.3911
290.76	6.37315
290.648	6.35297
290.539	6.3347
290.426	6.31592
290.317	6.29412
290.206	6.2778
290.093	6.25879
289.984	6.2416
289.875	6.21797
289.762	6.19803
289.65	6.1786
289.542	6.16251
289.433	6.1413
289.319	6.12345
289.207	6.1047
289.098	6.08996
288.986	6.07
288.875	6.04981
288.763	6.03464
288.654	6.01729
288.543	5.99694
288.432	5.98527
288.322	5.95973
288.211	5.94625
288.098	5.92488
287.986	5.9067
287.873	5.89288
287.762	5.87645
287.651	5.85398
287.539	5.83304
287.433	5.82373
287.322	5.80798
287.211	5.78947
287.098	5.77046
286.99	5.7536
286.88	5.7355
286.772	5.72436
286.661	5.70527
286.55	5.68859
286.437	5.6699
286.329	5.65223
286.221	5.64108
286.11	5.62003
286	5.60606
285.891	5.58864
285.783	5.56827
285.673	5.55362
285.565	5.53266
285.455	5.518
285.344	5.50433
285.237	5.48641
285.128	5.47006
285.02	5.45296
284.911	5.43822
284.802	5.42103
284.695	5.40044
284.584	5.38141
284.48	5.36684
284.368	5.35342
284.258	5.33373
284.149	5.32008
284.041	5.30507
283.932	5.28924
283.821	5.2687
283.711	5.25162
283.601	5.23914
283.495	5.21887
283.385	5.20654
283.276	5.19297
283.166	5.17563
283.059	5.15745
282.948	5.14614
282.839	5.12996
282.732	5.1133
282.627	5.10121
282.515	5.0796
282.409	5.07256
282.298	5.05329
282.189	5.03871
282.084	5.01935
281.974	5.00696
281.866	4.99137
281.757	4.98099
281.65	4.96255
281.541	4.94906
281.435	4.937
281.325	4.91847
281.219	4.90759
281.108	4.88563
281	4.87399
280.892	4.85672
280.781	4.84942
280.673	4.83083
280.565	4.81416
280.459	4.80218
280.347	4.79153
280.24	4.77185
280.132	4.76154
280.022	4.74982
279.913	4.73699
279.804	4.71721
279.696	4.70163
279.587	4.69309
279.476	4.67591
279.368	4.66342
279.263	4.64993
279.153	4.63401
279.046	4.62796
278.94	4.61122
278.832	4.59732
278.724	4.58139
278.615	4.57292
278.506	4.56254
278.399	4.54712
278.291	4.53346
278.182	4.52243
278.074	4.50489
277.964	4.49401
277.858	4.48002
277.751	4.47322
277.642	4.45588
277.53	4.44515
277.422	4.43191
277.313	4.42018
277.207	4.40946
277.099	4.3963
276.988	4.38776
276.88	4.37268
276.77	4.36195
276.66	4.3508
276.549	4.34008
276.439	4.32341
276.329	4.30925
276.221	4.29987
276.11	4.29225
276.002	4.28168
275.892	4.26569
275.783	4.25638
275.675	4.24632
275.567	4.23401
275.457	4.22243
275.346	4.2114
275.24	4.19631
275.13	4.19085
275.021	4.17509
274.913	4.16454
274.804	4.14829
274.697	4.14109
274.588	4.13003
274.48	4.12349
274.372	4.10958
274.264	4.09525
274.157	4.08008
274.047	4.07522
273.938	4.06367
273.829	4.04924
273.721	4.03668
273.612	4.02269
273.502	4.01012
273.392	3.99757
273.288	3.98616
273.173	3.97988
273.065	3.96438
272.957	3.95725
272.849	3.94233
272.739	3.93672
272.63	3.91594
272.522	3.90622
272.412	3.8955
272.305	3.88537
272.197	3.87816
272.091	3.86291
271.98	3.85051
271.871	3.83836
271.767	3.8273
271.659	3.81917
271.55	3.80695
271.44	3.79857
271.329	3.7849
271.221	3.77411
271.113	3.76003
271.006	3.74905
270.896	3.74125
270.784	3.73313
270.676	3.71955
270.567	3.70958
270.459	3.69685
270.348	3.68997
270.238	3.67539
270.13	3.66407
270.021	3.65293
269.913	3.64154
269.804	3.63937
269.695	3.61925
269.587	3.61146
269.478	3.60418
269.37	3.59118
269.261	3.58247
269.151	3.56697
269.043	3.55851
268.932	3.54887
268.824	3.53378
268.713	3.52601
268.604	3.51811
268.494	3.50807
268.384	3.49978
268.276	3.48879
268.166	3.47799
268.057	3.46625
267.949	3.45494
267.837	3.44548
267.728	3.43626
267.616	3.42369
267.505	3.41405
267.397	3.40535
267.286	3.39488
267.175	3.3849
267.065	3.372
266.957	3.35976
266.846	3.35456
266.738	3.34704
266.63	3.33162
266.52	3.32172
266.409	3.31494
266.3	3.30698
266.19	3.29868
266.079	3.28612
265.973	3.27782
265.862	3.2655
265.752	3.25712
265.64	3.24858
265.532	3.2402
265.421	3.2319
