# 'Tdn_K_110.2G'	'Rdn_Ohm_110.2G'	'Rdn/R5k_Ohm_110.2G'
296.139	0.475568	1.16373
296.019	0.475351	1.16320
295.898	0.475298	1.16307
295.782	0.475217	1.15608
295.663	0.475165	1.15566
295.55	0.475112	1.15514
295.432	0.475035	1.15501
295.318	0.474979	1.15481
295.204	0.474914	1.15469
295.093	0.474836	1.15456
294.979	0.474765	1.15437
294.87	0.47469	1.15424
294.758	0.474624	1.15408
294.649	0.474545	1.15389
294.538	0.474474	1.15371
294.425	0.474393	1.15353
294.312	0.474327	1.15337
294.205	0.474241	1.15318
294.094	0.474167	1.15301
293.986	0.474102	1.15281
293.878	0.474	1.15265
293.765	0.473937	1.15244
293.659	0.473855	1.15226
293.551	0.473771	1.1521
293.443	0.473675	1.15186
293.334	0.473598	1.1517
293.228	0.473516	1.1515
293.115	0.47342	1.1513
293.007	0.473314	1.15107
292.894	0.473224	1.15088
292.786	0.473139	1.15068
292.676	0.473046	1.15045
292.568	0.472951	1.15019
292.461	0.472847	1.14997
292.349	0.472754	1.14976
292.242	0.472652	1.14954
292.127	0.472552	1.14931
292.02	0.472461	1.14905
291.909	0.472342	1.14883
291.804	0.472269	1.14858
291.694	0.472167	1.14834
291.579	0.472062	1.14812
291.47	0.471962	1.14783
291.358	0.471856	1.14765
291.25	0.471757	1.1474
291.143	0.471672	1.14715
291.038	0.47156	1.1469
290.925	0.471465	1.14664
290.815	0.471356	1.1464
290.704	0.471267	1.1462
290.591	0.471162	1.14593
290.486	0.471053	1.14569
290.377	0.470969	1.14543
290.264	0.470868	1.14521
290.151	0.470768	1.14496
290.042	0.470674	1.14469
289.929	0.470568	1.14449
289.822	0.470459	1.14424
289.715	0.470367	1.144
289.603	0.470272	1.14377
289.494	0.470168	1.14352
289.381	0.470075	1.14325
289.268	0.469971	1.14303
289.156	0.469878	1.1428
289.045	0.46978	1.14254
288.933	0.469679	1.14232
288.822	0.469591	1.14206
288.716	0.469481	1.14184
288.601	0.469382	1.1416
288.488	0.469303	1.14136
288.381	0.469206	1.14114
288.272	0.469098	1.14087
288.162	0.469002	1.14063
288.05	0.468903	1.14044
287.935	0.4688	1.1402
287.828	0.468698	1.13994
287.719	0.468608	1.13971
287.605	0.46852	1.13947
287.492	0.468433	1.13922
287.382	0.468325	1.13897
287.269	0.468242	1.13875
287.159	0.46814	1.13854
287.05	0.46804	1.13833
286.934	0.467945	1.13807
286.823	0.46785	1.13786
286.714	0.467762	1.13762
286.599	0.467671	1.13737
286.493	0.467572	1.13714
286.381	0.467475	1.13691
286.271	0.46738	1.1367
286.159	0.4673	1.13647
286.045	0.4672	1.13624
285.935	0.467098	1.136
285.825	0.467015	1.13577
285.715	0.46694	1.13557
285.599	0.466837	1.13533
285.491	0.466743	1.13508
285.38	0.46667	1.13488
285.264	0.466575	1.1347
285.155	0.466493	1.13445
