# 'Tdn_K_85.8G'	'Rdn_Ohm_85.8G'
293.163	0.697643
293.055	0.697517
292.945	0.696487
292.835	0.696361
292.726	0.695732
292.616	0.694425
292.508	0.692263
292.399	0.692841
292.288	0.692313
292.176	0.69269
292.067	0.692237
291.957	0.69284
291.848	0.690855
291.738	0.69015
291.628	0.689849
291.519	0.68927
291.407	0.688616
291.295	0.687962
291.183	0.688993
291.075	0.686705
290.964	0.686253
290.851	0.687384
290.74	0.686453
290.63	0.686402
290.521	0.685497
290.411	0.685422
290.298	0.684215
290.188	0.684264
290.077	0.684014
289.969	0.683562
289.856	0.682757
289.748	0.682077
289.637	0.681549
289.529	0.68175
289.415	0.680217
289.306	0.681902
289.195	0.679412
289.086	0.679362
288.976	0.678231
288.865	0.678256
288.758	0.678532
288.647	0.677853
288.536	0.678406
288.425	0.676445
288.313	0.676244
288.202	0.675893
288.091	0.675591
287.981	0.676471
287.868	0.674636
287.757	0.674813
287.647	0.673253
287.536	0.673279
287.423	0.672373
287.311	0.672473
287.205	0.673202
287.096	0.672724
286.989	0.671467
286.875	0.671819
286.764	0.671291
286.654	0.67006
286.542	0.67011
286.433	0.670537
286.325	0.669984
286.214	0.669531
286.105	0.669732
285.993	0.668325
285.89	0.667268
285.781	0.667294
285.673	0.667294
285.561	0.667294
285.452	0.665835
285.344	0.666489
285.234	0.665507
285.125	0.665684
285.015	0.665106
284.904	0.665031
284.792	0.664478
284.683	0.663723
284.57	0.664402
284.459	0.66322
284.349	0.662591
284.239	0.662289
284.127	0.662616
284.019	0.661837
283.91	0.66136
283.8	0.661083
283.692	0.659927
283.583	0.659977
283.471	0.659675
283.361	0.65965
283.25	0.658217
283.141	0.657865
283.029	0.658065
282.921	0.657161
282.813	0.657387
282.704	0.657362
282.593	0.656608
282.485	0.657137
282.377	0.656559
282.267	0.656633
282.157	0.656281
282.048	0.65437
281.936	0.654747
281.829	0.654697
281.717	0.654596
281.605	0.653465
281.495	0.651956
281.383	0.652913
281.274	0.652861
281.163	0.651604
281.051	0.65271
280.942	0.652132
280.832	0.651705
280.721	0.65017
280.611	0.650875
280.499	0.648713
280.387	0.64914
280.279	0.649165
280.17	0.648034
280.06	0.647883
279.95	0.64821
279.838	0.648688
279.729	0.646274
279.621	0.646425
279.512	0.646777
279.405	0.646449
279.296	0.644841
279.187	0.645797
279.079	0.643282
278.97	0.645871
278.861	0.645267
278.75	0.644992
278.643	0.644539
278.532	0.643837
278.421	0.644263
278.31	0.642277
278.202	0.641799
278.091	0.643156
277.981	0.643685
277.873	0.6421
277.762	0.643232
277.654	0.640667
277.543	0.640415
277.432	0.639888
277.321	0.64107
277.216	0.640541
277.106	0.639586
276.998	0.640164
276.889	0.639057
276.779	0.639611
276.671	0.638506
276.56	0.637826
276.45	0.638153
276.34	0.637449
276.23	0.637952
276.12	0.637424
276.009	0.637598
275.898	0.636418
275.793	0.635513
275.683	0.636192
275.574	0.635739
275.464	0.635966
275.353	0.634809
275.244	0.635764
275.134	0.634356
275.026	0.634106
274.916	0.634835
274.807	0.632772
274.695	0.63325
274.587	0.63305
274.478	0.632723
274.37	0.632195
274.26	0.632295
274.149	0.631717
274.039	0.631591
273.93	0.631214
273.82	0.629731
273.711	0.630208
273.601	0.630887
273.494	0.629706
273.385	0.629228
273.276	0.629454
273.165	0.62958
273.055	0.630007
272.945	0.627594
272.835	0.628097
272.728	0.627618
272.618	0.627718
272.51	0.626587
272.401	0.626487
272.289	0.627518
272.177	0.625205
272.068	0.62626
271.959	0.625783
271.849	0.625833
271.739	0.624175
271.63	0.624702
271.522	0.6241
271.414	0.623546
271.306	0.623193
271.199	0.624149
271.09	0.623571
270.983	0.622943
270.873	0.622565
270.764	0.623571
270.654	0.62176
270.546	0.622666
270.44	0.620806
270.329	0.62166
270.219	0.620628
270.111	0.622062
270	0.620679
269.889	0.619674
269.784	0.620302
269.673	0.619297
269.564	0.61887
269.454	0.619498
269.348	0.618442
269.238	0.619347
269.128	0.617965
269.019	0.617613
268.909	0.618115
268.803	0.617939
268.695	0.617387
268.584	0.616858
268.476	0.616028
268.37	0.617462
268.26	0.615777
268.151	0.616733
268.045	0.614219
267.935	0.615727
267.825	0.614646
267.717	0.614545
267.609	0.6154
267.499	0.61349
267.39	0.614696
267.283	0.611705
267.175	0.612384
267.063	0.612786
266.955	0.612509
266.846	0.613087
266.738	0.611202
266.628	0.61266
266.52	0.611805
266.41	0.611177
266.303	0.610648
266.197	0.610196
266.086	0.610599
265.979	0.610574
265.87	0.609467
265.762	0.609593
265.653	0.609241
265.544	0.608662
265.436	0.608084
265.329	0.608688
265.219	0.607531
265.113	0.608009
265.003	0.607506
264.896	0.607908
264.786	0.607985
264.676	0.606752
264.568	0.60738
264.457	0.606274
264.349	0.605746
264.24	0.605772
264.131	0.608261
264.022	0.605721
263.916	0.604715
263.805	0.605595
263.696	0.605595
263.59	0.603912
263.482	0.604363
263.373	0.60278
263.264	0.603684
263.156	0.603383
263.05	0.602604
262.94	0.602956
262.832	0.602
262.724	0.602076
262.616	0.602302
262.507	0.60185
262.401	0.602604
262.295	0.601146
262.185	0.60117
262.076	0.600819
261.966	0.60112
261.858	0.599738
261.748	0.600065
261.639	0.599989
261.529	0.599562
261.422	0.600441
261.316	0.597953
261.207	0.599486
261.099	0.598381
260.99	0.599235
260.882	0.59848
260.774	0.598254
260.666	0.597425
260.556	0.597225
260.45	0.597048
260.342	0.59745
260.233	0.596721
260.127	0.595841
260.019	0.596319
259.91	0.59647
259.801	0.595715
259.692	0.594961
259.584	0.594559
259.474	0.595865
259.365	0.594357
259.257	0.593226
259.149	0.593855
259.041	0.593024
258.935	0.595137
258.827	0.594182
258.719	0.592874
258.609	0.593377
258.5	0.593025
258.397	0.591643
258.291	0.592572
258.185	0.591943
258.079	0.591165
257.97	0.591844
257.863	0.591316
257.752	0.589555
257.646	0.589934
257.541	0.589481
257.433	0.590034
257.325	0.590763
257.216	0.589103
257.109	0.589707
257.002	0.589807
256.897	0.589606
256.79	0.587947
256.683	0.588299
256.578	0.589078
256.473	0.589179
256.365	0.588148
256.26	0.587646
256.154	0.586062
256.046	0.587619
255.94	0.586991
255.835	0.585759
255.728	0.586412
255.619	0.585407
255.512	0.586162
255.404	0.585483
255.297	0.586036
255.19	0.585557
255.084	0.584553
254.976	0.584678
254.87	0.585056
254.763	0.583422
254.655	0.583824
254.551	0.58229
254.445	0.584679
254.337	0.582667
254.232	0.582768
254.123	0.582241
254.016	0.582768
253.91	0.581285
253.803	0.583547
253.697	0.581059
253.587	0.580782
253.479	0.582793
253.372	0.58043
253.266	0.580983
253.159	0.578494
253.052	0.580505
252.936	0.58048
252.829	0.579726
252.72	0.57867
252.612	0.579299
252.506	0.5796
252.396	0.579272
252.286	0.578444
252.178	0.578645
252.07	0.578897
251.96	0.57784
251.852	0.577639
251.74	0.578116
251.633	0.578092
