# 'Tdn_K_103.7G'	'Rdn_Ohm_103.7G'	'Rdn/R5k_Ohm_103.7G'
296.259	0.503962	1.24050
296.152	0.503822	1.24015
296.046	0.503675	1.23979
295.934	0.503476	1.22652
295.829	0.503338	1.22569
295.726	0.503184	1.22511
295.618	0.503074	1.22477
295.517	0.502896	1.22441
295.409	0.502781	1.22393
295.305	0.502641	1.22359
295.206	0.502534	1.22322
295.104	0.502397	1.22295
294.998	0.502273	1.22252
294.896	0.502159	1.22224
294.793	0.502038	1.2219
294.69	0.501913	1.22164
294.579	0.50179	1.22131
294.476	0.501683	1.22101
294.374	0.501567	1.22073
294.272	0.501455	1.22043
294.163	0.501348	1.22013
294.058	0.501233	1.21983
293.954	0.501122	1.21957
293.856	0.501022	1.21929
293.75	0.500907	1.21902
293.644	0.500788	1.21876
293.541	0.500672	1.21848
293.436	0.500574	1.21821
293.334	0.50046	1.21796
293.231	0.500357	1.21768
293.127	0.500258	1.2174
293.02	0.500131	1.21711
292.92	0.50004	1.21688
292.816	0.499947	1.2166
292.714	0.499837	1.21635
292.611	0.49973	1.21611
292.51	0.499619	1.2158
292.403	0.499509	1.21558
292.298	0.499405	1.21535
292.192	0.499281	1.21508
292.094	0.499188	1.21482
291.988	0.499073	1.21455
291.885	0.498977	1.21429
291.783	0.498839	1.21403
291.678	0.498739	1.21373
291.575	0.49863	1.21351
291.466	0.498519	1.21323
291.363	0.498411	1.21299
291.262	0.498286	1.21266
291.163	0.498192	1.21242
291.058	0.498058	1.21215
290.951	0.497966	1.21188
290.848	0.497847	1.21162
290.743	0.49772	1.21131
290.642	0.497611	1.21109
290.538	0.497495	1.21076
290.435	0.497365	1.21054
290.329	0.497266	1.21025
290.222	0.497144	1.20994
290.115	0.497021	1.20967
290.012	0.496891	1.20939
289.913	0.496771	1.20907
289.805	0.496661	1.20883
289.704	0.496542	1.20854
289.601	0.496408	1.20824
289.495	0.496283	1.20792
289.389	0.496188	1.20763
289.288	0.496074	1.20736
289.185	0.495945	1.20707
289.077	0.495832	1.20675
288.978	0.495701	1.20644
288.872	0.495583	1.20621
288.769	0.495446	1.20594
288.669	0.495342	1.20562
