# Tdn_K_96G	Rdn_Ohm_96G	'Rdn/R5k_Ohm_96G'
295.56	0.547435	1.3295
295.488	0.546975	1.32838
295.416	0.547261	1.32908
295.361	0.547409	1.32944
295.305	0.5473	1.32917
295.248	0.547337	1.32926
295.194	0.547259	1.32907
295.142	0.54731	1.3292
295.084	0.547202	1.32893
295.033	0.547083	1.32865
294.976	0.546846	1.32807
294.92	0.546872	1.32813
294.88	0.547037	1.32853
294.82	0.546892	1.32818
294.769	0.546474	1.32717
294.714	0.546788	1.32793
294.659	0.546804	1.32797
294.606	0.546768	1.32788
294.553	0.546277	1.32669
294.497	0.546406	1.327
294.442	0.546587	1.32744
294.384	0.546174	1.32644
294.33	0.546107	1.32627
294.276	0.546039	1.32611
294.227	0.546061	1.32616
294.175	0.54588	1.32572
294.117	0.546076	1.3262
294.063	0.545419	1.3246
294.009	0.545539	1.32489
293.955	0.545646	1.32516
293.901	0.545305	1.32433
293.846	0.545213	1.3241
293.796	0.545094	1.32381
293.743	0.545083	1.32379
293.691	0.544814	1.32314
293.637	0.544825	1.32316
293.582	0.544944	1.32345
293.531	0.544438	1.32222
293.477	0.544695	1.32285
293.424	0.544164	1.32156
293.372	0.544267	1.32181
293.318	0.544184	1.3216
293.267	0.543844	1.32078
293.212	0.544137	1.32149
293.16	0.543906	1.32093
293.107	0.543822	1.32073
293.05	0.543508	1.31996
292.998	0.543523	1.32
292.942	0.543337	1.31955
292.891	0.543435	1.31979
292.834	0.543177	1.31916
292.784	0.543017	1.31877
292.729	0.543023	1.31878
292.676	0.542944	1.31859
292.618	0.542537	1.3176
292.572	0.542588	1.31773
292.517	0.542717	1.31804
292.466	0.542308	1.31705
292.409	0.54234	1.31713
292.354	0.541994	1.31629
292.299	0.541952	1.31619
292.249	0.541875	1.316
292.194	0.541627	1.31539
292.142	0.541648	1.31545
292.088	0.541596	1.31532
292.03	0.5414	1.31484
291.979	0.541121	1.31417
291.925	0.540826	1.31345
291.873	0.541039	1.31397
291.827	0.540935	1.31371
291.765	0.54092	1.31368
291.719	0.540667	1.31306
291.666	0.540392	1.3124
291.611	0.540275	1.31211
291.555	0.540511	1.31269
291.503	0.540191	1.31191
291.448	0.540273	1.31211
291.397	0.539824	1.31102
291.341	0.539871	1.31113
291.287	0.53955	1.31035
291.235	0.539767	1.31088
291.182	0.539467	1.31015
291.125	0.539587	1.31044
291.071	0.539401	1.30999
291.018	0.53909	1.30923
290.966	0.539255	1.30964
290.91	0.538754	1.30842
290.858	0.538852	1.30866
290.8	0.538821	1.30858
290.746	0.539012	1.30904
290.693	0.538439	1.30765
290.642	0.53811	1.30685
290.587	0.538222	1.30713
290.528	0.538067	1.30675
290.473	0.537861	1.30625
290.419	0.537851	1.30622
290.365	0.537846	1.30621
290.315	0.537529	1.30544
290.257	0.537706	1.30587
