# 'Tdn_K_123.5G'	'Rdn_Ohm_123.5G'	'Rdn/R5k_Ohm_123.5G'
269.956	0.437395	1.06976
269.853	0.437379	1.06967
269.745	0.437337	1.06959
269.639	0.437289	1.0695
269.529	0.43728	1.06939
269.426	0.43723	1.06932
269.317	0.437207	1.06924
269.208	0.43717	1.06915
269.108	0.437136	1.06905
268.999	0.437094	1.06897
268.896	0.437066	1.06886
268.79	0.437038	1.06878
268.683	0.436996	1.0687
268.575	0.436963	1.06863
268.466	0.436933	1.06856
268.36	0.436911	1.06846
268.255	0.436881	1.06838
268.147	0.436834	1.06828
268.038	0.436797	1.06821
267.93	0.436758	1.06814
267.825	0.436732	1.06804
267.718	0.436692	1.06794
267.614	0.436673	1.06788
267.509	0.436633	1.06777
267.4	0.436607	1.06769
267.297	0.43658	1.06758
267.186	0.436543	1.06753
267.079	0.436515	1.06744
266.978	0.436484	1.06737
266.87	0.436447	1.06732
266.757	0.436419	1.06724
266.652	0.436384	1.06714
266.547	0.436359	1.06703
266.443	0.436318	1.06699
266.336	0.436296	1.06688
266.231	0.436268	1.06677
266.124	0.436224	1.06674
266.019	0.436193	1.06662
265.913	0.436161	1.06657
265.805	0.436126	1.06648
265.7	0.43609	1.06639
265.591	0.43605	1.06629
265.481	0.43602	1.06622
265.375	0.435995	1.06615
265.274	0.435965	1.06605
265.161	0.43594	1.06597
265.052	0.435909	1.0659
264.944	0.435881	1.06584
264.837	0.435841	1.06577
264.736	0.43581	1.06566
264.638	0.435789	1.06557
264.529	0.435753	1.06547
264.425	0.435701	1.06541
264.313	0.435688	1.06531
264.207	0.435654	1.06527
264.104	0.435623	1.06517
263.995	0.435586	1.0651
263.887	0.435563	1.06504
263.779	0.435542	1.06495
263.678	0.435517	1.06488
263.57	0.435475	1.0648
263.466	0.435433	1.06471
263.358	0.435412	1.06464
263.25	0.435374	1.06456
263.138	0.43534	1.0645
263.033	0.435317	1.0644
262.923	0.435284	1.06435
262.82	0.435262	1.06427
262.713	0.435243	1.06417
262.605	0.435201	1.06409
262.5	0.435164	1.06402
262.395	0.435142	1.06393
262.284	0.43511	1.06384
262.176	0.435091	1.06374
262.068	0.435057	1.06367
261.962	0.435008	1.06361
261.858	0.435001	1.06354
261.75	0.434966	1.06348
261.647	0.434939	1.0634
261.539	0.4349	1.06333
261.432	0.434876	1.06323
261.325	0.43486	1.06316
261.219	0.434813	1.06311
261.113	0.434791	1.06302
261.007	0.434769	1.06289
260.902	0.43473	1.06286
260.798	0.43469	1.06278
260.688	0.43467	1.0627
260.579	0.434651	1.06261
260.466	0.434602	1.06255
260.368	0.4346	1.06251
260.258	0.434554	1.06244
260.151	0.43452	1.06234
260.045	0.434493	1.06224
259.938	0.434462	1.06219
259.83	0.434444	1.06209
259.728	0.43441	1.06201
259.618	0.434385	1.06196
259.511	0.434358	1.06188
259.407	0.434326	1.06182
259.3	0.434298	1.06177
259.191	0.434274	1.06167
259.089	0.434238	1.06158
258.979	0.434205	1.06153
258.872	0.434184	1.06145
258.763	0.434147	1.0614
258.652	0.434108	1.06132
258.548	0.434099	1.0612
258.441	0.434063	1.06119
258.334	0.434043	1.0611
258.228	0.434013	1.06103
258.122	0.433989	1.06094
258.009	0.433957	1.06088
257.906	0.43394	1.06084
257.799	0.433911	1.06073
257.692	0.433862	1.06067
257.586	0.433858	1.06062
257.482	0.433832	1.06052
257.379	0.433808	1.06043
257.268	0.433765	1.06038
257.159	0.43375	1.06033
257.054	0.4337	1.06021
256.947	0.433692	1.06021
256.841	0.433671	1.06009
256.735	0.43364	1.06001
256.634	0.433617	1.05995
256.529	0.433571	1.05987
256.421	0.433563	1.05983
256.315	0.433532	1.05974
256.21	0.433508	1.05968
256.103	0.433486	1.05962
255.999	0.43347	1.05954
255.891	0.433429	1.05947
255.785	0.433408	1.05941
255.679	0.433381	1.05932
255.573	0.433358	1.05924
255.469	0.433312	1.05919
255.363	0.433299	1.0591
255.257	0.433268	1.05901
255.156	0.433248	1.05898
255.047	0.433228	1.0589
254.938	0.433203	1.05885
254.833	0.433177	1.05878
254.721	0.433145	1.05872
254.618	0.433125	1.05864
254.512	0.433109	1.0586
