# 'Tdn_K_86.6G'	'Rdn_Ohm_86.6G'
	
	
299.809	0.649622
299.725	0.649947
299.657	0.648779
299.18	0.646793
298.275	0.652658
297.864	0.650508
297.353	0.646688
297.065	0.644709
297.111	0.646638
296.953	0.643509
297.252	0.647498
297.331	0.646209
297.271	0.647282
297.223	0.647181
297.165	0.647056
297.094	0.647175
297.016	0.647066
296.958	0.646962
296.889	0.646991
296.83	0.64673
296.781	0.64699
296.726	0.646947
296.67	0.646899
296.61	0.646902
296.557	0.646699
296.494	0.646836
296.399	0.646579
296.335	0.646496
296.277	0.646445
296.215	0.646533
296.155	0.646547
296.087	0.646448
296.027	0.646493
295.97	0.646375
295.911	0.646235
295.854	0.646322
295.795	0.646284
295.739	0.646294
295.681	0.646281
295.629	0.646151
295.567	0.645965
295.508	0.646178
295.452	0.645988
295.393	0.645933
295.334	0.646133
295.277	0.645841
295.225	0.645992
295.166	0.645899
295.107	0.645828
295.052	0.645669
294.997	0.645692
294.937	0.645682
294.881	0.645594
294.826	0.645627
294.762	0.645622
294.71	0.645435
294.656	0.645435
294.59	0.645508
294.537	0.645295
294.476	0.645325
294.415	0.645188
294.358	0.645238
294.292	0.64517
294.235	0.645097
294.172	0.64512
294.115	0.645029
294.053	0.644925
293.997	0.645073
293.936	0.644865
293.875	0.644818
293.816	0.64481
293.761	0.644702
293.698	0.644741
293.636	0.644628
293.578	0.644553
293.517	0.644519
293.458	0.644475
293.394	0.644386
293.336	0.644483
293.274	0.644232
293.217	0.644201
293.15	0.644204
293.084	0.64402
293.023	0.643953
292.959	0.64411
292.901	0.643942
292.838	0.644093
292.77	0.643898
292.707	0.643849
292.645	0.643797
292.578	0.643747
292.516	0.643641
292.453	0.643582
292.384	0.643374
292.322	0.643455
292.251	0.643494
292.192	0.643333
292.124	0.643382
292.057	0.64327
291.992	0.643153
291.925	0.64322
291.86	0.642976
291.791	0.643066
291.724	0.642878
291.659	0.642972
291.591	0.642892
291.523	0.642899
291.453	0.64274
291.389	0.642649
291.317	0.642649
291.248	0.642613
291.181	0.642649
291.112	0.642462
291.044	0.642358
290.974	0.642231
290.901	0.642264
290.836	0.642228
290.763	0.642083
290.693	0.642054
290.625	0.64208
290.551	0.641993
290.479	0.641828
290.408	0.641836
290.336	0.641724
290.268	0.641668
290.193	0.641612
290.122	0.641393
290.054	0.641442
289.977	0.641411
289.908	0.641377
289.834	0.641297
289.764	0.641248
289.687	0.641185
289.614	0.640845
289.541	0.640997
289.466	0.640953
289.392	0.64087
289.323	0.640917
289.245	0.640742
289.173	0.640587
289.094	0.640648
289.021	0.640365
288.946	0.640519
288.874	0.640278
288.797	0.640329
288.721	0.640322
288.645	0.640119
288.572	0.640094
288.496	0.639934
288.421	0.639875
288.341	0.639934
288.267	0.639825
288.189	0.639702
288.112	0.639647
288.038	0.639569
287.958	0.639596
287.88	0.639559
287.81	0.639425
287.73	0.639259
287.652	0.63923
287.573	0.639166
287.501	0.639142
287.416	0.638949
287.339	0.638856
287.26	0.638978
287.184	0.638749
287.104	0.638762
287.028	0.638617
286.951	0.638525
286.867	0.638474
286.789	0.63833
286.713	0.638281
286.633	0.638161
286.556	0.638266
