# 'Tdn_K_94.2G'	'Rdn_Ohm_94.2G'
	
	
298.785	0.516249
298.651	0.511736
298.533	0.512441
298.416	0.512204
298.31	0.513005
298.197	0.513051
298.098	0.513222
297.993	0.512989
297.887	0.512898
297.781	0.513256
297.679	0.512421
297.575	0.512837
297.476	0.512673
297.373	0.512584
297.267	0.512631
297.164	0.512421
297.06	0.512553
296.959	0.51225
296.854	0.512198
296.752	0.512253
296.651	0.512157
296.543	0.511978
296.437	0.511954
296.333	0.511759
296.231	0.511839
296.128	0.511662
296.02	0.51147
295.921	0.511477
295.812	0.511272
295.705	0.511279
295.604	0.51117
295.497	0.511027
295.394	0.510929
295.291	0.510915
295.186	0.510585
295.078	0.510662
294.974	0.510481
294.872	0.510293
294.769	0.510278
294.663	0.510328
294.558	0.510137
294.455	0.509945
294.353	0.509864
294.247	0.509926
294.145	0.509825
294.043	0.509812
293.939	0.509534
293.834	0.509458
293.726	0.509432
293.623	0.509291
293.519	0.509185
293.414	0.50911
293.315	0.508923
293.209	0.508907
293.108	0.508774
293.01	0.508576
292.899	0.50866
292.796	0.50853
292.691	0.508473
292.587	0.50827
292.481	0.508215
292.378	0.508139
292.279	0.508025
292.17	0.508015
292.07	0.507705
291.966	0.507765
291.862	0.507616
291.754	0.507434
291.651	0.507328
291.547	0.507221
291.441	0.507296
291.34	0.507247
291.238	0.506959
291.134	0.506964
291.026	0.507059
290.925	0.5069
290.825	0.506838
290.725	0.506678
290.622	0.506451
290.515	0.506467
290.411	0.506327
290.309	0.506272
290.201	0.506215
290.099	0.506209
289.997	0.505993
289.897	0.505869
289.795	0.505858
289.69	0.505775
289.594	0.505525
289.485	0.505507
289.382	0.505517
289.281	0.505359
289.18	0.505333
289.072	0.505262
288.969	0.505169
288.869	0.504956
288.764	0.504818
288.659	0.504843
288.555	0.504703
288.447	0.504653
288.348	0.504609
288.246	0.504474
288.139	0.504279
288.04	0.504204
287.934	0.504173
287.827	0.504084
287.728	0.503899
287.625	0.503878
287.519	0.503712
287.416	0.503611
287.315	0.503662
287.212	0.503501
287.108	0.503603
287.007	0.503421
286.901	0.503314
286.797	0.503229
286.692	0.503176
286.592	0.503207
286.488	0.502992
286.387	0.502882
286.286	0.502846
286.183	0.502721
286.079	0.502699
285.978	0.502368
285.882	0.50249
285.775	0.502479
285.671	0.502277
285.565	0.502115
285.465	0.502113
285.361	0.501941
285.256	0.502032
285.151	0.501959
285.044	0.501847
284.943	0.50152
284.844	0.501716
284.735	0.501432
284.639	0.501393
284.532	0.501394
284.428	0.501231
284.319	0.501165
284.223	0.501087
284.118	0.50095
284.014	0.500862
283.911	0.500938
283.805	0.500558
283.702	0.500603
283.596	0.500567
283.492	0.50043
283.392	0.500451
283.288	0.500284
283.183	0.50023
283.08	0.499963
282.978	0.500143
282.877	0.500081
282.774	0.49994
282.673	0.499924
282.57	0.499758
282.465	0.499618
282.363	0.499709
282.26	0.49941
282.16	0.499433
282.057	0.499373
281.952	0.499155
281.85	0.499207
281.748	0.499025
281.649	0.498986
281.546	0.498815
281.443	0.498872
281.337	0.498818
281.235	0.498614
281.134	0.49852
281.03	0.498549
280.928	0.498464
280.822	0.498204
