# Tdn_K_80G	Rdn_Ohm_80G
261.664	0.840402
261.558	0.840225
261.457	0.840059
261.352	0.839737
261.254	0.839789
261.148	0.83949
261.038	0.839486
260.938	0.839001
260.831	0.838902
260.732	0.838775
260.633	0.838524
260.529	0.838325
260.428	0.83825
260.321	0.837833
260.216	0.837806
260.115	0.837725
260.011	0.837356
259.911	0.837323
259.812	0.837039
259.707	0.836872
259.602	0.836649
259.495	0.836467
259.392	0.83652
259.293	0.836098
259.189	0.836081
259.087	0.835968
258.988	0.835766
258.888	0.835559
258.786	0.835196
258.678	0.835177
258.58	0.834938
258.473	0.834731
258.369	0.834483
258.268	0.834311
258.16	0.834288
258.06	0.833953
257.961	0.833796
257.853	0.833737
257.749	0.833551
257.654	0.833399
257.55	0.833189
257.45	0.833045
257.352	0.832689
257.253	0.832615
257.151	0.832242
257.039	0.832245
256.941	0.83213
256.837	0.831878
256.73	0.831701
256.632	0.831558
256.53	0.831369
256.431	0.831304
256.327	0.831167
256.22	0.830783
256.123	0.830662
256.019	0.830457
255.915	0.830383
255.816	0.830267
255.716	0.829977
255.618	0.829736
255.498	0.82956
255.392	0.82941
255.286	0.829219
255.192	0.829154
255.087	0.82895
254.986	0.828621
254.88	0.828569
254.776	0.828395
254.675	0.828275
254.569	0.827932
254.467	0.827828
254.367	0.827677
254.258	0.82746
254.16	0.827282
254.058	0.827095
253.96	0.826987
253.854	0.826767
253.744	0.826471
253.64	0.826475
253.539	0.8262
253.44	0.826113
253.335	0.826011
253.228	0.825626
253.131	0.825475
253.031	0.825379
252.924	0.825135
252.826	0.825047
252.719	0.82493
252.613	0.824757
252.516	0.824497
252.415	0.824225
252.31	0.82409
252.215	0.823933
252.113	0.823848
252.006	0.823811
251.904	0.823442
251.806	0.823086
251.703	0.823209
251.606	0.822849
251.506	0.822864
251.404	0.822447
251.296	0.82238
251.202	0.822114
251.098	0.822125
250.992	0.821815
250.887	0.821689
250.79	0.821478
250.689	0.821415
250.589	0.821327
250.49	0.821022
250.39	0.821038
250.289	0.820588
250.187	0.820533
250.088	0.820311
249.986	0.820081
249.885	0.81999
249.78	0.819729
249.673	0.819801
249.57	0.819531
249.474	0.819362
249.379	0.8192
249.274	0.818845
249.17	0.818836
249.064	0.818638
248.962	0.818367
248.858	0.818293
248.754	0.81807
248.656	0.817953
248.551	0.817899
248.451	0.817407
248.351	0.817504
248.247	0.817371
248.141	0.817058
248.043	0.816861
247.94	0.816566
247.836	0.816687
247.732	0.816422
247.63	0.816213
247.521	0.816044
247.424	0.815891
247.322	0.815834
247.215	0.815457
247.106	0.815382
246.998	0.815168
246.899	0.815062
246.795	0.8148
246.686	0.814681
246.581	0.814594
246.483	0.814493
246.375	0.814028
246.27	0.813958
246.171	0.813814
246.067	0.813736
245.963	0.813489
245.861	0.813237
245.757	0.813105
245.655	0.812741
245.552	0.812737
245.45	0.812575
245.351	0.812393
245.249	0.8124
245.147	0.81201
245.054	0.812021
244.949	0.811761
244.844	0.811631
244.744	0.811425
244.641	0.811272
244.541	0.811212
244.442	0.81096
244.338	0.810703
244.238	0.810567
244.137	0.810357
244.033	0.810368
243.927	0.810116
243.827	0.810006
243.722	0.80982
243.623	0.809648
243.518	0.809401
243.418	0.809279
243.31	0.809167
243.208	0.808906
243.101	0.808814
242.999	0.808801
242.899	0.808397
242.797	0.808206
242.694	0.808108
242.595	0.807822
242.486	0.807728
242.395	0.807599
242.291	0.807394
242.193	0.807275
242.127	0.807142
242.006	0.807108
241.896	0.80684
241.793	0.80671
241.692	0.806492
241.592	0.806325
241.492	0.806221
241.392	0.806017
241.286	0.80573
241.186	0.805533
241.082	0.805497
240.973	0.805268
240.868	0.80512
240.767	0.804989
240.674	0.804765
240.573	0.804621
240.46	0.804345
