# 'raman shift'	'Int_48.3GPa_1'
46.756	1949.09
47.468	1962.55
48.18	1982.36
48.892	2008.73
49.604	2026.73
50.316	2034.18
51.028	2057.09
51.74	2077.09
52.452	2112.18
53.164	2166.36
53.875	2173.27
54.587	2216.36
55.298	2265.27
56.01	2319.09
56.721	2381.82
57.432	2441.09
58.143	2578
58.854	2711.09
59.565	2840.36
60.276	3101.82
60.987	3164.18
61.698	3196.55
62.408	3245.27
63.119	3419.64
63.829	3546.91
64.54	3697.27
65.25	3867.45
65.96	3991.09
66.671	4122.55
67.381	4252.91
68.091	4392.36
68.801	4467.64
69.51	4525.09
70.22	4556.18
70.93	4655.64
71.64	4785.64
72.349	4891.09
73.059	4855.09
73.768	4971.64
74.477	4893.27
75.186	4883.82
75.896	5033.82
76.605	5068.36
77.314	5041.64
78.023	4934.91
78.731	4815.64
79.44	4856.73
80.149	4818.73
80.857	4776.36
81.566	4738.91
82.274	4739.09
82.983	4904.36
83.691	4952.55
84.399	5002.18
85.107	4924
85.815	4875.82
86.523	4745.27
87.231	4695.09
87.939	4654.18
88.647	4720.91
89.354	4642.91
90.062	4686.36
90.769	4718.36
91.477	4807.64
92.184	4792
92.891	4848.73
93.598	4714.55
94.306	4746.18
95.013	4672.73
95.719	4674.18
96.426	4621.27
97.133	4587.27
97.84	4545.45
98.546	4525.45
99.253	4602.55
99.959	4564.91
100.666	4579.27
101.372	4591.64
102.078	4503.27
102.784	4479.09
103.49	4480.55
104.196	4479.82
104.902	4479.09
105.608	4522.55
106.314	4555.64
107.02	4602.73
107.725	4605.45
108.431	4618
109.136	4532.73
109.841	4388.91
110.547	4357.09
111.252	4335.09
111.957	4354
112.662	4287.82
113.367	4321.64
114.072	4350.18
114.777	4322.55
115.481	4313.09
116.186	4374.91
116.891	4338.73
117.595	4381.64
118.299	4306
119.004	4304
119.708	4255.64
120.412	4223.64
121.116	4234.55
121.82	4271.64
122.524	4284.36
123.228	4297.45
123.932	4304.55
124.636	4314.18
125.339	4274.73
126.043	4243.09
