# 'raman shift'	'Int_44.8GPa_1'
46.756	1971.64
47.468	1992.91
48.18	2000.91
48.892	1990.18
49.604	2036.18
50.316	2052.91
51.028	2061.09
51.74	2075.09
52.452	2107.09
53.164	2155.27
53.875	2190.36
54.587	2238
55.298	2303.09
56.01	2328.73
56.721	2413.27
57.432	2494.55
58.143	2584.36
58.854	2722.55
59.565	2922.73
60.276	3128.73
60.987	3167.64
61.698	3262.18
62.408	3358.91
63.119	3518.73
63.829	3695.09
64.54	3846.55
65.25	4008.18
65.96	4200
66.671	4331.82
67.381	4418.36
68.091	4573.45
68.801	4667.45
69.51	4715.45
70.22	4732.91
70.93	4885.27
71.64	4938.73
72.349	5018.73
73.059	5098.55
73.768	5137.27
74.477	5139.45
75.186	5130.55
75.896	5247.09
76.605	5201.45
77.314	5272.36
78.023	5083.64
78.731	4944.73
79.44	4964.91
80.149	4984
80.857	4894
81.566	4962.36
82.274	4964.55
82.983	4976.91
83.691	5040
84.399	5163.27
85.107	5080.36
85.815	4938.18
86.523	4870.18
87.231	4804.91
87.939	4810.55
88.647	4784.36
89.354	4774.91
90.062	4781.27
90.769	4855.09
91.477	4854.55
92.184	4920.73
92.891	4944
93.598	4903.45
94.306	4806.18
95.013	4830.36
95.719	4837.82
96.426	4706
97.133	4613.27
97.84	4649.27
98.546	4638
99.253	4618.91
99.959	4726.55
100.666	4716.91
101.372	4673.82
102.078	4563.64
102.784	4565.27
103.49	4555.27
104.196	4558.91
104.902	4575.27
105.608	4572.73
106.314	4604.91
107.02	4702.91
107.725	4689.09
108.431	4695.64
109.136	4671.45
109.841	4513.27
110.547	4495.82
111.252	4490.91
111.957	4488
112.662	4411.45
113.367	4444.91
114.072	4446.18
114.777	4434.36
115.481	4450.18
116.186	4480
116.891	4448
117.595	4461.27
118.299	4508.91
119.004	4436.18
119.708	4373.64
120.412	4350.36
121.116	4421.82
121.82	4370.18
122.524	4383.45
123.228	4390.36
123.932	4495.09
124.636	4476.18
125.339	4370.73
126.043	4332
126.746	4356.73
127.45	4352.55
128.153	4316
128.856	4354
129.559	4416.36
130.262	4378
130.965	4332
131.668	4384.18
132.371	4383.09
133.074	4323.27
133.776	4255.64
134.479	4336.36
135.181	4317.27
135.884	4307.82
136.586	4331.27
137.289	4331.64
137.991	4336.91
138.693	4337.45
139.395	4362.73
140.097	4375.09
140.799	4380.73
141.501	4323.27
142.202	4295.27
142.904	4347.82
143.606	4382
144.307	4309.27
145.008	4323.82
145.71	4345.45
146.411	4349.45
147.112	4279.45
147.813	4329.27
148.514	4352.18
149.215	4303.64
149.916	4317.09
150.617	4371.09
151.318	4331.27
152.018	4284.55
152.719	4320.73
153.419	4342.55
154.12	4329.27
154.82	4305.27
155.52	4362.91
156.22	4351.82
156.921	4372
157.621	4375.82
158.321	4345.82
159.02	4380.91
159.72	4322.73
160.42	4319.45
161.119	4360.91
161.819	4387.45
162.518	4434.73
163.218	4384.73
163.917	4408.91
164.616	4370.18
165.316	4433.64
