# 'raman shift'	'Int_15.8GPa_1'
46.756	1538
47.468	1563.2
48.18	1589.2
48.892	1611.4
49.604	1643.6
50.316	1693.8
51.028	1713.8
51.74	1736.4
52.452	1786
53.164	1812.4
53.875	1860
54.587	1898.6
55.298	1965.8
56.01	2007.4
56.721	2073.6
57.432	2163.2
58.143	2233
58.854	2342.8
59.565	2511
60.276	2650.4
60.987	2763.8
61.698	2862.8
62.408	2936.6
63.119	2987.8
63.829	3123
64.54	3222.6
65.25	3338.4
65.96	3483.6
66.671	3611
67.381	3751.2
68.091	3832.8
68.801	3974.8
69.51	4021
70.22	4035
70.93	4147
71.64	4223.4
72.349	4234.4
73.059	4345.8
73.768	4364.4
74.477	4429.8
75.186	4378.6
75.896	4485.2
76.605	4527.8
77.314	4534.8
78.023	4451
78.731	4380.4
79.44	4320
80.149	4383.6
80.857	4319.2
81.566	4327
82.274	4369.2
82.983	4414.2
83.691	4534.6
84.399	4507.6
85.107	4516.4
85.815	4485.2
86.523	4401.8
87.231	4379.8
87.939	4335
88.647	4401.2
89.354	4361.4
90.062	4413.4
90.769	4425.2
91.477	4535.2
92.184	4487.4
92.891	4544.8
93.598	4586.4
94.306	4522.4
95.013	4447.6
95.719	4522.8
96.426	4494.6
97.133	4487.2
97.84	4512.8
98.546	4522.8
99.253	4570.6
99.959	4496.2
100.666	4556.4
101.372	4545.8
102.078	4428.4
102.784	4441.8
103.49	4486.4
104.196	4502.8
104.902	4508.8
105.608	4562.2
106.314	4561.4
107.02	4626.6
107.725	4695
108.431	4756.8
109.136	4834
109.841	4778
110.547	4686.6
111.252	4741
111.957	4812.6
112.662	4763
113.367	4754.6
114.072	4809
114.777	4780.8
115.481	4707
116.186	4629.6
116.891	4656.4
117.595	4557.6
118.299	4511.4
119.004	4478.8
119.708	4503.2
120.412	4483.2
121.116	4493
121.82	4480.2
122.524	4534
123.228	4557.8
123.932	4593.2
124.636	4605.8
125.339	4639.6
126.043	4586.4
126.746	4580
127.45	4586.8
128.153	4560.4
128.856	4651
129.559	4646.4
130.262	4608.8
130.965	4644
131.668	4608
132.371	4697.4
133.074	4684
133.776	4707
134.479	4741.8
135.181	4724.8
135.884	4712.6
136.586	4702.6
137.289	4713.8
137.991	4753
138.693	4846.2
139.395	4828.8
140.097	4883.2
140.799	4955.8
141.501	4891.6
142.202	4893.8
142.904	4967.2
143.606	5019.8
144.307	5032.6
145.008	5084.2
145.71	5202.2
146.411	5301.2
147.112	5306.4
147.813	5447.8
148.514	5476.4
149.215	5566.2
149.916	5676
150.617	5802.4
151.318	5962.2
152.018	6017.4
152.719	6150
153.419	6217.8
154.12	6346.8
154.82	6624.4
155.52	6748
156.22	6990.8
156.921	7219.6
157.621	7389.4
158.321	7582.6
159.02	7847.6
159.72	8052.8
160.42	8289.4
161.119	8525.6
161.819	8806.4
162.518	9025.8
163.218	9227.8
163.917	9544.6
164.616	9732.6
165.316	9953.4
166.015	9869.6
166.714	9986.8
167.412	9990.8
168.111	9930
168.81	9744.4
169.509	9566
170.207	9403
170.906	9065
171.604	8862.6
172.303	8720.2
173.001	8374.6
173.699	7979.2
174.397	7970
175.095	7864.2
175.793	7683.8
176.491	7668.4
177.189	7679.8
177.887	7657.6
178.584	7686.4
179.282	7757.6
179.98	7898
180.677	8080
181.374	8324.6
182.072	8441.6
182.769	8642
183.466	8830.6
184.163	9064.2
184.86	9289.2
185.557	9583
186.254	9886.2
186.95	10027.2
187.647	10250.6
188.344	10317.4
189.04	10432.4
189.737	10299.2
190.433	10251
191.129	10141.4
191.825	9870.8
192.521	9632
193.217	9325.4
193.913	9007
194.609	8860.2
195.305	8549.6
196.001	8263.2
196.696	8119.2
197.392	7963.2
198.087	7734.2
198.783	7532.2
199.478	7328.2
200.173	7228.4
200.869	6932
201.564	6881.2
202.259	6725.4
202.954	6675.2
203.649	6509.6
204.343	6406.4
205.038	6294
205.733	6322.6
206.427	6196.6
207.122	6231.2
207.816	6174.8
208.51	6127.8
209.205	6071.8
209.899	6140
210.593	6182.2
211.287	6213.4
211.981	6191.2
212.675	6282
213.369	6305.2
214.062	6353
214.756	6552.2
215.449	6774
216.143	6923
216.836	7189.2
217.53	7448
218.223	7755.6
218.916	7903.4
219.609	8042.8
220.302	8120.8
220.995	7936.8
221.688	7870.4
222.381	7680
223.073	7497.8
223.766	7364.4
224.458	7264.4
225.151	7046.6
225.843	6979.8
226.536	6964.2
227.228	6935.8
227.92	6891.2
228.612	6907.2
229.304	6891
229.996	6904.4
230.688	6963
231.38	7000.8
232.071	6921
232.763	6912.8
233.454	6909.4
234.146	6916.4
234.837	6795.4
235.529	6710.6
236.22	6743.2
236.911	6618
237.602	6607.6
238.293	6574.8
238.984	6608.8
239.675	6497.2
240.366	6478.6
241.056	6461
241.747	6456.6
242.437	6488
243.128	6393.2
243.818	6419.4
244.508	6352.8
245.199	6329.6
245.889	6313.4
246.579	6385.2
247.269	6301.2
247.959	6354.8
248.649	6244.2
249.338	6239.4
250.028	6162
250.718	6100.4
251.407	5983.4
252.097	6022
252.786	5859.8
253.475	5847.2
254.165	5856.2
254.854	5882.8
255.543	5739.4
256.232	5807.4
256.921	5914.8
257.61	5913.2
258.298	5941.4
258.987	6000.2
259.676	6019
260.364	6053
261.053	5961.8
261.741	5918
262.429	5931.2
263.117	5799
263.806	5671.8
264.494	5665.4
265.182	5607.2
265.87	5480
266.557	5391.2
267.245	5404.2
267.933	5310.2
268.62	5346.2
269.308	5236.8
269.995	5222.8
270.683	5170.2
271.37	5154
272.057	5119.4
272.745	5047
273.432	5002.2
274.119	5004
274.805	4946.8
275.492	4971
276.179	4995
276.866	4950.4
277.552	4876.8
278.239	4832
278.925	4906
279.612	4877.4
280.298	4828.8
280.984	4815.8
281.67	4832
282.357	4884.6
283.043	4781.6
283.728	4809
284.414	4822.4
285.1	4822
285.786	4727
286.471	4830
287.157	4756.2
287.842	4738.2
288.528	4788.2
289.213	4785.4
289.898	4755
290.583	4789.2
291.269	4771.8
291.954	4780
292.638	4732.4
293.323	4794.8
294.008	4804
294.693	4823.2
295.377	4858.6
296.062	4814.2
296.746	4803.4
297.431	4797.8
298.115	4861.8
298.799	4800.2
299.483	4796.4
300.168	4745.6
300.852	4804.8
301.536	4836.8
302.219	4733
302.903	4734.2
303.587	4767
304.27	4809
304.954	4714.4
305.638	4708.2
306.321	4733.4
307.004	4648.4
307.687	4656.6
308.371	4679.6
309.054	4667.6
309.737	4578.6
310.42	4592.6
311.103	4573
311.785	4490.6
312.468	4569
313.151	4569.6
313.833	4505.8
314.516	4485.2
315.198	4461
315.88	4499
316.563	4503.2
317.245	4442.6
317.927	4443.6
318.609	4369
319.291	4393
319.973	4413.2
