# 'raman shift'	'Int_32.1GPa_1'
46.756	1602.91
47.468	1584
48.18	1588.91
48.892	1599.27
49.604	1603.64
50.316	1642.73
51.028	1627.64
51.74	1644.18
52.452	1699.45
53.164	1719.82
53.875	1769.45
54.587	1811.45
55.298	1854.55
56.01	1897.64
56.721	1939.64
57.432	2042.18
58.143	2121.64
58.854	2230.18
59.565	2421.64
60.276	2578.18
60.987	2649.09
61.698	2722
62.408	2830
63.119	2915.27
63.829	3065.45
64.54	3239.27
65.25	3367.64
65.96	3484.55
66.671	3710
67.381	3774.73
68.091	3880.73
68.801	3983.27
69.51	4089.09
70.22	4116.73
70.93	4166.18
71.64	4265.27
72.349	4320.36
73.059	4397.82
73.768	4431.27
74.477	4420
75.186	4393.09
75.896	4417.09
76.605	4464.73
77.314	4436.36
78.023	4384
78.731	4291.82
79.44	4252.18
80.149	4253.09
80.857	4251.64
81.566	4273.27
82.274	4283.82
82.983	4342.91
83.691	4390.55
84.399	4452
85.107	4390.91
85.815	4324.55
86.523	4218
87.231	4205.82
87.939	4189.27
88.647	4171.82
89.354	4153.64
90.062	4235.45
90.769	4213.09
91.477	4281.45
92.184	4330.36
92.891	4306.91
93.598	4246.18
94.306	4295.82
95.013	4230.91
95.719	4186.73
96.426	4145.27
97.133	4153.09
97.84	4197.64
98.546	4152.55
99.253	4135.45
99.959	4118
100.666	4125.09
101.372	4126.18
102.078	4072.18
102.784	4084.18
103.49	4089.45
104.196	4115.27
104.902	4067.82
105.608	4032
106.314	4164.91
107.02	4243.27
107.725	4228.36
108.431	4217.45
109.136	4274.91
109.841	4122.91
110.547	4107.64
111.252	4112.55
111.957	4108
112.662	4095.45
113.367	4076.36
114.072	4115.45
114.777	4058.55
115.481	4078.91
116.186	4069.09
116.891	4167.82
117.595	4136.36
118.299	4166.73
119.004	4116.55
119.708	4107.45
120.412	4106.73
121.116	4095.64
121.82	4143.64
122.524	4155.45
123.228	4142.36
123.932	4172.73
124.636	4144.91
125.339	4126
126.043	4036.36
126.746	4045.09
127.45	4039.27
128.153	3954.18
128.856	3989.64
129.559	3986
130.262	3975.27
130.965	3989.64
131.668	4043.64
132.371	4044.55
