# 'raman shift'	'Int_36.6GPa_1'
46.756	1462.55
47.468	1492
48.18	1484.18
48.892	1526.91
49.604	1536.36
50.316	1573.27
51.028	1594.36
51.74	1618.73
52.452	1650.36
53.164	1659.09
53.875	1680.18
54.587	1736.73
55.298	1774
56.01	1824.36
56.721	1849.09
57.432	1926.55
58.143	2023.64
58.854	2141.82
59.565	2259.82
60.276	2407.82
60.987	2482
61.698	2501.64
62.408	2559.09
63.119	2656.91
63.829	2777.27
64.54	2888.55
65.25	3059.27
65.96	3176.18
66.671	3312.36
67.381	3382.55
68.091	3497.27
68.801	3605.09
69.51	3641.82
70.22	3640.18
70.93	3724.91
71.64	3811.27
72.349	3917.09
73.059	3935.64
73.768	3929.09
74.477	3936.36
75.186	3902.91
75.896	4025.64
76.605	4072.36
77.314	4018.36
78.023	3898
78.731	3875.09
79.44	3828.18
80.149	3794
80.857	3808.18
81.566	3822.36
82.274	3826.73
82.983	3870
83.691	3912.55
84.399	3961.45
85.107	3919.27
85.815	3834
86.523	3713.27
87.231	3750.18
87.939	3677.82
88.647	3708.73
89.354	3675.64
90.062	3689.27
90.769	3709.27
91.477	3771.27
92.184	3864.36
92.891	3837.45
93.598	3807.09
94.306	3760.73
95.013	3765.64
95.719	3744.55
96.426	3726
97.133	3702.73
97.84	3641.27
98.546	3635.64
99.253	3684.18
99.959	3631.45
100.666	3660.73
101.372	3633.45
102.078	3568.18
102.784	3527.27
103.49	3576.18
104.196	3574.36
104.902	3598.55
105.608	3594
106.314	3699.45
107.02	3738.73
107.725	3718.55
108.431	3748.36
109.136	3671.82
109.841	3582.36
110.547	3580.91
111.252	3506.55
111.957	3545.09
112.662	3542
113.367	3552.73
114.072	3561.82
114.777	3560
115.481	3557.27
116.186	3564
116.891	3561.45
117.595	3561.09
118.299	3576.91
119.004	3542.55
119.708	3511.64
120.412	3517.09
121.116	3536
121.82	3535.64
122.524	3522.55
123.228	3589.45
123.932	3593.82
124.636	3570
125.339	3531.27
126.043	3495.45
126.746	3512.36
127.45	3516.36
128.153	3473.82
128.856	3502.55
129.559	3495.45
130.262	3487.45
130.965	3491.82
131.668	3489.82
132.371	3488.55
133.074	3452.18
133.776	3465.27
134.479	3431.64
135.181	3482.36
135.884	3468.91
136.586	3389.45
137.289	3425.09
137.991	3472
138.693	3512
139.395	3535.09
140.097	3531.82
140.799	3512.18
141.501	3486.91
142.202	3451.09
142.904	3502.73
143.606	3524.73
144.307	3493.82
145.008	3446
145.71	3472.55
146.411	3441.27
147.112	3420.18
147.813	3462.36
148.514	3543.82
149.215	3475.45
149.916	3480.73
150.617	3494.73
151.318	3455.64
152.018	3430.55
152.719	3452.91
153.419	3502.73
154.12	3463.45
154.82	3514.91
155.52	3478.91
156.22	3539.82
156.921	3508.55
157.621	3496.18
158.321	3494.55
159.02	3502.91
159.72	3492
160.42	3538.36
161.119	3525.64
161.819	3491.82
162.518	3537.45
163.218	3558.36
163.917	3595.09
164.616	3559.45
165.316	3536.91
166.015	3594.18
166.714	3567.64
167.412	3594.55
168.111	3585.27
168.81	3655.64
169.509	3646.18
170.207	3657.45
170.906	3699.27
171.604	3632.18
172.303	3685.27
173.001	3703.09
173.699	3726.73
174.397	3681.27
175.095	3693.27
175.793	3682.36
176.491	3725.27
177.189	3774.73
177.887	3743.45
178.584	3777.45
179.282	3768.73
179.98	3772.55
180.677	3833.45
181.374	3763.09
182.072	3773.45
182.769	3786.91
183.466	3769.82
184.163	3751.09
184.86	3811.45
185.557	3784
186.254	3825.27
186.95	3786.55
187.647	3802
188.344	3835.45
189.04	3803.64
189.737	3778.18
190.433	3774.36
191.129	3784.36
191.825	3748.55
192.521	3736.55
193.217	3753.45
193.913	3762.73
194.609	3807.64
195.305	3783.27
196.001	3761.64
196.696	3765.82
197.392	3781.64
198.087	3799.82
198.783	3752.36
199.478	3773.27
200.173	3801.64
200.869	3772.36
201.564	3759.82
202.259	3792.55
202.954	3818.73
203.649	3769.64
204.343	3810.18
205.038	3794.36
205.733	3756
206.427	3775.45
207.122	3700.18
207.816	3671.82
208.51	3709.27
209.205	3709.45
209.899	3717.27
210.593	3691.82
211.287	3728.55
211.981	3728.55
212.675	3690.36
213.369	3694.36
214.062	3642.73
214.756	3678.91
215.449	3664.36
216.143	3644.55
216.836	3661.82
217.53	3668.36
218.223	3668.91
218.916	3679.64
219.609	3671.27
220.302	3704.36
220.995	3658.36
221.688	3690.55
222.381	3724.36
223.073	3684.91
223.766	3699.27
224.458	3666
225.151	3708.36
225.843	3709.64
226.536	3690.73
227.228	3723.09
227.92	3723.64
228.612	3777.45
229.304	3745.45
229.996	3768.73
230.688	3746
231.38	3737.45
232.071	3753.09
232.763	3780.18
233.454	3778.36
234.146	3757.64
234.837	3807.45
235.529	3780.91
236.22	3821.09
236.911	3776.91
237.602	3822
238.293	3815.82
238.984	3853.64
239.675	3803.27
240.366	3828.36
241.056	3798.55
241.747	3843.82
242.437	3884.55
243.128	3908.73
243.818	3918.91
244.508	3881.27
245.199	3881.82
245.889	3908.18
246.579	3943.09
247.269	3934.55
247.959	3997.82
248.649	4015.64
249.338	4067.82
250.028	4085.09
250.718	4131.27
251.407	4171.09
252.097	4266.36
252.786	4309.64
253.475	4336.91
254.165	4460.55
254.854	4517.82
255.543	4626.73
256.232	4605.64
256.921	4669.27
257.61	4775.82
258.298	4718.91
258.987	4697.82
259.676	4666.73
260.364	4636.73
261.053	4514.36
261.741	4487.82
262.429	4429.82
263.117	4366.73
263.806	4242.18
264.494	4170
265.182	4178.55
265.87	4059.64
266.557	3986.55
267.245	4004.91
267.933	3950.36
268.62	3903.27
269.308	3826.36
269.995	3847.82
270.683	3822.36
271.37	3761.27
272.057	3714
272.745	3720.36
273.432	3636.55
274.119	3689.27
274.805	3590.55
275.492	3595.45
276.179	3561.45
276.866	3559.09
277.552	3531.82
278.239	3515.82
278.925	3526.18
279.612	3500.18
280.298	3483.09
280.984	3460.73
281.67	3466.36
282.357	3410.73
283.043	3369.27
283.728	3367.09
284.414	3410.55
285.1	3296.36
285.786	3374.91
286.471	3352
287.157	3327.09
287.842	3333.82
288.528	3300.73
289.213	3290
289.898	3311.64
290.583	3266.36
291.269	3233.09
291.954	3259.45
292.638	3266.55
293.323	3272.55
294.008	3204.36
294.693	3247.45
295.377	3215.82
296.062	3223.82
296.746	3239.82
297.431	3220.91
298.115	3214.18
298.799	3228.18
299.483	3212.91
300.168	3257.45
300.852	3191.45
301.536	3215.82
302.219	3237.45
302.903	3208.91
303.587	3123.27
304.27	3145.09
304.954	3160.73
305.638	3103.64
306.321	3096.73
307.004	3080.18
307.687	3106
308.371	3056.91
309.054	3016.55
309.737	3002
310.42	3012.18
311.103	2965.64
311.785	3007.45
312.468	2999.64
313.151	2972.73
313.833	2924.36
314.516	2973.27
315.198	2927.64
315.88	2925.64
316.563	2912.55
317.245	2877.82
317.927	2885.45
318.609	2854.36
319.291	2875.45
319.973	2830.55
320.655	2876.73
321.336	2862.73
322.018	2817.45
322.7	2836.36
323.381	2835.27
324.063	2809.82
324.744	2796.55
325.425	2729.82
326.106	2770.36
326.787	2790
327.468	2771.64
328.149	2796
328.83	2781.64
329.511	2770.91
330.192	2737.64
330.873	2741.64
331.553	2748.91
332.234	2713.45
332.914	2734.73
333.594	2722.55
334.275	2712.91
334.955	2720
335.635	2737.82
336.315	2694.18
336.995	2720.18
337.675	2708
338.355	2666.73
339.034	2662.36
339.714	2699.09
340.394	2690
341.073	2681.64
341.753	2676.91
342.432	2740
343.111	2685.27
343.791	2668.73
344.47	2665.27
345.149	2692.55
345.828	2669.82
346.507	2656.55
347.186	2637.09
347.864	2672.91
348.543	2664.18
