# 'raman shift'	'Int_11.2GPa_1'
46.756	3581.5
47.468	3600
48.18	3631
48.892	3671
49.604	3715.5
50.316	3759
51.028	3825.5
51.74	3854.5
52.452	3932
53.164	3988.5
53.875	4026
54.587	4115
55.298	4201.5
56.01	4296
56.721	4422.5
57.432	4511.5
58.143	4699
58.854	4831
59.565	5004.5
60.276	5276.5
60.987	5287
61.698	5469.5
62.408	5575
63.119	5715
63.829	5902
64.54	6077.5
65.25	6264
65.96	6340.5
66.671	6526
67.381	6611.5
68.091	6776.5
68.801	6816.5
69.51	6866
70.22	6990.5
70.93	7144.5
71.64	7175.5
72.349	7219.5
73.059	7335
73.768	7244
74.477	7368
75.186	7345.5
75.896	7444
76.605	7414.5
77.314	7328
78.023	7301
78.731	7331.5
79.44	7295.5
80.149	7413.5
80.857	7330
81.566	7282
82.274	7464.5
82.983	7435.5
83.691	7494
84.399	7502
85.107	7532.5
85.815	7529
86.523	7447.5
87.231	7456.5
87.939	7617
88.647	7477
89.354	7504
90.062	7548
90.769	7548.5
91.477	7621.5
92.184	7566.5
92.891	7647.5
93.598	7595.5
94.306	7516.5
95.013	7618
95.719	7568.5
96.426	7648.5
97.133	7593.5
97.84	7462.5
98.546	7620
99.253	7691
99.959	7659.5
100.666	7698
101.372	7504.5
102.078	7615
102.784	7623
103.49	7687
104.196	7801
104.902	7753
105.608	7812
106.314	7849.5
107.02	7931.5
107.725	7924.5
108.431	8008
109.136	7969
109.841	8023.5
110.547	7960.5
111.252	7927
111.957	7835
112.662	7820.5
113.367	7771
114.072	7762
114.777	7799
115.481	7757.5
116.186	7702
116.891	7893.5
117.595	7836.5
118.299	7757.5
119.004	7823.5
119.708	7680.5
120.412	7815.5
121.116	7742.5
121.82	7752.5
122.524	7843.5
123.228	7865
123.932	7835.5
124.636	7827
125.339	7869.5
126.043	7734.5
126.746	7876.5
127.45	7963.5
128.153	7869
128.856	7997.5
129.559	7917
130.262	7965.5
130.965	8069.5
131.668	8072
132.371	8084.5
133.074	8143.5
133.776	8162.5
134.479	8261
135.181	8359.5
135.884	8217
136.586	8359.5
137.289	8325
137.991	8435
138.693	8498.5
139.395	8504
140.097	8625.5
140.799	8697
141.501	8874.5
142.202	8846.5
142.904	8988.5
143.606	9180
144.307	9149
145.008	9394.5
145.71	9407
146.411	9800.5
147.112	9947
147.813	10192.5
148.514	10522
149.215	10753
149.916	10907.5
150.617	11482
151.318	11814.5
152.018	12084.5
152.719	12325
153.419	12775.5
154.12	13177
154.82	13472
155.52	13482.5
156.22	13681.5
156.921	13810.5
157.621	13642
158.321	13547
159.02	13338.5
159.72	13375
160.42	12743
161.119	12627.5
161.819	12154
162.518	11806
163.218	11366.5
163.917	11055
164.616	10735
165.316	10441.5
166.015	10049.5
166.714	9887
167.412	9754
168.111	9435
168.81	9251
169.509	9308.5
170.207	9092.5
170.906	8957.5
171.604	8898
172.303	8885.5
173.001	8828.5
173.699	8860.5
174.397	8799.5
175.095	8676
175.793	8780
176.491	8688.5
177.189	8702
177.887	8589.5
178.584	8803.5
179.282	8758
179.98	8779.5
180.677	8739
181.374	8816.5
182.072	8771
182.769	8787
183.466	8883
184.163	8816.5
184.86	8868.5
185.557	8803.5
186.254	8729
186.95	8804
187.647	8891
188.344	9043
189.04	8990.5
189.737	9013
190.433	9262
191.129	9485.5
191.825	9475
192.521	9460
193.217	9527
193.913	9651
194.609	9692.5
195.305	9805.5
196.001	9634
196.696	9609
197.392	9547
198.087	9407
198.783	9407.5
199.478	9304.5
200.173	9340
200.869	9193.5
201.564	9376.5
202.259	9315
202.954	9285
203.649	9353
204.343	9433.5
205.038	9498
205.733	9743
206.427	9904.5
207.122	10010.5
207.816	10365.5
208.51	10508
209.205	10499.5
209.899	10799
210.593	10611
211.287	10641.5
211.981	10420
212.675	10248.5
213.369	10100.5
214.062	9897
214.756	9775.5
215.449	9643.5
216.143	9515
216.836	9615
217.53	9531.5
218.223	9510.5
218.916	9426.5
219.609	9459.5
220.302	9212.5
220.995	9372.5
221.688	9225.5
222.381	9308
223.073	9158
223.766	9145.5
224.458	9245
225.151	9208
225.843	9226.5
226.536	9210
227.228	9153
227.92	9323.5
228.612	9204.5
229.304	9395.5
229.996	9268
230.688	9434.5
231.38	9413
232.071	9336
232.763	9390.5
233.454	9461.5
234.146	9390
234.837	9400
235.529	9335.5
236.22	9538.5
236.911	9443.5
237.602	9590
238.293	9428
238.984	9547.5
239.675	9327
240.366	9444
241.056	9369.5
241.747	9505.5
242.437	9534
243.128	9398.5
243.818	9450
244.508	9389.5
245.199	9452.5
245.889	9342.5
246.579	9367.5
247.269	9516.5
247.959	9581.5
248.649	9430.5
249.338	9619
250.028	9563.5
250.718	9416.5
251.407	9303.5
252.097	9281.5
252.786	9325
253.475	9160
254.165	9183.5
254.854	9010
255.543	9060.5
256.232	8819
256.921	8787
257.61	8841.5
258.298	8737
258.987	8848.5
259.676	8751.5
260.364	8772
261.053	8762.5
261.741	8617
262.429	8839.5
263.117	8757
263.806	8717.5
264.494	8566.5
265.182	8580.5
