# 'raman_27.6G_p1'	'Int_27.6G_p1'
298.115	4287.45
298.799	4230.36
299.483	4261.09
300.168	4257.09
300.852	4228.73
301.536	4253.82
302.219	4162.18
302.903	4246.36
303.587	4209.45
304.27	4114.55
304.954	4152.36
305.638	4101.27
306.321	4138.91
307.004	4100.55
307.687	4118.55
308.371	4044.36
309.054	4036.91
309.737	4091.45
310.42	4091.64
311.103	4058.73
311.785	4034.91
312.468	4024.18
313.151	4014.91
313.833	3963.27
314.516	4016.73
315.198	3986.36
315.88	3974.18
316.563	3950
317.245	3984.73
317.927	3944.18
318.609	3953.64
319.291	3970.91
319.973	3935.27
320.655	3956.18
321.336	3928.55
322.018	3922.18
322.7	3903.82
323.381	3911.09
324.063	3932.55
324.744	3908.18
325.425	3905.45
326.106	3951.27
326.787	3869.09
327.468	3914
328.149	3881.45
328.83	3858.18
329.511	3858.36
330.192	3875.82
330.873	3882.36
331.553	3874.91
332.234	3872.36
332.914	3880.36
333.594	3872.18
334.275	3841.64
334.955	3868
335.635	3815.09
336.315	3825.27
336.995	3839.09
337.675	3830.18
338.355	3842.55
339.034	3821.64
339.714	3814.18
340.394	3802.73
341.073	3818.36
341.753	3815.45
342.432	3863.64
343.111	3810.36
343.791	3777.64
344.47	3746.18
345.149	3774.91
345.828	3805.82
346.507	3798
347.186	3752.73
347.864	3771.27
348.543	3786.18
349.222	3764.55
349.9	3796.18
350.579	3752.73
351.257	3788.18
351.935	3755.45
352.613	3770.36
353.292	3772.18
353.97	3760.55
354.648	3740
355.326	3757.09
356.004	3804.18
356.681	3739.45
357.359	3759.45
358.037	3814.18
358.714	3795.45
359.392	3688.91
360.069	3764.18
360.746	3766.36
361.424	3720.36
362.101	3760.36
362.778	3733.09
363.455	3699.27
364.132	3767.09
364.809	3736.91
365.486	3712.73
366.162	3738.18
366.839	3734.18
367.515	3688.73
368.192	3693.82
368.868	3738.36
369.545	3716
370.221	3692.73
370.897	3742.91
371.573	3730.18
372.249	3724.36
372.925	3697.09
373.601	3701.27
374.277	3693.09
374.953	3677.64
375.628	3658.55
376.304	3726
376.979	3702.55
377.655	3748.36
378.33	3704.36
379.006	3720.91
379.681	3687.45
380.356	3723.27
381.031	3654.73
381.706	3702
382.381	3734.36
383.056	3678.36
383.73	3700.73
384.405	3736
385.08	3696.18
385.754	3752.36
386.429	3710.91
387.103	3709.82
387.777	3681.27
388.452	3646.18
389.126	3715.45
389.8	3703.09
390.474	3696
391.148	3706.73
391.822	3708
392.495	3713.82
393.169	3721.64
393.843	3693.64
394.516	3697.64
395.19	3686.55
395.863	3702.36
396.537	3720.91
397.21	3697.45
397.883	3706.73
398.556	3733.82
399.229	3692
399.902	3690.18
400.575	3744.91
401.248	3724.73
401.921	3738.91
402.593	3675.27
403.266	3697.64
403.938	3723.82
404.611	3710.91
405.283	3709.64
405.955	3690.91
406.628	3672.36
407.3	3684
407.972	3700.91
408.644	3712.55
409.316	3693.64
409.987	3660.55
410.659	3671.64
411.331	3666
412.002	3691.09
412.674	3639.64
413.345	3656
414.017	3704.36
414.688	3680.18
415.359	3613.09
416.031	3722.36
416.702	3652.91
417.373	3690.91
418.044	3660
418.714	3668.55
419.385	3667.82
420.056	3653.09
420.726	3720
421.397	3646.36
422.068	3656.73
422.738	3660
423.408	3671.82
424.079	3690.91
424.749	3635.64
425.419	3647.64
426.089	3644.55
426.759	3647.45
427.429	3681.45
428.099	3600.73
428.768	3620.73
429.438	3636.18
430.107	3638.36
430.777	3647.27
431.446	3644.91
432.116	3644.55
432.785	3643.82
433.454	3613.09
434.123	3595.64
434.792	3609.45
435.461	3624.73
436.13	3644.36
436.799	3584.91
437.468	3648.73
438.137	3621.27
438.805	3671.45
439.474	3631.82
440.142	3600.18
440.811	3700
441.479	3567.09
442.147	3588.55
442.815	3611.82
443.484	3586.55
444.152	3605.45
444.819	3608.55
445.487	3605.64
446.155	3609.82
446.823	3638.55
447.491	3593.09
448.158	3597.64
448.826	3593.82
449.493	3613.64
450.16	3607.27
450.828	3612.55
451.495	3587.45
452.162	3586.55
452.829	3556.91
453.496	3589.45
454.163	3608
454.83	3570.55
455.496	3578
456.163	3562.55
456.83	3556
457.496	3566.18
458.163	3546.18
458.829	3579.64
459.495	3576.73
460.162	3595.45
460.828	3543.27
461.494	3570.91
462.16	3560.91
462.826	3545.45
463.492	3574.73
464.157	3563.64
464.823	3556
465.489	3620.73
466.154	3538.73
466.82	3546.91
467.485	3539.82
468.151	3499.64
468.816	3546.91
469.481	3538.36
470.146	3526.91
470.811	3563.27
471.476	3549.09
472.141	3562.91
472.806	3554.36
473.471	3482.18
474.135	3510.18
474.8	3528.73
475.465	3460
