# Pressure, Mode3, Mode2, Mode1, CEF
0	    127.45  174.4	233.4   
1.2	    130.26	178.58	230.69	
5.6	    142.9	193.9	227.3	207.12
8.6	    151.32	201.56		    199.48
11.2	156.92	209.9		    195.31
13.2	161.82	214.06		    192.52
15.8	166.71	220.3		    189.04
19.3	179.98	228.61		
21.3	179.38	232.07		
24.9	184.16	239.68		
27.6	186.25	243.82		
32.1		    251.41		
36.6		    258.3		
40.9		    264.49		
44.8		    270		
48.3		    274.81		
