# 'raman shift'	'Int_8.6GPa_1'
46.756	3604.5
47.468	3622.5
48.18	3645
48.892	3697
49.604	3707.5
50.316	3754
51.028	3774.5
51.74	3834
52.452	3877
53.164	3878
53.875	3925
54.587	3950.5
55.298	4066
56.01	4134.5
56.721	4152
57.432	4250
58.143	4339.5
58.854	4456
59.565	4581.5
60.276	4715
60.987	4775.5
61.698	4893.5
62.408	4968
63.119	5091
63.829	5104
64.54	5281.5
65.25	5401
65.96	5564
66.671	5584
67.381	5675.5
68.091	5769
68.801	5908
69.51	5952
70.22	6051.5
70.93	6071
71.64	6104
72.349	6145
73.059	6274.5
73.768	6322.5
74.477	6257
75.186	6326
75.896	6298.5
76.605	6308
77.314	6300.5
78.023	6280.5
78.731	6370.5
79.44	6241.5
80.149	6356
80.857	6332.5
81.566	6310.5
82.274	6286.5
82.983	6348.5
83.691	6349.5
84.399	6416.5
85.107	6455
85.815	6397
86.523	6279
87.231	6373.5
87.939	6388
88.647	6370.5
89.354	6445
90.062	6426.5
90.769	6520.5
91.477	6562.5
92.184	6441.5
92.891	6583.5
93.598	6533
94.306	6589
95.013	6616.5
95.719	6528
96.426	6529
97.133	6578
97.84	6542.5
98.546	6588
99.253	6623.5
99.959	6606
100.666	6603.5
101.372	6605
102.078	6598.5
102.784	6591.5
103.49	6552.5
104.196	6700
104.902	6619
105.608	6656.5
106.314	6783.5
107.02	6820
107.725	6809.5
108.431	6914
109.136	6840.5
109.841	6841.5
110.547	6729.5
111.252	6690
111.957	6730
112.662	6697.5
113.367	6650
114.072	6665.5
114.777	6786.5
115.481	6626
116.186	6776
116.891	6634
117.595	6697
118.299	6709
119.004	6729.5
119.708	6680.5
120.412	6719
121.116	6682.5
121.82	6727.5
122.524	6757.5
123.228	6783.5
123.932	6784
124.636	6780.5
125.339	6804.5
126.043	6815.5
126.746	6914
127.45	6890.5
128.153	6929.5
128.856	6880.5
129.559	6907.5
130.262	7101.5
130.965	6986.5
131.668	7084.5
132.371	7124.5
133.074	7133.5
133.776	7260
134.479	7160.5
135.181	7160
135.884	7381.5
136.586	7376.5
137.289	7485.5
137.991	7580.5
138.693	7673
139.395	7882
140.097	8024.5
140.799	8134.5
141.501	8208.5
142.202	8489.5
142.904	8681.5
143.606	8907.5
144.307	9145.5
145.008	9409
145.71	9794.5
146.411	10258
147.112	10416
147.813	10764.5
148.514	10922.5
149.215	11275
149.916	11385
150.617	11639
151.318	11588.5
152.018	11625.5
152.719	11326
153.419	11196
154.12	10867
154.82	10514.5
155.52	10210.5
156.22	9752
156.921	9572
157.621	9253.5
158.321	8900.5
159.02	8694
159.72	8432
160.42	8257
161.119	8120.5
161.819	7976.5
162.518	7905.5
163.218	7698
163.917	7679.5
164.616	7489
165.316	7564.5
166.015	7367
166.714	7339
167.412	7378.5
168.111	7269.5
168.81	7362
169.509	7249.5
170.207	7193.5
170.906	7312.5
171.604	7361.5
172.303	7219.5
173.001	7208.5
173.699	7278.5
174.397	7294.5
175.095	7309.5
175.793	7202.5
176.491	7329.5
177.189	7346
177.887	7307.5
178.584	7307.5
179.282	7239.5
179.98	7352
180.677	7407
181.374	7399.5
182.072	7441
182.769	7353
183.466	7375
184.163	7200.5
184.86	7226.5
185.557	7209
186.254	7154
186.95	7183
187.647	7195.5
188.344	7223.5
189.04	7213
189.737	7270.5
190.433	7218.5
191.129	7424.5
191.825	7387
192.521	7616
193.217	7699.5
193.913	7884.5
194.609	8104
195.305	8266.5
196.001	8616
196.696	8787.5
197.392	8876.5
198.087	9107.5
198.783	9105.5
199.478	9331.5
200.173	9448.5
200.869	9568.5
201.564	9560
202.259	9629.5
202.954	9630
203.649	9583
204.343	9574
205.038	9394.5
205.733	9042.5
206.427	8870.5
207.122	8680.5
207.816	8528
208.51	8459.5
209.205	8271
209.899	8198
210.593	8196
211.287	8077
211.981	8122.5
212.675	8037.5
213.369	7985.5
214.062	7776
214.756	7910.5
215.449	7894.5
216.143	7774
216.836	7667.5
217.53	7780
218.223	7632
218.916	7686.5
219.609	7713
220.302	7711
220.995	7771.5
221.688	7809
222.381	7669.5
223.073	7786.5
223.766	7855.5
224.458	7768.5
225.151	7821.5
225.843	7802
226.536	7876
227.228	7832
227.92	7780.5
228.612	7856
229.304	7762.5
229.996	7838.5
230.688	7767
231.38	7779
232.071	7784
232.763	7789.5
233.454	7722
234.146	7757.5
234.837	7779
235.529	7750.5
236.22	7860
236.911	7771
237.602	7756.5
238.293	7773
238.984	7897
239.675	7833.5
240.366	7849
241.056	7886
241.747	7904.5
242.437	7936.5
243.128	7808.5
243.818	7772
244.508	7778.5
245.199	7732.5
245.889	7666.5
246.579	7635.5
247.269	7659
247.959	7563.5
248.649	7640.5
249.338	7518.5
250.028	7620
250.718	7388
251.407	7512
252.097	7425
252.786	7407.5
253.475	7436
254.165	7435
254.854	7383
255.543	7411.5
256.232	7339.5
256.921	7364
257.61	7336.5
258.298	7293
258.987	7291
259.676	7248
260.364	7428
261.053	7240
261.741	7323.5
262.429	7224.5
263.117	7293
263.806	7275.5
264.494	7226
265.182	7356.5
265.87	7248
266.557	7275
267.245	7234.5
267.933	7176.5
268.62	7159
269.308	7227.5
269.995	7176.5
270.683	7272
271.37	7219.5
272.057	7217
272.745	7265
273.432	7120.5
274.119	7174.5
274.805	7175
275.492	7194.5
276.179	7151
276.866	7239
277.552	7209.5
278.239	7164
278.925	7273.5
279.612	7217.5
280.298	7201.5
280.984	7287.5
281.67	7237.5
282.357	7184
283.043	7201
283.728	7416.5
284.414	7262.5
285.1	7256
285.786	7342
286.471	7273.5
287.157	7315.5
287.842	7194
288.528	7290
289.213	7306
289.898	7233
290.583	7169.5
291.269	7156.5
291.954	7221.5
292.638	7148.5
293.323	7211.5
294.008	7197.5
294.693	7207
295.377	7230
296.062	7146
296.746	7085.5
297.431	7045.5
298.115	7134.5
298.799	7084.5
299.483	7059.5
300.168	6966
300.852	7055.5
301.536	6941
302.219	6958
302.903	7095
303.587	6908
304.27	6909.5
304.954	7056.5
305.638	6905
306.321	6847
307.004	6922
307.687	6805.5
308.371	7035.5
309.054	7018.5
309.737	6895.5
310.42	6970
311.103	6894
311.785	6890
312.468	6950
313.151	7014.5
313.833	6884.5
314.516	6962
315.198	6768
315.88	6905.5
316.563	6919.5
317.245	6873.5
317.927	6829.5
318.609	6871
319.291	6941.5
319.973	6844
320.655	6848
321.336	6854
322.018	6969.5
322.7	6891
323.381	6756.5
324.063	6859.5
324.744	6723
325.425	6884
326.106	6890.5
326.787	6822
327.468	6816.5
328.149	6718
328.83	6776
329.511	6788
330.192	6814
330.873	6728
331.553	6860
332.234	6905
332.914	6721
333.594	6808.5
334.275	6762
334.955	6788.5
335.635	6834.5
336.315	6677.5
336.995	6847
337.675	6805.5
338.355	6749.5
339.034	6745.5
339.714	6800
340.394	6711.5
341.073	6725.5
341.753	6766.5
342.432	6855.5
343.111	6841.5
343.791	6774
344.47	6810.5
345.149	6857
345.828	6776.5
346.507	6774
347.186	6761
347.864	6723.5
348.543	6769.5
349.222	6748
349.9	6777
350.579	6812.5
351.257	6845.5
351.935	6859
352.613	6764.5
353.292	6827
353.97	6806.5
354.648	6858.5
355.326	6811
356.004	6757.5
356.681	6785.5
357.359	6813
358.037	6800.5
358.714	6745
359.392	6862.5
360.069	6836.5
360.746	6729
361.424	6839
362.101	6810
362.778	6805.5
363.455	6752
364.132	6750
364.809	6941.5
365.486	6805
366.162	6767
366.839	6695
367.515	6800
368.192	6739
368.868	6794
369.545	6831
370.221	6760.5
370.897	6704.5
371.573	6728.5
372.249	6730
372.925	6701.5
373.601	6755
374.277	6792
374.953	6714
375.628	6733
376.304	6770.5
376.979	6793.5
377.655	6705
378.33	6711.5
379.006	6792.5
379.681	6723
380.356	6656
381.031	6612
381.706	6747.5
382.381	6623
383.056	6632
383.73	6695
384.405	6736.5
385.08	6613
385.754	6757.5
386.429	6720
387.103	6752
387.777	6686.5
388.452	6627
389.126	6730.5
389.8	6699.5
390.474	6663
391.148	6734
391.822	6706.5
392.495	6630
393.169	6808.5
393.843	6658
394.516	6675.5
395.19	6689
395.863	6679
396.537	6708.5
397.21	6754
397.883	6638
398.556	6767
399.229	6668.5
399.902	6701
400.575	6638.5
401.248	6682
401.921	6725
402.593	6649.5
403.266	6656
403.938	6670
404.611	6665
405.283	6734.5
405.955	6777
406.628	6607.5
407.3	6675.5
407.972	6635
408.644	6651
409.316	6749
409.987	6752.5
410.659	6600.5
411.331	6594
412.002	6613.5
412.674	6581
413.345	6703.5
414.017	6711
414.688	6596
415.359	6701.5
416.031	6701.5
416.702	6748
417.373	6614.5
418.044	6670.5
418.714	6659
419.385	6674
420.056	6678
420.726	6747.5
421.397	6641.5
422.068	6628.5
422.738	6662
423.408	6628.5
424.079	6695
424.749	6642
425.419	6731
426.089	6694.5
426.759	6689.5
427.429	6736.5
428.099	6728
428.768	6608
429.438	6789.5
430.107	6623.5
430.777	6610.5
431.446	6589.5
432.116	6695
432.785	6762.5
433.454	6599
434.123	6783.5
434.792	6700
435.461	6650
436.13	6822.5
436.799	6714
437.468	6792.5
438.137	6653.5
438.805	6633
439.474	6712
440.142	6692.5
440.811	6696.5
441.479	6847
442.147	6610.5
442.815	6716.5
443.484	6764
444.152	6703
444.819	6621.5
445.487	6652.5
446.155	6742.5
446.823	6708
447.491	6692.5
448.158	6692.5
448.826	6743
449.493	6661
450.16	6687
450.828	6718.5
451.495	6755
452.162	6773.5
452.829	6639.5
453.496	6772.5
454.163	6678
454.83	6626
455.496	6765.5
456.163	6744.5
456.83	6674
457.496	6671
458.163	6706
458.829	6731.5
459.495	6735
460.162	6685
460.828	6717.5
461.494	6705
462.16	6703.5
462.826	6776
463.492	6770
464.157	6795
464.823	6756.5
465.489	6747.5
466.154	6693.5
466.82	6711.5
467.485	6762
468.151	6720
468.816	6654.5
469.481	6654.5
470.146	6779.5
470.811	6696.5
471.476	6798.5
472.141	6722.5
472.806	6784
473.471	6732
474.135	6743
474.8	6708.5
475.465	6742.5
476.129	6671
476.793	6598
477.458	6763
478.122	6772
478.786	6751.5
479.45	6691.5
480.114	6743
480.778	6794.5
481.442	6751.5
482.106	6733
482.769	6745.5
483.433	6768.5
484.097	6841.5
484.76	6771
485.424	6751.5
486.087	6788.5
486.75	6774.5
487.413	6732.5
488.076	6784
488.74	6730
489.402	6779.5
490.065	6733.5
490.728	6781.5
491.391	6722.5
492.054	6780.5
492.716	6850
493.379	6728
494.041	6751
494.704	6701
495.366	6757
496.028	6749.5
496.69	6838
497.352	6819.5
498.014	6749.5
498.676	6762
499.338	6804
500	6845.5
500.662	6713.5
501.323	6741.5
501.985	6800.5
502.646	6780.5
503.308	6754.5
503.969	6830
504.63	6750.5
505.292	6721.5
505.953	6746.5
506.614	6818.5
507.275	6780.5
507.936	6705
508.597	6752
509.257	6790.5
509.918	6811.5
510.579	6761.5
511.239	6779.5
511.9	6791.5
512.56	6778.5
513.22	6859
513.881	6862.5
514.541	6807
515.201	6815
515.861	6836.5
516.521	6903.5
517.181	6769.5
517.84	6805
518.5	6801.5
519.16	6746.5
519.819	6732.5
520.479	6823
521.138	6802.5
521.798	6732.5
522.457	6932.5
523.116	6845
523.775	6829.5
524.434	6720.5
525.093	6834.5
525.752	6846.5
526.411	6837
527.07	6734
527.729	6693.5
528.387	6781
529.046	6803
529.704	6792
530.363	6771.5
531.021	6760.5
531.679	6791
532.338	6841
532.996	6752
533.654	6813
534.312	6710
534.97	6816.5
535.627	6778.5
536.285	6760.5
536.943	6797
537.6	6858.5
538.258	6888
538.915	6778
539.573	6768
540.23	6831
540.887	6710
541.544	6734
542.202	6821.5
542.859	6774
543.516	6696
544.172	6758
544.829	6676
545.486	6774.5
546.143	6725.5
546.799	6785
547.456	6794
548.112	6827
548.768	6705
549.425	6723.5
550.081	6676.5
550.737	6685
551.393	6817.5
552.049	6762.5
552.705	6801
553.361	6686
554.017	6653
554.672	6734.5
555.328	6769.5
555.983	6797
556.639	6701.5
557.294	6687
557.95	6714
558.605	6569
559.26	6746.5
559.915	6719
560.57	6660.5
561.225	6731
561.88	6672
562.535	6661
563.19	6636
563.844	6756
564.499	6727.5
565.154	6764.5
565.808	6633
566.462	6653
567.117	6631
567.771	6641
568.425	6690
569.079	6640.5
569.733	6735.5
570.387	6651
571.041	6672
571.695	6739.5
572.349	6804.5
573.002	6702
573.656	6683.5
574.309	6561.5
574.963	6665.5
575.616	6664
576.269	6627
576.923	6617.5
577.576	6583
578.229	6626
578.882	6692.5
579.535	6686.5
580.188	6717
580.84	6726
581.493	6633.5
582.146	6750.5
582.798	6719
583.451	6654.5
584.103	6628
584.755	6697.5
585.408	6756.5
586.06	6638
586.712	6702.5
587.364	6662
588.016	6675
588.668	6630.5
589.32	6708.5
589.972	6723.5
590.623	6716.5
591.275	6629.5
591.926	6745.5
592.578	6680
593.229	6745
593.881	6671
594.532	6665
595.183	6673.5
595.834	6686.5
596.485	6666.5
597.136	6625
597.787	6746
598.438	6674.5
599.089	6721
599.739	6742.5
600.39	6731.5
601.04	6727.5
601.691	6778
602.341	6690.5
602.992	6723.5
603.642	6754
604.292	6548.5
604.942	6660.5
605.592	6584
606.242	6744
606.892	6642
607.542	6653.5
608.192	6665
608.841	6686
609.491	6618
610.14	6643
610.79	6713
611.439	6685
612.088	6697.5
612.738	6714.5
613.387	6634
614.036	6697.5
614.685	6615.5
615.334	6669
615.983	6788.5
616.631	6683
617.28	6576
617.929	6627.5
618.577	6743
619.226	6661
619.874	6685.5
620.523	6756
621.171	6724.5
621.819	6594
622.467	6706
623.115	6624.5
623.763	6678
624.411	6680.5
625.059	6639.5
625.707	6580
626.355	6691
627.002	6686
627.65	6655.5
628.297	6747.5
628.945	6572.5
629.592	6612.5
630.239	6669.5
630.887	6675.5
631.534	6627
632.181	6640
632.828	6676
633.475	6615.5
634.122	6673
634.768	6638
635.415	6687
636.062	6804
636.708	6615
637.355	6650.5
638.001	6597.5
638.647	6613
639.294	6659.5
639.94	6633
640.586	6718.5
641.232	6572
641.878	6646
642.524	6733
643.17	6603.5
643.816	6628.5
644.461	6628.5
645.107	6653.5
645.752	6726.5
646.398	6645
647.043	6742
647.689	6625
648.334	6703.5
648.979	6600.5
649.624	6615
650.269	6714.5
650.914	6608.5
651.559	6626.5
652.204	6576.5
652.849	6672
653.493	6656.5
654.138	6672.5
654.783	6634.5
655.427	6689
656.071	6688
656.716	6646
657.36	6573
658.004	6669
658.648	6672.5
659.292	6663.5
659.936	6650
660.58	6641.5
661.224	6709
661.868	6592.5
662.512	6696
663.155	6657
663.799	6690
664.442	6590
665.086	6649.5
665.729	6561.5
666.372	6718
667.015	6624
667.658	6693.5
668.301	6665.5
668.944	6544.5
669.587	6678
670.23	6703.5
670.873	6674.5
671.516	6700.5
672.158	6689.5
672.801	6612.5
673.443	6651
674.086	6731
674.728	6711.5
675.37	6592.5
676.012	6611
676.654	6702.5
677.296	6690.5
677.938	6684.5
678.58	6653
679.222	6720
679.864	6698
680.506	6631
681.147	6635.5
681.789	6690.5
682.43	6706.5
683.072	6671
683.713	6619.5
684.354	6608.5
684.995	6718.5
685.636	6675.5
686.277	6616
686.918	6649.5
687.559	6688
688.2	6659
688.841	6777.5
689.482	6623.5
690.122	6668.5
690.763	6600.5
691.403	6599.5
692.044	6744
692.684	6675.5
693.324	6664.5
693.964	6725.5
694.604	6599
695.244	6684
695.884	6639
696.524	6611
697.164	6618
697.804	6599
698.444	6681
699.083	6611.5
699.723	6607
700.362	6596.5
701.002	6641.5
701.641	6600.5
702.28	6594
702.919	6598.5
703.558	6677.5
704.198	6646.5
704.836	6669
705.475	6550
706.114	6587
706.753	6570
707.392	6622
708.03	6599
708.669	6625.5
709.307	6685
709.946	6625.5
710.584	6588.5
711.222	6655.5
711.86	6584
712.499	6625
713.137	6571
713.775	6611.5
714.412	6578
715.05	6551.5
715.688	6627
716.326	6585.5
716.963	6617
717.601	6503.5
718.238	6565
718.876	6574
719.513	6513.5
720.15	6637
720.788	6571
721.425	6535
722.062	6639
722.699	6596.5
723.336	6678
723.972	6602
724.609	6598
725.246	6636
725.883	6673
726.519	6593.5
727.156	6594
727.792	6624
728.428	6559.5
729.065	6590.5
729.701	6606.5
730.337	6637
730.973	6624
731.609	6602
732.245	6611
732.881	6645
733.517	6500
734.152	6513.5
734.788	6558
735.423	6496
736.059	6565.5
736.694	6580
737.33	6670.5
737.965	6655
738.6	6651
739.235	6528.5
739.87	6623.5
740.505	6582.5
741.14	6534
741.775	6525
742.41	6584.5
743.045	6606.5
743.679	6548
744.314	6535.5
744.948	6507
745.583	6581.5
746.217	6495
746.852	6546.5
747.486	6540.5
748.12	6610
748.754	6553.5
749.388	6605.5
750.022	6576.5
750.656	6511
751.29	6572.5
751.923	6624
752.557	6577.5
753.191	6599.5
753.824	6557
754.457	6554
755.091	6519.5
755.724	6487.5
756.357	6575
756.991	6593.5
757.624	6528
758.257	6528.5
758.89	6606
759.523	6582.5
760.155	6594.5
760.788	6548
761.421	6558.5
762.053	6625
762.686	6519.5
763.318	6566
763.951	6532
764.583	6561.5
765.215	6583.5
765.847	6571.5
766.48	6566.5
767.112	6614
767.744	6547
768.375	6490
769.007	6621
769.639	6583.5
770.271	6564
770.902	6501.5
771.534	6552.5
772.165	6505.5
772.797	6578.5
773.428	6576
774.059	6494
774.691	6659
775.322	6581
775.953	6522
776.584	6520.5
777.215	6516.5
777.845	6519.5
778.476	6504.5
779.107	6517.5
779.738	6549.5
780.368	6535
780.999	6558.5
781.629	6553.5
782.259	6594.5
782.89	6481.5
783.52	6636
784.15	6477.5
784.78	6541.5
785.41	6544.5
786.04	6587.5
786.67	6448
787.3	6534.5
787.929	6491.5
788.559	6507.5
789.189	6491
789.818	6594
790.448	6550
791.077	6509
791.706	6506.5
792.335	6477
792.965	6553
793.594	6492
794.223	6503.5
794.852	6505.5
795.481	6552
796.109	6494
796.738	6456
797.367	6557.5
797.995	6533
798.624	6598.5
799.252	6476.5
799.881	6503
800.509	6476.5
801.137	6494
801.765	6544.5
802.394	6521
803.022	6555.5
803.65	6480.5
804.277	6570
804.905	6596
805.533	6485
806.161	6429.5
806.788	6501
807.416	6569
808.043	6446.5
