# 'raman shift'	'Int_21.3GPa_1'
46.756	1548.2
47.468	1589.8
48.18	1627.8
48.892	1634.6
49.604	1678
50.316	1706.4
51.028	1773.2
51.74	1788.8
52.452	1867.2
53.164	1902.6
53.875	1970
54.587	2028.8
55.298	2097.2
56.01	2176
56.721	2242.8
57.432	2363.4
58.143	2433.2
58.854	2583.2
59.565	2769
60.276	2906.4
60.987	3068.4
61.698	3106.6
62.408	3157
63.119	3304
63.829	3456.6
64.54	3640
65.25	3709.6
65.96	3918.2
66.671	4066
67.381	4209.6
68.091	4229
68.801	4407.8
69.51	4522.8
70.22	4552.4
70.93	4624.4
71.64	4682.2
72.349	4732
73.059	4846.2
73.768	4787.8
74.477	4864
75.186	4930
75.896	4918.2
76.605	4950
77.314	5036.2
78.023	4990.4
78.731	4921
79.44	4872.6
80.149	4939.2
80.857	4841.4
81.566	4828.4
82.274	5165.4
82.983	5859
83.691	4951.4
84.399	5024.8
85.107	5027.2
85.815	4990
86.523	4946.8
87.231	4868.6
87.939	4890.2
88.647	4907.8
89.354	4892
90.062	4968.6
90.769	4856.2
91.477	4934.2
92.184	5008.8
92.891	5106.6
93.598	5060
94.306	5008.6
95.013	5012.4
95.719	4986
96.426	4963.6
97.133	5049
97.84	4964.8
98.546	4961.4
99.253	4983.2
99.959	4999.8
100.666	5089.6
101.372	4976.2
102.078	4961
102.784	4959.6
103.49	5004
104.196	4945.2
104.902	4953.4
105.608	4961.4
106.314	5051.2
107.02	5065.6
107.725	5189.2
108.431	5158.6
109.136	5120.6
109.841	5095.8
110.547	5084.8
111.252	5074.2
111.957	5015.2
112.662	5067.8
113.367	5127
114.072	5177.6
114.777	5160.6
115.481	5139.6
116.186	5225.4
116.891	5267.6
117.595	5214.8
118.299	5175
119.004	5163.8
119.708	5051.2
120.412	5062.8
121.116	5020.8
121.82	4963.2
122.524	4956
123.228	5311.8
123.932	5646.8
124.636	5317.6
125.339	5434.8
126.043	5337.8
126.746	5202.6
127.45	5315.6
128.153	4989.8
128.856	4971.2
129.559	5046.6
130.262	5031
130.965	5065.2
131.668	5063
132.371	5112.6
133.074	5055.4
133.776	5102.8
134.479	5115.6
135.181	5096.6
135.884	5076.4
136.586	5118
137.289	5195
137.991	5258.6
138.693	5203.4
139.395	5235.2
140.097	5277.4
140.799	5284.4
141.501	5266
142.202	5265
142.904	5287.4
143.606	5310.8
144.307	5305.2
145.008	5324.6
145.71	5367.6
146.411	5423.6
147.112	5424.8
147.813	5546.8
148.514	5597.2
149.215	5608.8
149.916	5638.8
150.617	5679
151.318	5781.2
152.018	5836.8
152.719	5916.4
153.419	5965
154.12	6052
154.82	6148.6
155.52	6234.6
156.22	6369
156.921	6417.6
157.621	6498.6
158.321	6536.4
159.02	6680.8
159.72	6751
160.42	6825.8
161.119	6949
161.819	7093.6
162.518	7234.6
163.218	7274.2
163.917	7557
164.616	7631.8
165.316	7772.6
166.015	7964.6
166.714	8057
167.412	8300.4
168.111	8450
168.81	8729.8
169.509	9083.8
170.207	9289
170.906	9700.8
171.604	9908.6
172.303	10341.2
173.001	10660
173.699	11010
174.397	11395
175.095	11848
175.793	12209.4
176.491	12605.4
177.189	12984
177.887	13206.6
178.584	13413.8
179.282	13454.6
179.98	13473
180.677	13439.8
181.374	12962.4
182.072	12909.8
182.769	12482
183.466	12071.2
184.163	11600.2
184.86	11240
185.557	10730.8
186.254	10385.8
186.95	10064.6
187.647	9699.4
188.344	9336
189.04	9075
189.737	8742
190.433	8537.4
