# 'raman shift'	'Int_24.9GPa_1'
46.756	1612.2
47.468	1626.8
48.18	1654
48.892	1682.2
49.604	1698
50.316	1761.4
51.028	1813.2
51.74	1849.8
52.452	1884.2
53.164	1942.4
53.875	1994.2
54.587	2052.6
55.298	2144
56.01	2189.4
56.721	2270.4
57.432	2386.2
58.143	2499.4
58.854	2619.6
59.565	2805.8
60.276	3010.6
60.987	3192.4
61.698	3257.8
62.408	3389
63.119	3530.8
63.829	3715
64.54	3860.4
65.25	4044.4
65.96	4235.4
66.671	4402.2
67.381	4513.4
68.091	4567.8
68.801	4706.6
69.51	4859.8
70.22	4882
70.93	4898.2
71.64	5005.8
72.349	5044.2
73.059	5208.2
73.768	5119
74.477	5134.6
75.186	5209.8
75.896	5176.8
76.605	5254.4
77.314	5272.6
78.023	5168.2
78.731	5208
79.44	5106.4
80.149	5090.6
80.857	5070.2
81.566	5021.2
82.274	5061.4
82.983	5139.8
83.691	5136
84.399	5298
85.107	5212.6
85.815	5186
86.523	5085
87.231	5020.2
87.939	5009
88.647	5084
89.354	5018.8
90.062	5073.2
90.769	5067
91.477	5064.8
92.184	5179.8
92.891	5194.2
93.598	5180
94.306	5119.2
95.013	5153.4
95.719	5080.4
96.426	5102.6
97.133	5022.4
97.84	4990.6
98.546	5072.2
99.253	4987
99.959	4993
100.666	5031.4
101.372	5006.2
102.078	5008.8
102.784	4972
103.49	5013
104.196	5070.2
104.902	4998.2
105.608	5073.4
106.314	5046
107.02	5141
107.725	5124
108.431	5165
109.136	5147.4
109.841	5124.4
110.547	5121.8
111.252	5060.2
111.957	5158.2
112.662	5006.4
113.367	5046.4
114.072	5083.4
114.777	5083.2
115.481	5130.2
116.186	5173
116.891	5176.6
117.595	5183.6
118.299	5143.2
119.004	5192.2
119.708	5167.6
120.412	5087
121.116	5099
121.82	5062.4
122.524	4983.6
123.228	4945.4
123.932	4988.2
124.636	5011.2
125.339	4942.2
126.043	4890.6
126.746	4924.4
127.45	4898.6
128.153	4874.6
128.856	4891
129.559	4948.2
130.262	4937.6
130.965	4980
131.668	4968.8
132.371	4888.8
133.074	4924.6
133.776	4946.8
134.479	4947.4
135.181	4939
135.884	4971.8
136.586	4918
137.289	4977.2
137.991	4942
138.693	4929.4
139.395	4912.6
140.097	4989.4
140.799	4937.4
141.501	5012.2
142.202	4960.2
142.904	4927.2
143.606	4880.6
144.307	4904.4
145.008	4982.6
145.71	4943.2
146.411	4932.6
147.112	5045
147.813	4941.2
148.514	5031.6
149.215	4944.8
149.916	4990.8
150.617	5044.2
151.318	5004.6
152.018	5098.2
152.719	5061.2
153.419	5127.4
154.12	5128.2
154.82	5173.2
155.52	5179.8
156.22	5238.6
156.921	5312.6
157.621	5300.6
158.321	5296.8
159.02	5340
159.72	5377.6
160.42	5390
161.119	5487.8
161.819	5574
162.518	5512.6
163.218	5559.8
163.917	5734.2
164.616	5719.2
165.316	5721.8
166.015	5767.8
166.714	5834.6
167.412	5881.8
168.111	5968.8
168.81	6020
169.509	6166.4
170.207	6305.4
170.906	6232
171.604	6389.2
172.303	6537
173.001	6566.4
173.699	6586.2
174.397	6608
175.095	6790.2
175.793	6950.8
176.491	6900.4
177.189	7109.2
177.887	7098.8
178.584	7151.2
179.282	7211
179.98	7239.8
180.677	7332
181.374	7365.6
182.072	7383.8
182.769	7452.8
183.466	7597.4
184.163	7372.4
184.86	7335
185.557	7438
186.254	7388.6
186.95	7254.8
187.647	7147.2
188.344	7027.8
189.04	6968.8
189.737	6824.4
190.433	6730.4
191.129	6649.4
191.825	6515
192.521	6391
193.217	6423
193.913	6285.8
194.609	6165.2
195.305	6129.8
196.001	6058.8
196.696	6078
197.392	6020.2
198.087	6084.2
198.783	5981
199.478	5916.6
200.173	5935.2
200.869	5835
201.564	5963.6
202.259	5960.8
202.954	5889.2
203.649	5830.6
204.343	5924.4
205.038	5950.2
205.733	5943
206.427	5894.4
207.122	5898.8
207.816	5892.8
208.51	5775.4
209.205	5874.6
209.899	5911
210.593	5842.8
211.287	5845
211.981	5859.2
212.675	5815
213.369	5852.6
214.062	5805.4
214.756	5906.6
215.449	5885
216.143	5813
216.836	5819.8
217.53	5894.4
218.223	5898.6
218.916	5812.2
219.609	5844.8
220.302	5863.8
220.995	5793.8
221.688	5803.2
222.381	5834.2
223.073	5928.6
223.766	5862.2
224.458	5894.2
225.151	5974.8
225.843	6009.2
226.536	6086
227.228	6060.6
227.92	6200.8
228.612	6220.6
229.304	6271.6
229.996	6418.6
230.688	6474.2
231.38	6665
232.071	6720.8
232.763	6989.4
233.454	7162.4
234.146	7536.8
234.837	7769.8
235.529	8153
236.22	8505.4
236.911	8780
237.602	9112.2
238.293	9309.4
238.984	9528.4
239.675	9534.8
240.366	9369.2
241.056	9214.6
241.747	8998.8
242.437	8524.2
243.128	8275.8
243.818	7980.6
244.508	7872.4
245.199	7504.4
245.889	7293.8
246.579	7179.6
247.269	7049.4
247.959	6849.8
248.649	6781.4
249.338	6640.2
250.028	6679.4
250.718	6471.2
251.407	6428.6
252.097	6355.6
252.786	6230.2
253.475	6200.8
254.165	6108.8
254.854	6034.4
255.543	6052.4
256.232	5936.8
256.921	5797.4
257.61	5805.4
258.298	5797.2
258.987	5694.6
259.676	5714.6
260.364	5690.6
261.053	5596
261.741	5537.6
262.429	5480.4
263.117	5523.4
263.806	5468
264.494	5493.8
265.182	5376
265.87	5419.2
266.557	5254.4
267.245	5365.8
267.933	5365.2
268.62	5263
269.308	5263.6
269.995	5263.2
270.683	5238
271.37	5173
272.057	5173.8
272.745	5203.6
273.432	5200.6
274.119	5142.2
274.805	5179
275.492	5253.8
276.179	5234.4
276.866	5210
277.552	5246.2
278.239	5281.4
278.925	5386.2
279.612	5292.2
280.298	5339
280.984	5294.8
281.67	5294.4
282.357	5290.8
283.043	5257
283.728	5186
284.414	5152.4
285.1	5126
285.786	5051
286.471	5011.6
287.157	4927.6
287.842	4915.6
288.528	4887
289.213	4788.4
289.898	4781.4
290.583	4767.8
291.269	4681.6
291.954	4725.2
292.638	4638.4
293.323	4679.4
294.008	4652.2
294.693	4580.4
295.377	4550.6
296.062	4523.6
296.746	4569.2
297.431	4501.6
298.115	4443
298.799	4414.6
299.483	4470
300.168	4485.2
300.852	4385
301.536	4460.8
302.219	4422.8
302.903	4392.2
303.587	4396.2
304.27	4336.6
304.954	4375.8
305.638	4357.6
306.321	4345.6
307.004	4338.6
307.687	4326.4
308.371	4347.8
309.054	4267.6
309.737	4302.4
310.42	4328.2
311.103	4306.6
311.785	4234.2
312.468	4269.2
313.151	4305.6
313.833	4309.4
314.516	4279.2
315.198	4295.6
315.88	4283.8
316.563	4265
317.245	4234.6
317.927	4252.2
318.609	4208
319.291	4254.6
319.973	4188.6
320.655	4260.4
321.336	4257.8
322.018	4227.2
322.7	4164.6
323.381	4222
324.063	4187.2
324.744	4168.8
325.425	4164.6
326.106	4184.6
326.787	4188.2
327.468	4073.8
328.149	4122.4
328.83	4105.2
329.511	4123.6
330.192	4134.4
330.873	4086.2
331.553	4155.8
332.234	4092
332.914	4098.6
333.594	4110.6
334.275	4128.2
334.955	4061
335.635	4043
336.315	4065.2
336.995	4103.2
337.675	4064
338.355	4055.6
339.034	4073.4
339.714	4108.4
340.394	4032.2
341.073	4085.6
341.753	4051.8
342.432	4039.4
343.111	4030
343.791	4060.4
344.47	4068.4
345.149	4031.6
345.828	4035.6
346.507	4042
347.186	4060
347.864	4033.8
348.543	3981.8
349.222	4026
349.9	3968.6
350.579	4097.4
351.257	3972.4
351.935	3992.2
352.613	3989
353.292	3987.4
353.97	3999.6
354.648	3976.4
355.326	4013.8
356.004	4008
356.681	4036.2
357.359	4020.8
358.037	4010.2
358.714	4034
359.392	4012.6
360.069	3975.6
360.746	3981.4
361.424	3976
362.101	3976.8
362.778	3942
363.455	3955.4
364.132	3993.4
