# 'raman shift'	'Int_40.9GPa_1'
46.756	1912.36
47.468	1935.09
48.18	1963.09
48.892	1989.09
49.604	2034.18
50.316	2079.64
51.028	2106
51.74	2133.82
52.452	2153.27
53.164	2209.64
53.875	2263.82
54.587	2311.27
55.298	2349.64
56.01	2418.18
56.721	2486.55
57.432	2580.73
58.143	2718.55
58.854	2837.27
59.565	3056.18
60.276	3219.82
60.987	3347.09
61.698	3442.36
62.408	3577.27
63.119	3724
63.829	3893.82
64.54	4080.73
65.25	4230.18
65.96	4416
66.671	4568.73
67.381	4721.82
68.091	4875.27
68.801	4979.27
69.51	4999.27
70.22	5105.82
70.93	5210.36
71.64	5274.73
72.349	5390.55
73.059	5452.91
73.768	5428.91
74.477	5473.27
75.186	5511.82
75.896	5537.64
76.605	5582.36
77.314	5488.36
78.023	5423.45
78.731	5349.27
79.44	5270
80.149	5282.36
80.857	5172.18
81.566	5212.55
82.274	5295.82
82.983	5320.73
83.691	5331.82
84.399	5325.09
85.107	5359.82
85.815	5218
86.523	5126.55
87.231	5086
87.939	5065.82
88.647	5078.73
89.354	5058
90.062	4958.73
90.769	5120.55
91.477	5202.91
92.184	5190.18
92.891	5216.73
93.598	5167.27
94.306	5121.45
95.013	5016.73
95.719	5077.27
96.426	5028.18
97.133	4987.45
97.84	4982.55
98.546	4935.09
99.253	4946.91
99.959	4966.18
100.666	4969.64
101.372	4890.18
102.078	4861.09
102.784	4859.64
103.49	4844.18
104.196	4815.82
104.902	4856.18
105.608	4810.36
106.314	4874.36
107.02	4919.09
107.725	5002.36
108.431	5003.82
109.136	4904.36
109.841	4791.64
110.547	4800
111.252	4651.64
111.957	4715.27
112.662	4725.82
113.367	4727.09
114.072	4715.09
114.777	4717.64
115.481	4743.09
116.186	4743.64
116.891	4849.45
117.595	4736.73
118.299	4730.36
119.004	4764.91
119.708	4705.64
120.412	4678.18
121.116	4699.09
121.82	4715.09
122.524	4624.18
123.228	4674.73
123.932	4705.09
124.636	4711.64
125.339	4654.36
126.043	4644.55
126.746	4623.82
127.45	4604
128.153	4646.73
128.856	4595.64
129.559	4607.09
130.262	4630.18
130.965	4668.18
131.668	4650.55
132.371	4634.36
133.074	4590.36
133.776	4573.45
134.479	4536.73
135.181	4581.09
135.884	4579.64
136.586	4590.18
137.289	4612.18
137.991	4623.27
138.693	4629.27
139.395	4694.36
140.097	4692.18
140.799	4707.64
141.501	4638.18
142.202	4619.45
142.904	4604.91
143.606	4613.64
144.307	4572.55
145.008	4609.27
145.71	4622.91
146.411	4578.91
147.112	4618.18
147.813	4629.09
148.514	4609.09
149.215	4655.82
149.916	4567.82
150.617	4569.27
151.318	4615.27
152.018	4640.36
152.719	4592.91
153.419	4622.91
154.12	4598.36
154.82	4663.27
155.52	4622.55
156.22	4685.82
156.921	4599.27
157.621	4575.09
158.321	4643.64
159.02	4593.27
159.72	4618.36
160.42	4600.36
161.119	4644
161.819	4660.36
162.518	4671.09
163.218	4649.45
163.917	4668
164.616	4699.45
165.316	4657.64
166.015	4753.09
166.714	4733.27
167.412	4742.73
168.111	4708.36
168.81	4743.64
169.509	4747.09
170.207	4810.91
170.906	4806.36
171.604	4842.55
172.303	4804.18
173.001	4809.82
173.699	4800.18
174.397	4855.64
175.095	4777.27
175.793	4846.18
176.491	4826.36
177.189	4879.09
177.887	4862.36
178.584	4901.82
179.282	4896.55
179.98	4902.73
180.677	4828.55
181.374	4855.27
182.072	4893.64
182.769	4873.27
183.466	4839.27
184.163	4859.45
184.86	4801.27
185.557	4895.27
186.254	4866.18
186.95	4803.09
187.647	4892.18
188.344	4860
189.04	4817.64
189.737	4792
190.433	4796
191.129	4821.64
191.825	4770.55
192.521	4794.91
193.217	4833.64
193.913	4731.64
194.609	4799.27
195.305	4788.73
196.001	4818.55
196.696	4778.73
197.392	4770.73
198.087	4760
198.783	4785.27
199.478	4740.91
200.173	4770.91
200.869	4784.55
201.564	4793.64
202.259	4834.18
202.954	4759.27
203.649	4797.82
204.343	4832.18
205.038	4836.73
205.733	4793.09
206.427	4779.45
207.122	4749.82
207.816	4830
208.51	4778.18
209.205	4757.64
209.899	4777.64
210.593	4820.91
211.287	4777.64
211.981	4800.18
212.675	4759.27
213.369	4755.09
214.062	4738.73
214.756	4750.18
215.449	4788.36
216.143	4755.64
216.836	4789.27
217.53	4762.91
218.223	4751.45
218.916	4718.36
219.609	4696.73
220.302	4774.36
220.995	4726.55
221.688	4708.91
222.381	4786.73
223.073	4703.09
223.766	4675.27
224.458	4746.55
225.151	4696.55
225.843	4785.82
226.536	4744.91
227.228	4798.55
227.92	4770.73
228.612	4741.64
229.304	4788.18
229.996	4770.91
230.688	4805.09
231.38	4728
232.071	4824.91
232.763	4823.27
233.454	4781.09
234.146	4836.18
234.837	4800.36
235.529	4853.45
236.22	4817.45
236.911	4842.55
237.602	4840.91
238.293	4877.45
238.984	4868.18
239.675	4872
240.366	4873.27
241.056	4897.64
241.747	4877.09
242.437	4922.91
243.128	4904.91
243.818	4888
244.508	4926
245.199	4892.91
245.889	4926.55
246.579	4969.09
247.269	4946.55
247.959	4929.64
248.649	4904.73
249.338	5021.27
250.028	4935.09
250.718	4997.09
251.407	5076.91
252.097	5093.27
252.786	5053.45
253.475	5029.27
254.165	5072.18
254.854	5104.91
255.543	5205.82
256.232	5162.36
256.921	5290.55
257.61	5351.09
258.298	5398.55
258.987	5478.73
259.676	5600
260.364	5631.64
261.053	5736.73
261.741	5850.36
262.429	5932
263.117	6014.18
263.806	6029.82
264.494	6026.73
265.182	6024.91
265.87	5952.18
266.557	5914.36
267.245	5844.73
267.933	5726.18
268.62	5615.82
269.308	5527.82
269.995	5460.73
270.683	5382
271.37	5333.45
272.057	5241.64
272.745	5167.64
273.432	5143.09
274.119	5077.27
274.805	4982
275.492	5025.82
276.179	4901.82
276.866	4904.18
277.552	4840.55
278.239	4831.82
278.925	4770
279.612	4745.45
280.298	4656.18
280.984	4708.18
281.67	4662
282.357	4655.09
283.043	4572.73
283.728	4603.09
284.414	4581.09
285.1	4582.18
285.786	4464.91
286.471	4528.73
287.157	4434.55
287.842	4444.91
288.528	4479.27
289.213	4468
289.898	4482.91
290.583	4365.45
291.269	4359.09
291.954	4405.27
292.638	4323.27
293.323	4289.09
294.008	4280.91
294.693	4310.91
295.377	4287.09
296.062	4268.73
296.746	4343.82
297.431	4233.45
298.115	4239.27
298.799	4215.64
299.483	4217.82
300.168	4204.18
300.852	4186.55
301.536	4166.91
302.219	4154.18
302.903	4216.91
303.587	4172.18
304.27	4157.27
304.954	4108.73
305.638	4142.36
306.321	4132.36
307.004	4122.91
307.687	4091.82
308.371	4095.64
309.054	4027.09
309.737	4072
310.42	4012.55
311.103	3978
311.785	3976.55
312.468	4006.55
313.151	3995.27
313.833	3978
314.516	3928.18
315.198	3909.64
315.88	3931.27
316.563	3893.27
317.245	3840.73
317.927	3869.64
318.609	3826.36
319.291	3824.55
319.973	3798.91
320.655	3842.18
321.336	3769.64
322.018	3706.36
322.7	3760.73
323.381	3732.55
324.063	3696
324.744	3683.09
325.425	3698.91
326.106	3672.36
326.787	3711.45
327.468	3648.18
328.149	3646.91
328.83	3648.73
329.511	3639.82
330.192	3615.64
330.873	3617.09
331.553	3609.82
332.234	3620
332.914	3582.18
333.594	3587.64
334.275	3570.91
334.955	3553.09
335.635	3521.45
336.315	3576.91
336.995	3555.45
337.675	3518.55
338.355	3468.91
