# == pyFAI calibration ==
# Distance Sample to Detector: 0.11507480176033233 m
# PONI: 5.477e-03, 4.716e-03 m
# Rotations: 0.004686 0.005536 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 115.078 mm
# Center: x=55.690, y=81.516 pix
# Tilt: 0.416 deg  TiltPlanRot: 130.247 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.833e-11 m
# Mask applied: None
# Dark current applied: None
# Flat field applied: None
# Polarization factor: None
# Normalization factor: None
#
# 2th_deg	 I
1.131209591E+00  3.651957321E+01
1.145950384E+00  4.607256699E+01
1.160691176E+00  5.194570923E+01
1.175431968E+00  5.695665741E+01
1.190172760E+00  6.310086441E+01
1.204913552E+00  6.853991699E+01
1.219654344E+00  7.417658997E+01
1.234395136E+00  7.822511292E+01
1.249135928E+00  8.202014160E+01
1.263876720E+00  8.854097748E+01
1.278617513E+00  9.230842590E+01
1.293358305E+00  9.436614227E+01
1.308099097E+00  9.399200439E+01
1.322839889E+00  9.632343292E+01
1.337580681E+00  9.929859924E+01
1.352321473E+00  1.021925888E+02
1.367062265E+00  1.039943619E+02
1.381803057E+00  1.048928909E+02
1.396543850E+00  1.064318161E+02
1.411284642E+00  1.078042679E+02
1.426025434E+00  1.084462051E+02
1.440766226E+00  1.094901581E+02
1.455507018E+00  1.105538864E+02
1.470247810E+00  1.115939484E+02
1.484988602E+00  1.132226410E+02
1.499729394E+00  1.126247787E+02
1.514470186E+00  1.136344757E+02
1.529210979E+00  1.143357315E+02
1.543951771E+00  1.160232697E+02
1.558692563E+00  1.170204544E+02
1.573433355E+00  1.174634933E+02
1.588174147E+00  1.181746368E+02
1.602914939E+00  1.183835831E+02
1.617655731E+00  1.201803894E+02
1.632396523E+00  1.225583420E+02
1.647137315E+00  1.246216965E+02
1.661878108E+00  1.247208252E+02
1.676618900E+00  1.239197617E+02
1.691359692E+00  1.240006256E+02
1.706100484E+00  1.250985413E+02
1.720841276E+00  1.264180298E+02
1.735582068E+00  1.274178543E+02
1.750322860E+00  1.279870300E+02
1.765063652E+00  1.282843781E+02
1.779804444E+00  1.285023651E+02
1.794545237E+00  1.292368622E+02
1.809286029E+00  1.299553223E+02
1.824026821E+00  1.313231506E+02
1.838767613E+00  1.318414154E+02
1.853508405E+00  1.317181091E+02
1.868249197E+00  1.310485535E+02
1.882989989E+00  1.311794891E+02
1.897730781E+00  1.313014374E+02
1.912471573E+00  1.316484985E+02
1.927212366E+00  1.324565582E+02
1.941953158E+00  1.326822815E+02
1.956693950E+00  1.336915894E+02
1.971434742E+00  1.346602631E+02
1.986175534E+00  1.365229950E+02
2.000916326E+00  1.379862671E+02
2.015657118E+00  1.382713623E+02
2.030397910E+00  1.390609741E+02
2.045138702E+00  1.394408722E+02
2.059879495E+00  1.394239960E+02
2.074620287E+00  1.396215210E+02
2.089361079E+00  1.397259064E+02
2.104101871E+00  1.402306061E+02
2.118842663E+00  1.408867798E+02
2.133583455E+00  1.420540161E+02
2.148324247E+00  1.439919434E+02
2.163065039E+00  1.444025879E+02
2.177805831E+00  1.442675934E+02
2.192546624E+00  1.444798431E+02
2.207287416E+00  1.442624512E+02
2.222028208E+00  1.455365295E+02
2.236769000E+00  1.455734863E+02
2.251509792E+00  1.458610535E+02
2.266250584E+00  1.459304810E+02
2.280991376E+00  1.461550446E+02
2.295732168E+00  1.462028198E+02
2.310472960E+00  1.459270172E+02
2.325213753E+00  1.464227448E+02
2.339954545E+00  1.482332764E+02
2.354695337E+00  1.488056488E+02
2.369436129E+00  1.488269348E+02
2.384176921E+00  1.480623627E+02
2.398917713E+00  1.477246552E+02
2.413658505E+00  1.480413818E+02
2.428399297E+00  1.484862976E+02
2.443140089E+00  1.486605377E+02
2.457880882E+00  1.486122742E+02
2.472621674E+00  1.481833191E+02
2.487362466E+00  1.481898956E+02
2.502103258E+00  1.484678650E+02
2.516844050E+00  1.486830139E+02
2.531584842E+00  1.485670776E+02
2.546325634E+00  1.481870117E+02
2.561066426E+00  1.484010620E+02
2.575807219E+00  1.483815308E+02
2.590548011E+00  1.488051758E+02
2.605288803E+00  1.482149658E+02
2.620029595E+00  1.478596191E+02
2.634770387E+00  1.474461517E+02
2.649511179E+00  1.482178192E+02
2.664251971E+00  1.483418121E+02
2.678992763E+00  1.481846161E+02
2.693733555E+00  1.477695770E+02
2.708474348E+00  1.479369507E+02
2.723215140E+00  1.475875854E+02
2.737955932E+00  1.473279572E+02
2.752696724E+00  1.465769806E+02
2.767437516E+00  1.467409363E+02
2.782178308E+00  1.473321381E+02
2.796919100E+00  1.473485718E+02
2.811659892E+00  1.471285248E+02
2.826400684E+00  1.462610168E+02
2.841141477E+00  1.461353912E+02
2.855882269E+00  1.458055725E+02
2.870623061E+00  1.458846893E+02
2.885363853E+00  1.461712952E+02
2.900104645E+00  1.460179291E+02
2.914845437E+00  1.459716949E+02
2.929586229E+00  1.450611420E+02
2.944327021E+00  1.444868317E+02
2.959067813E+00  1.439413300E+02
2.973808606E+00  1.430225067E+02
2.988549398E+00  1.428209839E+02
3.003290190E+00  1.429459534E+02
3.018030982E+00  1.432926025E+02
3.032771774E+00  1.435660400E+02
3.047512566E+00  1.433527679E+02
3.062253358E+00  1.435483551E+02
3.076994150E+00  1.430370483E+02
3.091734942E+00  1.431605988E+02
3.106475735E+00  1.429857483E+02
3.121216527E+00  1.431244965E+02
3.135957319E+00  1.431340637E+02
3.150698111E+00  1.428352661E+02
3.165438903E+00  1.430379486E+02
3.180179695E+00  1.431279907E+02
3.194920487E+00  1.435209198E+02
3.209661279E+00  1.434008789E+02
3.224402071E+00  1.435305328E+02
3.239142864E+00  1.439142914E+02
3.253883656E+00  1.436091766E+02
3.268624448E+00  1.431437225E+02
3.283365240E+00  1.430391998E+02
3.298106032E+00  1.426967316E+02
3.312846824E+00  1.426301422E+02
3.327587616E+00  1.427532501E+02
3.342328408E+00  1.429908752E+02
3.357069200E+00  1.433624420E+02
3.371809993E+00  1.430234985E+02
3.386550785E+00  1.426682892E+02
3.401291577E+00  1.432492676E+02
3.416032369E+00  1.432301788E+02
3.430773161E+00  1.427928925E+02
3.445513953E+00  1.424188690E+02
3.460254745E+00  1.420164948E+02
3.474995537E+00  1.418314362E+02
3.489736329E+00  1.412062988E+02
3.504477122E+00  1.399475708E+02
3.519217914E+00  1.389422760E+02
3.533958706E+00  1.371295471E+02
3.548699498E+00  1.365566864E+02
3.563440290E+00  1.362141876E+02
3.578181082E+00  1.358227539E+02
3.592921874E+00  1.354136810E+02
3.607662666E+00  1.354838257E+02
3.622403458E+00  1.358900146E+02
3.637144251E+00  1.355874481E+02
3.651885043E+00  1.360794067E+02
3.666625835E+00  1.366758270E+02
3.681366627E+00  1.380700989E+02
3.696107419E+00  1.396795654E+02
3.710848211E+00  1.421775970E+02
3.725589003E+00  1.443437042E+02
3.740329795E+00  1.453774109E+02
3.755070587E+00  1.454227295E+02
3.769811380E+00  1.448333435E+02
3.784552172E+00  1.442687225E+02
3.799292964E+00  1.435323639E+02
3.814033756E+00  1.429894867E+02
3.828774548E+00  1.423617096E+02
3.843515340E+00  1.415462494E+02
3.858256132E+00  1.403807831E+02
3.872996924E+00  1.392433929E+02
3.887737717E+00  1.384703369E+02
3.902478509E+00  1.386299591E+02
3.917219301E+00  1.384135895E+02
3.931960093E+00  1.374488068E+02
3.946700885E+00  1.366055603E+02
3.961441677E+00  1.362091217E+02
3.976182469E+00  1.365178833E+02
3.990923261E+00  1.360877380E+02
4.005664053E+00  1.358791656E+02
4.020404846E+00  1.349116669E+02
4.035145638E+00  1.345540771E+02
4.049886430E+00  1.338992767E+02
4.064627222E+00  1.337868195E+02
4.079368014E+00  1.337694397E+02
