# == pyFAI calibration ==
# Distance Sample to Detector: 0.11507480176033233 m
# PONI: 5.477e-03, 4.716e-03 m
# Rotations: 0.004686 0.005536 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 115.078 mm
# Center: x=55.690, y=81.516 pix
# Tilt: 0.416 deg  TiltPlanRot: 130.247 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.833e-11 m
# Mask applied: None
# Dark current applied: None
# Flat field applied: None
# Polarization factor: None
# Normalization factor: None
#
# 2th_deg	 I
1.131209591E+00  6.790821838E+01
1.145950384E+00  7.581006622E+01
1.160691176E+00  9.209605408E+01
1.175431968E+00  1.009376526E+02
1.190172760E+00  1.140889893E+02
1.204913552E+00  1.237089539E+02
1.219654344E+00  1.350684662E+02
1.234395136E+00  1.408970947E+02
1.249135928E+00  1.477173157E+02
1.263876720E+00  1.586023865E+02
1.278617513E+00  1.657783051E+02
1.293358305E+00  1.707068176E+02
1.308099097E+00  1.724856873E+02
1.322839889E+00  1.783466644E+02
1.337580681E+00  1.831392365E+02
1.352321473E+00  1.854927673E+02
1.367062265E+00  1.885294495E+02
1.381803057E+00  1.902303009E+02
1.396543850E+00  1.947258911E+02
1.411284642E+00  1.971818237E+02
1.426025434E+00  1.982183228E+02
1.440766226E+00  2.014980621E+02
1.455507018E+00  2.034989319E+02
1.470247810E+00  2.056304779E+02
1.484988602E+00  2.084703217E+02
1.499729394E+00  2.099670868E+02
1.514470186E+00  2.134313812E+02
1.529210979E+00  2.152985687E+02
1.543951771E+00  2.166986084E+02
1.558692563E+00  2.189851990E+02
1.573433355E+00  2.219568329E+02
1.588174147E+00  2.235046387E+02
1.602914939E+00  2.240266724E+02
1.617655731E+00  2.258328705E+02
1.632396523E+00  2.284142761E+02
1.647137315E+00  2.325415192E+02
1.661878108E+00  2.349163666E+02
1.676618900E+00  2.324686584E+02
1.691359692E+00  2.321194916E+02
1.706100484E+00  2.334664917E+02
1.720841276E+00  2.363384857E+02
1.735582068E+00  2.377041931E+02
1.750322860E+00  2.395800476E+02
1.765063652E+00  2.380106964E+02
1.779804444E+00  2.387139130E+02
1.794545237E+00  2.386695099E+02
1.809286029E+00  2.412218170E+02
1.824026821E+00  2.436143646E+02
1.838767613E+00  2.434597626E+02
1.853508405E+00  2.445585632E+02
1.868249197E+00  2.439460144E+02
1.882989989E+00  2.451721497E+02
1.897730781E+00  2.453687286E+02
1.912471573E+00  2.460205078E+02
1.927212366E+00  2.484133759E+02
1.941953158E+00  2.501174622E+02
1.956693950E+00  2.522402496E+02
1.971434742E+00  2.543000488E+02
1.986175534E+00  2.553294067E+02
2.000916326E+00  2.565306396E+02
2.015657118E+00  2.567689514E+02
2.030397910E+00  2.586091614E+02
2.045138702E+00  2.612098389E+02
2.059879495E+00  2.624685974E+02
2.074620287E+00  2.640870361E+02
2.089361079E+00  2.652655640E+02
2.104101871E+00  2.667237854E+02
2.118842663E+00  2.681252136E+02
2.133583455E+00  2.683821411E+02
2.148324247E+00  2.711191406E+02
2.163065039E+00  2.714409180E+02
2.177805831E+00  2.725612183E+02
2.192546624E+00  2.738290710E+02
2.207287416E+00  2.742727356E+02
2.222028208E+00  2.760335999E+02
2.236769000E+00  2.762683411E+02
2.251509792E+00  2.769107056E+02
2.266250584E+00  2.766326294E+02
2.280991376E+00  2.767531128E+02
2.295732168E+00  2.773286743E+02
2.310472960E+00  2.773389893E+02
2.325213753E+00  2.779888916E+02
2.339954545E+00  2.781177368E+02
2.354695337E+00  2.794944458E+02
2.369436129E+00  2.802624512E+02
2.384176921E+00  2.812787476E+02
2.398917713E+00  2.820498352E+02
2.413658505E+00  2.831269531E+02
2.428399297E+00  2.838656921E+02
2.443140089E+00  2.830307617E+02
2.457880882E+00  2.821208191E+02
2.472621674E+00  2.825707703E+02
2.487362466E+00  2.817311707E+02
2.502103258E+00  2.823025818E+02
2.516844050E+00  2.821585999E+02
2.531584842E+00  2.820851135E+02
2.546325634E+00  2.825490723E+02
2.561066426E+00  2.827650146E+02
2.575807219E+00  2.833623047E+02
2.590548011E+00  2.835537415E+02
2.605288803E+00  2.835249023E+02
2.620029595E+00  2.831947937E+02
2.634770387E+00  2.815519714E+02
2.649511179E+00  2.814868774E+02
2.664251971E+00  2.815326233E+02
2.678992763E+00  2.818779907E+02
2.693733555E+00  2.814619141E+02
2.708474348E+00  2.800635376E+02
2.723215140E+00  2.802055664E+02
2.737955932E+00  2.807849121E+02
2.752696724E+00  2.813644409E+02
2.767437516E+00  2.810279541E+02
2.782178308E+00  2.800559082E+02
2.796919100E+00  2.787006836E+02
2.811659892E+00  2.784893494E+02
2.826400684E+00  2.783412476E+02
2.841141477E+00  2.782954102E+02
2.855882269E+00  2.778341064E+02
2.870623061E+00  2.774365540E+02
2.885363853E+00  2.772026367E+02
2.900104645E+00  2.765121155E+02
2.914845437E+00  2.763076172E+02
2.929586229E+00  2.765639648E+02
2.944327021E+00  2.769054871E+02
2.959067813E+00  2.765020447E+02
2.973808606E+00  2.764291992E+02
2.988549398E+00  2.758188171E+02
3.003290190E+00  2.751922302E+02
3.018030982E+00  2.750863953E+02
3.032771774E+00  2.748219604E+02
3.047512566E+00  2.758220520E+02
3.062253358E+00  2.757955322E+02
3.076994150E+00  2.757368469E+02
3.091734942E+00  2.750921021E+02
3.106475735E+00  2.746231995E+02
3.121216527E+00  2.750301208E+02
3.135957319E+00  2.745687561E+02
3.150698111E+00  2.746793823E+02
3.165438903E+00  2.736985779E+02
3.180179695E+00  2.739188538E+02
3.194920487E+00  2.751881409E+02
3.209661279E+00  2.756945496E+02
3.224402071E+00  2.755522461E+02
3.239142864E+00  2.748163757E+02
3.253883656E+00  2.733989868E+02
3.268624448E+00  2.733378601E+02
3.283365240E+00  2.729999084E+02
3.298106032E+00  2.733841553E+02
3.312846824E+00  2.734297180E+02
3.327587616E+00  2.737644653E+02
3.342328408E+00  2.733120422E+02
3.357069200E+00  2.735943298E+02
3.371809993E+00  2.731263733E+02
3.386550785E+00  2.723721008E+02
3.401291577E+00  2.714025879E+02
3.416032369E+00  2.715191040E+02
3.430773161E+00  2.720436401E+02
3.445513953E+00  2.716671448E+02
3.460254745E+00  2.708875732E+02
3.474995537E+00  2.699026184E+02
3.489736329E+00  2.698595581E+02
3.504477122E+00  2.709061279E+02
3.519217914E+00  2.707542725E+02
3.533958706E+00  2.705185547E+02
3.548699498E+00  2.699112244E+02
3.563440290E+00  2.683107910E+02
3.578181082E+00  2.678612671E+02
3.592921874E+00  2.684332581E+02
3.607662666E+00  2.690833740E+02
3.622403458E+00  2.687953186E+02
3.637144251E+00  2.679098206E+02
3.651885043E+00  2.664977112E+02
3.666625835E+00  2.652158203E+02
3.681366627E+00  2.639548035E+02
3.696107419E+00  2.634201965E+02
3.710848211E+00  2.635331726E+02
3.725589003E+00  2.654081726E+02
3.740329795E+00  2.669099121E+02
3.755070587E+00  2.680078125E+02
3.769811380E+00  2.685131531E+02
3.784552172E+00  2.686911011E+02
3.799292964E+00  2.691342773E+02
3.814033756E+00  2.712877197E+02
3.828774548E+00  2.727671509E+02
3.843515340E+00  2.748329468E+02
3.858256132E+00  2.763346863E+02
3.872996924E+00  2.772113953E+02
3.887737717E+00  2.752094116E+02
3.902478509E+00  2.736421204E+02
3.917219301E+00  2.718058472E+02
3.931960093E+00  2.700485229E+02
3.946700885E+00  2.682797546E+02
3.961441677E+00  2.672041931E+02
3.976182469E+00  2.667289429E+02
3.990923261E+00  2.667224426E+02
4.005664053E+00  2.664342346E+02
4.020404846E+00  2.646346436E+02
4.035145638E+00  2.625826111E+02
4.049886430E+00  2.613740234E+02
4.064627222E+00  2.596810303E+02
4.079368014E+00  2.594408569E+02
4.094108806E+00  2.584047852E+02
4.108849598E+00  2.591163025E+02
4.123590390E+00  2.585884705E+02
4.138331182E+00  2.582319336E+02
4.153071975E+00  2.564659119E+02
4.167812767E+00  2.549049988E+02
4.182553559E+00  2.538897705E+02
4.197294351E+00  2.552156830E+02
4.212035143E+00  2.554712372E+02
4.226775935E+00  2.546009979E+02
4.241516727E+00  2.538015442E+02
4.256257519E+00  2.527868652E+02
4.270998311E+00  2.527529755E+02
4.285739104E+00  2.518822632E+02
4.300479896E+00  2.516121521E+02
4.315220688E+00  2.508126831E+02
4.329961480E+00  2.507136536E+02
4.344702272E+00  2.504776306E+02
4.359443064E+00  2.490169373E+02
4.374183856E+00  2.478720856E+02
4.388924648E+00  2.464670258E+02
4.403665440E+00  2.463446045E+02
4.418406233E+00  2.462332458E+02
4.433147025E+00  2.462051697E+02
4.447887817E+00  2.466200562E+02
4.462628609E+00  2.462922668E+02
4.477369401E+00  2.463356171E+02
4.492110193E+00  2.446595459E+02
4.506850985E+00  2.436883850E+02
4.521591777E+00  2.431566315E+02
4.536332569E+00  2.430583801E+02
4.551073362E+00  2.431335449E+02
4.565814154E+00  2.430062103E+02
4.580554946E+00  2.433025665E+02
4.595295738E+00  2.430782166E+02
4.610036530E+00  2.426088257E+02
4.624777322E+00  2.419522095E+02
4.639518114E+00  2.409644318E+02
4.654258906E+00  2.406361847E+02
4.668999698E+00  2.406822968E+02
4.683740491E+00  2.414545898E+02
4.698481283E+00  2.412747955E+02
4.713222075E+00  2.401789551E+02
4.727962867E+00  2.396200867E+02
4.742703659E+00  2.390690613E+02
4.757444451E+00  2.393607025E+02
4.772185243E+00  2.392669983E+02
4.786926035E+00  2.395069885E+02
4.801666827E+00  2.391580200E+02
4.816407620E+00  2.387867584E+02
4.831148412E+00  2.385380707E+02
4.845889204E+00  2.375653076E+02
4.860629996E+00  2.371681519E+02
4.875370788E+00  2.363597565E+02
4.890111580E+00  2.365844116E+02
4.904852372E+00  2.367489166E+02
4.919593164E+00  2.372649384E+02
4.934333956E+00  2.377425385E+02
4.949074749E+00  2.365417175E+02
4.963815541E+00  2.357709808E+02
4.978556333E+00  2.350371094E+02
