# == pyFAI calibration ==
# Distance Sample to Detector: 0.11507480176033233 m
# PONI: 5.477e-03, 4.716e-03 m
# Rotations: 0.004686 0.005536 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 115.078 mm
# Center: x=55.690, y=81.516 pix
# Tilt: 0.416 deg  TiltPlanRot: 130.247 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.833e-11 m
# Mask applied: None
# Dark current applied: None
# Flat field applied: None
# Polarization factor: None
# Normalization factor: None
#
# 2th_deg	 I
1.131209591E+00  3.415853119E+01
1.145950384E+00  4.666246033E+01
1.160691176E+00  5.485736847E+01
1.175431968E+00  6.128795242E+01
1.190172760E+00  6.771113586E+01
1.204913552E+00  7.239653778E+01
1.219654344E+00  7.776567078E+01
1.234395136E+00  8.066603851E+01
1.249135928E+00  8.490853119E+01
1.263876720E+00  9.032239532E+01
1.278617513E+00  9.441814423E+01
1.293358305E+00  9.783254242E+01
1.308099097E+00  9.861741638E+01
1.322839889E+00  1.024684677E+02
1.337580681E+00  1.063830643E+02
1.352321473E+00  1.086088181E+02
1.367062265E+00  1.105464859E+02
1.381803057E+00  1.099021835E+02
1.396543850E+00  1.116935272E+02
1.411284642E+00  1.128796692E+02
1.426025434E+00  1.141935425E+02
1.440766226E+00  1.162939911E+02
1.455507018E+00  1.175720367E+02
1.470247810E+00  1.187582245E+02
1.484988602E+00  1.211065521E+02
1.499729394E+00  1.217040482E+02
1.514470186E+00  1.232627106E+02
1.529210979E+00  1.238550568E+02
1.543951771E+00  1.244720154E+02
1.558692563E+00  1.248245697E+02
1.573433355E+00  1.255600891E+02
1.588174147E+00  1.275033188E+02
1.602914939E+00  1.286945801E+02
1.617655731E+00  1.295353546E+02
1.632396523E+00  1.294198608E+02
1.647137315E+00  1.306094513E+02
1.661878108E+00  1.314419250E+02
1.676618900E+00  1.303777161E+02
1.691359692E+00  1.310207367E+02
1.706100484E+00  1.311937408E+02
1.720841276E+00  1.332624664E+02
1.735582068E+00  1.348361511E+02
1.750322860E+00  1.357523193E+02
1.765063652E+00  1.355015717E+02
