# == pyFAI calibration ==
# Distance Sample to Detector: 0.11507480176033233 m
# PONI: 5.477e-03, 4.716e-03 m
# Rotations: 0.004686 0.005536 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 115.078 mm
# Center: x=55.690, y=81.516 pix
# Tilt: 0.416 deg  TiltPlanRot: 130.247 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.833e-11 m
# Mask applied: None
# Dark current applied: None
# Flat field applied: None
# Polarization factor: None
# Normalization factor: None
#
# 2th_deg	 I
1.131209591E+00  6.495579529E+01
1.145950384E+00  7.701218414E+01
1.160691176E+00  9.166235352E+01
1.175431968E+00  1.004607391E+02
1.190172760E+00  1.131696091E+02
1.204913552E+00  1.222291946E+02
1.219654344E+00  1.338409729E+02
1.234395136E+00  1.383447723E+02
1.249135928E+00  1.429071960E+02
1.263876720E+00  1.515430908E+02
1.278617513E+00  1.579867554E+02
1.293358305E+00  1.643380737E+02
1.308099097E+00  1.649222870E+02
1.322839889E+00  1.699822540E+02
1.337580681E+00  1.755038300E+02
1.352321473E+00  1.796285858E+02
1.367062265E+00  1.850782013E+02
1.381803057E+00  1.863684082E+02
1.396543850E+00  1.893126068E+02
1.411284642E+00  1.926731720E+02
1.426025434E+00  1.952293854E+02
1.440766226E+00  1.994242096E+02
1.455507018E+00  1.996772003E+02
1.470247810E+00  2.002375336E+02
1.484988602E+00  2.025606995E+02
1.499729394E+00  2.049193268E+02
1.514470186E+00  2.064444733E+02
1.529210979E+00  2.066622620E+02
1.543951771E+00  2.083231964E+02
1.558692563E+00  2.110432281E+02
1.573433355E+00  2.134624939E+02
1.588174147E+00  2.144754639E+02
1.602914939E+00  2.146034546E+02
1.617655731E+00  2.167183228E+02
1.632396523E+00  2.186908722E+02
1.647137315E+00  2.221950226E+02
1.661878108E+00  2.240617981E+02
1.676618900E+00  2.236616211E+02
1.691359692E+00  2.250395813E+02
1.706100484E+00  2.258655548E+02
1.720841276E+00  2.289454041E+02
1.735582068E+00  2.299626923E+02
1.750322860E+00  2.304490356E+02
1.765063652E+00  2.300425568E+02
1.779804444E+00  2.303687439E+02
1.794545237E+00  2.314193878E+02
1.809286029E+00  2.330082550E+02
1.824026821E+00  2.346499939E+02
1.838767613E+00  2.345966492E+02
1.853508405E+00  2.352836151E+02
1.868249197E+00  2.351367950E+02
1.882989989E+00  2.368670807E+02
1.897730781E+00  2.382611237E+02
1.912471573E+00  2.388634338E+02
1.927212366E+00  2.403295288E+02
1.941953158E+00  2.408320618E+02
1.956693950E+00  2.429353790E+02
1.971434742E+00  2.448264618E+02
1.986175534E+00  2.462062073E+02
2.000916326E+00  2.475254822E+02
2.015657118E+00  2.476290283E+02
2.030397910E+00  2.486603088E+02
2.045138702E+00  2.500848236E+02
2.059879495E+00  2.518054504E+02
2.074620287E+00  2.539418793E+02
2.089361079E+00  2.554044342E+02
2.104101871E+00  2.565410156E+02
2.118842663E+00  2.582450562E+02
2.133583455E+00  2.589494629E+02
2.148324247E+00  2.603341675E+02
2.163065039E+00  2.589732056E+02
2.177805831E+00  2.590729980E+02
2.192546624E+00  2.598963013E+02
2.207287416E+00  2.608545837E+02
2.222028208E+00  2.632656860E+02
2.236769000E+00  2.631726990E+02
2.251509792E+00  2.645785522E+02
2.266250584E+00  2.656971741E+02
2.280991376E+00  2.667771606E+02
2.295732168E+00  2.671004639E+02
2.310472960E+00  2.664481506E+02
2.325213753E+00  2.667633362E+02
2.339954545E+00  2.667843628E+02
2.354695337E+00  2.671383667E+02
2.369436129E+00  2.678463440E+02
2.384176921E+00  2.683349609E+02
2.398917713E+00  2.691239014E+02
2.413658505E+00  2.704839172E+02
2.428399297E+00  2.715187073E+02
2.443140089E+00  2.721943665E+02
2.457880882E+00  2.699216614E+02
2.472621674E+00  2.688565674E+02
2.487362466E+00  2.684631958E+02
2.502103258E+00  2.698663330E+02
2.516844050E+00  2.710900269E+02
2.531584842E+00  2.706307983E+02
2.546325634E+00  2.699682617E+02
2.561066426E+00  2.690639648E+02
2.575807219E+00  2.694229126E+02
2.590548011E+00  2.697773132E+02
2.605288803E+00  2.688520203E+02
2.620029595E+00  2.688913574E+02
2.634770387E+00  2.691213684E+02
2.649511179E+00  2.698921814E+02
2.664251971E+00  2.696594238E+02
2.678992763E+00  2.695430908E+02
2.693733555E+00  2.698761597E+02
2.708474348E+00  2.699860535E+02
2.723215140E+00  2.692296753E+02
2.737955932E+00  2.686440735E+02
2.752696724E+00  2.682046204E+02
2.767437516E+00  2.682947998E+02
2.782178308E+00  2.680998535E+02
2.796919100E+00  2.672040710E+02
2.811659892E+00  2.667054749E+02
2.826400684E+00  2.653444519E+02
2.841141477E+00  2.650780945E+02
2.855882269E+00  2.648071899E+02
2.870623061E+00  2.657865906E+02
2.885363853E+00  2.661612244E+02
2.900104645E+00  2.656928406E+02
2.914845437E+00  2.652046204E+02
2.929586229E+00  2.643384705E+02
2.944327021E+00  2.637892151E+02
2.959067813E+00  2.628540955E+02
2.973808606E+00  2.633423462E+02
2.988549398E+00  2.634836121E+02
3.003290190E+00  2.632958679E+02
3.018030982E+00  2.621658325E+02
3.032771774E+00  2.610412903E+02
3.047512566E+00  2.620323486E+02
3.062253358E+00  2.630842896E+02
3.076994150E+00  2.631024780E+02
3.091734942E+00  2.624929504E+02
3.106475735E+00  2.613569946E+02
3.121216527E+00  2.614278259E+02
3.135957319E+00  2.614270935E+02
3.150698111E+00  2.612546997E+02
3.165438903E+00  2.616773682E+02
3.180179695E+00  2.621297913E+02
3.194920487E+00  2.633540344E+02
3.209661279E+00  2.635938721E+02
3.224402071E+00  2.633640137E+02
3.239142864E+00  2.631675720E+02
3.253883656E+00  2.618865356E+02
3.268624448E+00  2.615797729E+02
3.283365240E+00  2.606529846E+02
3.298106032E+00  2.605623474E+02
3.312846824E+00  2.602384338E+02
3.327587616E+00  2.604100342E+02
3.342328408E+00  2.610466614E+02
3.357069200E+00  2.614284668E+02
3.371809993E+00  2.615732422E+02
3.386550785E+00  2.607765503E+02
3.401291577E+00  2.601098022E+02
3.416032369E+00  2.602681274E+02
3.430773161E+00  2.601073608E+02
3.445513953E+00  2.603487549E+02
3.460254745E+00  2.597810974E+02
3.474995537E+00  2.595646057E+02
3.489736329E+00  2.595689697E+02
3.504477122E+00  2.598296204E+02
3.519217914E+00  2.589985046E+02
3.533958706E+00  2.593883362E+02
3.548699498E+00  2.594378662E+02
3.563440290E+00  2.594759827E+02
3.578181082E+00  2.581859131E+02
3.592921874E+00  2.566029968E+02
3.607662666E+00  2.567994995E+02
3.622403458E+00  2.566381226E+02
3.637144251E+00  2.581098328E+02
3.651885043E+00  2.570649414E+02
3.666625835E+00  2.555027161E+02
3.681366627E+00  2.532183075E+02
3.696107419E+00  2.522916260E+02
3.710848211E+00  2.517535095E+02
3.725589003E+00  2.521653900E+02
3.740329795E+00  2.537055969E+02
3.755070587E+00  2.546159973E+02
3.769811380E+00  2.547997131E+02
3.784552172E+00  2.553850555E+02
3.799292964E+00  2.570993652E+02
3.814033756E+00  2.593616943E+02
3.828774548E+00  2.610578918E+02
3.843515340E+00  2.616501465E+02
3.858256132E+00  2.617286072E+02
3.872996924E+00  2.619671326E+02
3.887737717E+00  2.610988464E+02
3.902478509E+00  2.602914429E+02
3.917219301E+00  2.587157288E+02
3.931960093E+00  2.566196289E+02
3.946700885E+00  2.551293640E+02
3.961441677E+00  2.536559753E+02
3.976182469E+00  2.538081207E+02
3.990923261E+00  2.526162872E+02
4.005664053E+00  2.523608551E+02
4.020404846E+00  2.500771484E+02
4.035145638E+00  2.483111572E+02
4.049886430E+00  2.470026245E+02
4.064627222E+00  2.467710571E+02
4.079368014E+00  2.474160309E+02
4.094108806E+00  2.469467468E+02
4.108849598E+00  2.458655090E+02
4.123590390E+00  2.436806641E+02
4.138331182E+00  2.426404114E+02
4.153071975E+00  2.424046478E+02
4.167812767E+00  2.426489868E+02
4.182553559E+00  2.419965973E+02
4.197294351E+00  2.410341187E+02
4.212035143E+00  2.411069946E+02
4.226775935E+00  2.406035309E+02
4.241516727E+00  2.396199799E+02
4.256257519E+00  2.387017822E+02
4.270998311E+00  2.380850067E+02
4.285739104E+00  2.381918640E+02
4.300479896E+00  2.385764008E+02
4.315220688E+00  2.383490448E+02
4.329961480E+00  2.379384766E+02
4.344702272E+00  2.379877625E+02
4.359443064E+00  2.369856415E+02
4.374183856E+00  2.356135712E+02
4.388924648E+00  2.347005157E+02
4.403665440E+00  2.342260437E+02
4.418406233E+00  2.336687317E+02
