# == pyFAI calibration ==
# Distance Sample to Detector: 0.11507480176033233 m
# PONI: 5.477e-03, 4.716e-03 m
# Rotations: 0.004686 0.005536 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 115.078 mm
# Center: x=55.690, y=81.516 pix
# Tilt: 0.416 deg  TiltPlanRot: 130.247 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.833e-11 m
# Mask applied: None
# Dark current applied: None
# Flat field applied: None
# Polarization factor: None
# Normalization factor: None
#
# 2th_deg	 I
1.131209591E+00  3.554620743E+01
1.145950384E+00  4.232464981E+01
1.160691176E+00  4.961312866E+01
1.175431968E+00  5.513292313E+01
1.190172760E+00  6.202753830E+01
1.204913552E+00  6.796228790E+01
1.219654344E+00  7.306849670E+01
1.234395136E+00  7.671234131E+01
1.249135928E+00  8.131728363E+01
1.263876720E+00  8.777696228E+01
1.278617513E+00  9.108289337E+01
1.293358305E+00  9.396640015E+01
1.308099097E+00  9.445958710E+01
1.322839889E+00  9.709825897E+01
1.337580681E+00  9.982300568E+01
1.352321473E+00  1.011178436E+02
1.367062265E+00  1.041203079E+02
1.381803057E+00  1.053185730E+02
1.396543850E+00  1.072987366E+02
1.411284642E+00  1.081823425E+02
1.426025434E+00  1.085045929E+02
1.440766226E+00  1.106194000E+02
1.455507018E+00  1.125693970E+02
1.470247810E+00  1.134778290E+02
1.484988602E+00  1.154798889E+02
1.499729394E+00  1.151492386E+02
1.514470186E+00  1.163963165E+02
1.529210979E+00  1.176675644E+02
1.543951771E+00  1.189154282E+02
1.558692563E+00  1.210918732E+02
1.573433355E+00  1.215503616E+02
1.588174147E+00  1.217109680E+02
1.602914939E+00  1.220723495E+02
1.617655731E+00  1.228002777E+02
1.632396523E+00  1.236580353E+02
1.647137315E+00  1.255692444E+02
1.661878108E+00  1.265584641E+02
1.676618900E+00  1.257770004E+02
1.691359692E+00  1.260879745E+02
1.706100484E+00  1.263375854E+02
1.720841276E+00  1.284104004E+02
1.735582068E+00  1.295847015E+02
1.750322860E+00  1.301746826E+02
1.765063652E+00  1.288970947E+02
1.779804444E+00  1.288449249E+02
1.794545237E+00  1.297552032E+02
1.809286029E+00  1.316116638E+02
1.824026821E+00  1.322426605E+02
1.838767613E+00  1.322500916E+02
1.853508405E+00  1.332619171E+02
1.868249197E+00  1.333139496E+02
1.882989989E+00  1.337864380E+02
1.897730781E+00  1.339807281E+02
1.912471573E+00  1.349318237E+02
1.927212366E+00  1.355051422E+02
1.941953158E+00  1.353801575E+02
1.956693950E+00  1.364867401E+02
1.971434742E+00  1.379815979E+02
1.986175534E+00  1.393337708E+02
2.000916326E+00  1.401419678E+02
2.015657118E+00  1.402890930E+02
2.030397910E+00  1.406886292E+02
2.045138702E+00  1.407224274E+02
2.059879495E+00  1.410130920E+02
2.074620287E+00  1.420053558E+02
2.089361079E+00  1.431045837E+02
2.104101871E+00  1.438600616E+02
2.118842663E+00  1.445824890E+02
2.133583455E+00  1.451320038E+02
2.148324247E+00  1.464359589E+02
2.163065039E+00  1.465576477E+02
2.177805831E+00  1.468575897E+02
2.192546624E+00  1.469505920E+02
2.207287416E+00  1.471173096E+02
2.222028208E+00  1.479896393E+02
2.236769000E+00  1.482493591E+02
2.251509792E+00  1.482805634E+02
2.266250584E+00  1.488382111E+02
2.280991376E+00  1.496788025E+02
2.295732168E+00  1.503250885E+02
2.310472960E+00  1.500727692E+02
2.325213753E+00  1.497206726E+02
2.339954545E+00  1.499550171E+02
2.354695337E+00  1.501550293E+02
2.369436129E+00  1.508653564E+02
2.384176921E+00  1.508840942E+02
2.398917713E+00  1.509635468E+02
2.413658505E+00  1.510389862E+02
2.428399297E+00  1.512763977E+02
2.443140089E+00  1.515132599E+02
2.457880882E+00  1.515763245E+02
2.472621674E+00  1.517904816E+02
2.487362466E+00  1.521272583E+02
2.502103258E+00  1.524046021E+02
2.516844050E+00  1.521923828E+02
2.531584842E+00  1.522006683E+02
2.546325634E+00  1.521953583E+02
2.561066426E+00  1.519511871E+02
2.575807219E+00  1.519773407E+02
2.590548011E+00  1.517320099E+02
2.605288803E+00  1.519319305E+02
2.620029595E+00  1.511096497E+02
2.634770387E+00  1.506901093E+02
2.649511179E+00  1.507454224E+02
2.664251971E+00  1.511214752E+02
2.678992763E+00  1.509964447E+02
2.693733555E+00  1.506977539E+02
2.708474348E+00  1.510806122E+02
2.723215140E+00  1.508784637E+02
2.737955932E+00  1.516193390E+02
2.752696724E+00  1.511334991E+02
2.767437516E+00  1.509598694E+02
2.782178308E+00  1.505162659E+02
2.796919100E+00  1.508355255E+02
2.811659892E+00  1.504564056E+02
2.826400684E+00  1.500059967E+02
2.841141477E+00  1.492514801E+02
2.855882269E+00  1.488832550E+02
2.870623061E+00  1.486964264E+02
2.885363853E+00  1.487990875E+02
2.900104645E+00  1.484882812E+02
2.914845437E+00  1.482312469E+02
2.929586229E+00  1.478008270E+02
2.944327021E+00  1.472652740E+02
2.959067813E+00  1.473138733E+02
2.973808606E+00  1.472066193E+02
2.988549398E+00  1.472280426E+02
3.003290190E+00  1.469598541E+02
3.018030982E+00  1.478233337E+02
3.032771774E+00  1.484250031E+02
3.047512566E+00  1.485917053E+02
3.062253358E+00  1.485160980E+02
3.076994150E+00  1.478576813E+02
3.091734942E+00  1.473962708E+02
3.106475735E+00  1.466034241E+02
3.121216527E+00  1.462881622E+02
