# == pyFAI calibration ==
# Distance Sample to Detector: 0.11507480176033233 m
# PONI: 5.477e-03, 4.716e-03 m
# Rotations: 0.004686 0.005536 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 115.078 mm
# Center: x=55.690, y=81.516 pix
# Tilt: 0.416 deg  TiltPlanRot: 130.247 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.833e-11 m
# Mask applied: None
# Dark current applied: None
# Flat field applied: None
# Polarization factor: None
# Normalization factor: None
#
# 2th_deg	 I
1.131209591E+00  3.572376633E+01
1.145950384E+00  4.291992188E+01
1.160691176E+00  4.968390656E+01
1.175431968E+00  5.380450821E+01
1.190172760E+00  6.194920349E+01
1.204913552E+00  6.836077118E+01
1.219654344E+00  7.368639374E+01
1.234395136E+00  7.632583618E+01
1.249135928E+00  7.956423950E+01
1.263876720E+00  8.507671356E+01
1.278617513E+00  8.892501831E+01
1.293358305E+00  9.082680511E+01
1.308099097E+00  9.094732666E+01
1.322839889E+00  9.298559570E+01
1.337580681E+00  9.606021881E+01
1.352321473E+00  9.878739166E+01
1.367062265E+00  1.025352478E+02
1.381803057E+00  1.041555557E+02
1.396543850E+00  1.059820480E+02
1.411284642E+00  1.077106476E+02
1.426025434E+00  1.086018982E+02
1.440766226E+00  1.097007751E+02
1.455507018E+00  1.089119720E+02
1.470247810E+00  1.100426559E+02
1.484988602E+00  1.109360275E+02
1.499729394E+00  1.117303085E+02
1.514470186E+00  1.124749222E+02
1.529210979E+00  1.131993179E+02
1.543951771E+00  1.144334793E+02
1.558692563E+00  1.158104248E+02
1.573433355E+00  1.174823151E+02
1.588174147E+00  1.189210663E+02
1.602914939E+00  1.194000092E+02
1.617655731E+00  1.199412689E+02
1.632396523E+00  1.204147644E+02
1.647137315E+00  1.227903519E+02
1.661878108E+00  1.233516541E+02
1.676618900E+00  1.227150726E+02
1.691359692E+00  1.223471222E+02
1.706100484E+00  1.236884537E+02
1.720841276E+00  1.250183411E+02
1.735582068E+00  1.262485199E+02
1.750322860E+00  1.271658630E+02
1.765063652E+00  1.273157654E+02
1.779804444E+00  1.282076721E+02
1.794545237E+00  1.281465302E+02
1.809286029E+00  1.282398529E+02
1.824026821E+00  1.285808563E+02
1.838767613E+00  1.292586060E+02
1.853508405E+00  1.300526428E+02
1.868249197E+00  1.310973358E+02
1.882989989E+00  1.321291809E+02
1.897730781E+00  1.328540344E+02
1.912471573E+00  1.326394196E+02
1.927212366E+00  1.325622559E+02
1.941953158E+00  1.322792969E+02
1.956693950E+00  1.334020844E+02
1.971434742E+00  1.343444672E+02
1.986175534E+00  1.350173187E+02
2.000916326E+00  1.360853271E+02
2.015657118E+00  1.362085876E+02
2.030397910E+00  1.374483490E+02
2.045138702E+00  1.389472198E+02
2.059879495E+00  1.398883362E+02
2.074620287E+00  1.407924957E+02
2.089361079E+00  1.410244751E+02
2.104101871E+00  1.408350525E+02
2.118842663E+00  1.409589233E+02
2.133583455E+00  1.412979126E+02
2.148324247E+00  1.424554901E+02
2.163065039E+00  1.429443207E+02
2.177805831E+00  1.432232208E+02
2.192546624E+00  1.433382568E+02
2.207287416E+00  1.435291901E+02
2.222028208E+00  1.453729858E+02
2.236769000E+00  1.458371735E+02
2.251509792E+00  1.460259094E+02
2.266250584E+00  1.454771423E+02
2.280991376E+00  1.449769745E+02
2.295732168E+00  1.455009766E+02
2.310472960E+00  1.449400482E+02
2.325213753E+00  1.454600372E+02
2.339954545E+00  1.460159454E+02
2.354695337E+00  1.464686584E+02
2.369436129E+00  1.470990601E+02
2.384176921E+00  1.472071381E+02
2.398917713E+00  1.477039185E+02
2.413658505E+00  1.483606110E+02
2.428399297E+00  1.490017395E+02
2.443140089E+00  1.491239166E+02
2.457880882E+00  1.486108856E+02
2.472621674E+00  1.480875549E+02
2.487362466E+00  1.478136139E+02
2.502103258E+00  1.483458405E+02
2.516844050E+00  1.491774139E+02
2.531584842E+00  1.495212097E+02
2.546325634E+00  1.497284088E+02
2.561066426E+00  1.489678192E+02
2.575807219E+00  1.476875305E+02
2.590548011E+00  1.475207825E+02
2.605288803E+00  1.475003052E+02
2.620029595E+00  1.477919006E+02
2.634770387E+00  1.477798004E+02
2.649511179E+00  1.477211151E+02
2.664251971E+00  1.482632141E+02
2.678992763E+00  1.478702698E+02
2.693733555E+00  1.472259979E+02
2.708474348E+00  1.461830597E+02
2.723215140E+00  1.459311829E+02
2.737955932E+00  1.468307495E+02
2.752696724E+00  1.475940247E+02
2.767437516E+00  1.473338623E+02
2.782178308E+00  1.463695984E+02
2.796919100E+00  1.456428528E+02
2.811659892E+00  1.455614319E+02
2.826400684E+00  1.458053741E+02
2.841141477E+00  1.462072296E+02
2.855882269E+00  1.464810333E+02
2.870623061E+00  1.464563599E+02
2.885363853E+00  1.463474274E+02
2.900104645E+00  1.462199097E+02
2.914845437E+00  1.460653076E+02
2.929586229E+00  1.460452118E+02
2.944327021E+00  1.458603821E+02
2.959067813E+00  1.450245667E+02
2.973808606E+00  1.444232788E+02
2.988549398E+00  1.447021027E+02
3.003290190E+00  1.441259613E+02
3.018030982E+00  1.443172760E+02
3.032771774E+00  1.437095947E+02
3.047512566E+00  1.439678955E+02
3.062253358E+00  1.445622559E+02
3.076994150E+00  1.450631561E+02
3.091734942E+00  1.448319244E+02
3.106475735E+00  1.445659180E+02
3.121216527E+00  1.439923248E+02
3.135957319E+00  1.435085602E+02
3.150698111E+00  1.429888000E+02
3.165438903E+00  1.427396088E+02
3.180179695E+00  1.430358734E+02
3.194920487E+00  1.438151245E+02
3.209661279E+00  1.437787018E+02
3.224402071E+00  1.436474609E+02
3.239142864E+00  1.438528900E+02
3.253883656E+00  1.437863617E+02
3.268624448E+00  1.434364471E+02
3.283365240E+00  1.432281952E+02
3.298106032E+00  1.432896729E+02
3.312846824E+00  1.436583099E+02
3.327587616E+00  1.436963043E+02
3.342328408E+00  1.438279114E+02
3.357069200E+00  1.436434479E+02
3.371809993E+00  1.436834106E+02
3.386550785E+00  1.428932800E+02
3.401291577E+00  1.421977386E+02
3.416032369E+00  1.415162048E+02
3.430773161E+00  1.409444885E+02
3.445513953E+00  1.410554047E+02
3.460254745E+00  1.408073578E+02
3.474995537E+00  1.404880066E+02
3.489736329E+00  1.405190277E+02
3.504477122E+00  1.409281158E+02
3.519217914E+00  1.401347504E+02
3.533958706E+00  1.390611877E+02
3.548699498E+00  1.386400757E+02
3.563440290E+00  1.373520203E+02
3.578181082E+00  1.363730469E+02
3.592921874E+00  1.363874664E+02
