# == pyFAI calibration ==
# Distance Sample to Detector: 0.11507480176033233 m
# PONI: 5.477e-03, 4.716e-03 m
# Rotations: 0.004686 0.005536 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 115.078 mm
# Center: x=55.690, y=81.516 pix
# Tilt: 0.416 deg  TiltPlanRot: 130.247 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.833e-11 m
# Mask applied: None
# Dark current applied: None
# Flat field applied: None
# Polarization factor: None
# Normalization factor: None
#
# 2th_deg	 I
1.131209591E+00  7.323809814E+01
1.145950384E+00  7.873615265E+01
1.160691176E+00  8.973357391E+01
1.175431968E+00  9.820910645E+01
1.190172760E+00  1.110052567E+02
1.204913552E+00  1.215988388E+02
1.219654344E+00  1.322411346E+02
1.234395136E+00  1.378462830E+02
1.249135928E+00  1.435794525E+02
1.263876720E+00  1.528591003E+02
1.278617513E+00  1.576833344E+02
1.293358305E+00  1.612265625E+02
1.308099097E+00  1.626694489E+02
1.322839889E+00  1.671074524E+02
1.337580681E+00  1.721830597E+02
1.352321473E+00  1.756962433E+02
1.367062265E+00  1.799131012E+02
1.381803057E+00  1.821474762E+02
1.396543850E+00  1.853560333E+02
1.411284642E+00  1.880736694E+02
1.426025434E+00  1.903629913E+02
1.440766226E+00  1.943671417E+02
1.455507018E+00  1.960258484E+02
1.470247810E+00  1.973214264E+02
1.484988602E+00  2.003755951E+02
1.499729394E+00  2.023833313E+02
1.514470186E+00  2.056230011E+02
1.529210979E+00  2.073455048E+02
1.543951771E+00  2.090311737E+02
1.558692563E+00  2.109613647E+02
1.573433355E+00  2.121114655E+02
1.588174147E+00  2.134307709E+02
1.602914939E+00  2.146970367E+02
1.617655731E+00  2.167409210E+02
1.632396523E+00  2.194206085E+02
1.647137315E+00  2.229026184E+02
1.661878108E+00  2.244626312E+02
1.676618900E+00  2.227569580E+02
1.691359692E+00  2.229348602E+02
1.706100484E+00  2.231645660E+02
1.720841276E+00  2.246710815E+02
1.735582068E+00  2.256318207E+02
1.750322860E+00  2.271139679E+02
1.765063652E+00  2.270209351E+02
1.779804444E+00  2.282736969E+02
1.794545237E+00  2.289832458E+02
1.809286029E+00  2.311846619E+02
1.824026821E+00  2.325583038E+02
1.838767613E+00  2.340176239E+02
1.853508405E+00  2.348860168E+02
1.868249197E+00  2.345502472E+02
1.882989989E+00  2.350803223E+02
1.897730781E+00  2.357350922E+02
1.912471573E+00  2.368526001E+02
1.927212366E+00  2.392999268E+02
1.941953158E+00  2.397181244E+02
1.956693950E+00  2.410175018E+02
1.971434742E+00  2.424330139E+02
1.986175534E+00  2.436498108E+02
2.000916326E+00  2.463207397E+02
2.015657118E+00  2.475831451E+02
2.030397910E+00  2.492996368E+02
2.045138702E+00  2.511485748E+02
2.059879495E+00  2.523468475E+02
2.074620287E+00  2.541307831E+02
