# == pyFAI calibration ==
# Distance Sample to Detector: 0.11507480176033233 m
# PONI: 5.477e-03, 4.716e-03 m
# Rotations: 0.004686 0.005536 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 115.078 mm
# Center: x=55.690, y=81.516 pix
# Tilt: 0.416 deg  TiltPlanRot: 130.247 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.833e-11 m
# Mask applied: None
# Dark current applied: None
# Flat field applied: None
# Polarization factor: None
# Normalization factor: None
#
# 2th_deg	 I
1.131209591E+00  5.874874115E+01
1.145950384E+00  7.505943298E+01
1.160691176E+00  9.086827087E+01
1.175431968E+00  1.023896027E+02
1.190172760E+00  1.173568802E+02
1.204913552E+00  1.279607620E+02
1.219654344E+00  1.392387238E+02
1.234395136E+00  1.453687592E+02
1.249135928E+00  1.519858704E+02
1.263876720E+00  1.613695526E+02
1.278617513E+00  1.669367218E+02
1.293358305E+00  1.702369690E+02
1.308099097E+00  1.717367401E+02
1.322839889E+00  1.775346680E+02
1.337580681E+00  1.845839691E+02
1.352321473E+00  1.895868835E+02
1.367062265E+00  1.944845581E+02
1.381803057E+00  1.969802094E+02
1.396543850E+00  1.999099884E+02
1.411284642E+00  2.013033142E+02
1.426025434E+00  2.023623199E+02
1.440766226E+00  2.069141693E+02
1.455507018E+00  2.105766754E+02
1.470247810E+00  2.131398773E+02
1.484988602E+00  2.166899872E+02
1.499729394E+00  2.188846130E+02
1.514470186E+00  2.212540894E+02
1.529210979E+00  2.230497284E+02
1.543951771E+00  2.234798126E+02
1.558692563E+00  2.254590302E+02
1.573433355E+00  2.251170044E+02
1.588174147E+00  2.270384521E+02
1.602914939E+00  2.281260376E+02
1.617655731E+00  2.319204559E+02
1.632396523E+00  2.345867767E+02
1.647137315E+00  2.374682159E+02
1.661878108E+00  2.378169403E+02
1.676618900E+00  2.372376556E+02
1.691359692E+00  2.383223267E+02
1.706100484E+00  2.402927094E+02
1.720841276E+00  2.426699524E+02
1.735582068E+00  2.425320435E+02
1.750322860E+00  2.432553253E+02
1.765063652E+00  2.434088135E+02
1.779804444E+00  2.443976898E+02
1.794545237E+00  2.447541962E+02
1.809286029E+00  2.461869049E+02
1.824026821E+00  2.485836182E+02
1.838767613E+00  2.493609009E+02
1.853508405E+00  2.512801666E+02
1.868249197E+00  2.513708038E+02
1.882989989E+00  2.520504761E+02
1.897730781E+00  2.525733337E+02
1.912471573E+00  2.537420502E+02
1.927212366E+00  2.565186462E+02
1.941953158E+00  2.579444275E+02
1.956693950E+00  2.599273376E+02
1.971434742E+00  2.602853394E+02
1.986175534E+00  2.612451477E+02
2.000916326E+00  2.639346619E+02
2.015657118E+00  2.661670227E+02
2.030397910E+00  2.681208191E+02
2.045138702E+00  2.697077332E+02
2.059879495E+00  2.706214600E+02
2.074620287E+00  2.729584961E+02
2.089361079E+00  2.744160767E+02
2.104101871E+00  2.759942932E+02
2.118842663E+00  2.771605225E+02
2.133583455E+00  2.781183472E+02
2.148324247E+00  2.803265686E+02
2.163065039E+00  2.801132812E+02
2.177805831E+00  2.805130310E+02
2.192546624E+00  2.814906616E+02
2.207287416E+00  2.821475220E+02
2.222028208E+00  2.849736633E+02
2.236769000E+00  2.862056580E+02
2.251509792E+00  2.867491455E+02
2.266250584E+00  2.864405212E+02
2.280991376E+00  2.862075806E+02
2.295732168E+00  2.870491333E+02
2.310472960E+00  2.876656189E+02
2.325213753E+00  2.876185913E+02
2.339954545E+00  2.882146301E+02
2.354695337E+00  2.884565125E+02
2.369436129E+00  2.893897095E+02
2.384176921E+00  2.901582947E+02
2.398917713E+00  2.902456970E+02
2.413658505E+00  2.911729126E+02
2.428399297E+00  2.917720032E+02
2.443140089E+00  2.918746948E+02
2.457880882E+00  2.908422241E+02
2.472621674E+00  2.901527100E+02
2.487362466E+00  2.902604980E+02
2.502103258E+00  2.914382324E+02
2.516844050E+00  2.922062378E+02
2.531584842E+00  2.926050415E+02
2.546325634E+00  2.910635376E+02
2.561066426E+00  2.906287231E+02
2.575807219E+00  2.907131653E+02
2.590548011E+00  2.915151672E+02
2.605288803E+00  2.906720276E+02
2.620029595E+00  2.913732910E+02
2.634770387E+00  2.906409912E+02
